"Region","lifetime_risk_percent_CC","lifetime_risk_percent_RC","ISOcode","ci_lower_percent_CC","ci_upper_percent_CC","ci_lower_percent_RC","ci_upper_percent_RC"
"Afghanistan",0.544256,0.475583,4,0.467245,0.621268,0.405928,0.545239
"Albania",1.218058,0.971387,8,1.045346,1.39077,0.830376,1.112399
"Algeria",2.485807,1.559978,12,2.381066,2.590548,1.479924,1.640031
"Angola",0.380399,0.185236,24,0.308252,0.452546,0.162195,0.208276
"Azerbaijan",1.87067,0.924595,31,1.696939,2.044402,0.814584,1.034607
"Argentina",4.324684,0.954141,32,4.239163,4.410206,0.915641,0.99264
"Australia",5.887257,2.243689,36,5.764165,6.010349,2.17321,2.314169
"Austria",3.403214,1.533296,40,3.270104,3.536324,1.448297,1.618295
"Bahamas",2.973933,1.004598,44,2.046722,3.901145,0.512036,1.497159
"Bahrain",2.707112,0.811101,48,1.805823,3.608401,0.477364,1.144839
"Bangladesh",0.332448,0.359711,50,0.311824,0.353073,0.335952,0.383469
"Armenia",4.222951,1.183095,51,3.885685,4.560218,1.011239,1.354951
"Barbados",4.410731,1.797403,52,3.406652,5.41481,1.170032,2.424774
"Belgium",5.451261,1.964419,56,5.295124,5.607399,1.874754,2.054084
"Bhutan",0.438898,0.487741,64,0.150394,0.727401,0.194562,0.78092
"Bolivia",1.214644,0.275945,68,1.084436,1.344851,0.214138,0.337752
"Bosnia & Herzegovina",2.697205,2.301458,70,2.50791,2.8865,2.130526,2.472391
"Botswana",0.401072,0.244543,72,0.243541,0.558603,0.14027,0.348816
"Brazil",3.019095,1.958973,76,2.977972,3.060217,1.927082,1.990863
"Belize",1.88488,0,84,0.76701,3.002751,0,0
"Solomon Islands",0.35844,0.474882,90,0,0.735931,0.097102,0.852663
"Brunei",3.162944,3.122478,96,2.171541,4.154347,2.166447,4.078508
"Bulgaria",4.148538,2.114766,100,3.994805,4.302271,2.009675,2.219857
"Myanmar (Burma)",0.909784,0.989201,104,0.86047,0.959099,0.933862,1.044541
"Burundi",0.445787,0.509611,108,0.327264,0.56431,0.376657,0.642564
"Belarus",4.133122,2.625205,112,3.981111,4.285133,2.508443,2.741966
"Cambodia",1.281475,1.110264,116,1.158347,1.404603,0.986749,1.233779
"Cameroon",0.453485,0.380418,120,0.394447,0.512524,0.319553,0.441284
"Canada",5.111347,2.046932,124,5.018122,5.204571,1.992897,2.100966
"Cape Verde",0.562274,0.260779,132,0.180067,0.94448,0.046236,0.475321
"Central African Republic",0.229131,0.186648,140,0.154885,0.303377,0.126911,0.246385
"Sri Lanka",0.778859,0.84332,144,0.718389,0.839329,0.783377,0.903263
"Chad",0.081196,0.141919,148,0.058565,0.103828,0.104045,0.179793
"Chile",4.062032,1.513853,152,3.925101,4.198962,1.435626,1.59208
"China",2.632813,2.236013,156,2.620214,2.645412,2.224799,2.247227
"Colombia",3.290472,1.111683,170,3.190953,3.389992,1.057291,1.166076
"Comoros",0.239906,0.268883,174,0.077187,0.402625,0.076433,0.461334
"Congo - Brazzaville",0.293768,0.244602,178,0.176116,0.411419,0.169412,0.319792
"Congo - Kinshasa",0.385228,0.44423,180,0.350441,0.420015,0.406685,0.481776
"Costa Rica",2.914867,1.139297,188,2.660049,3.169685,0.9881,1.290495
"Croatia",6.381534,3.563045,191,6.10932,6.653748,3.369314,3.756776
"Cuba",4.965979,0.9399,192,4.782633,5.149325,0.86681,1.01299
"Cyprus",4.522885,1.717838,196,4.017649,5.028122,1.40986,2.025816
"Czechia",4.567323,2.550386,203,4.41583,4.718815,2.444429,2.656344
"Benin",0.884222,0.501793,204,0.724874,1.04357,0.37769,0.625895
"Denmark",8.908521,3.298159,208,8.625889,9.191154,3.133707,3.46261
"Dominican Republic",3.288536,0.375878,214,3.066308,3.510765,0.307309,0.444447
"Ecuador",2.754664,0.810589,218,2.585769,2.923559,0.724615,0.896562
"El Salvador",2.268368,0.38942,222,2.026692,2.510044,0.300908,0.477931
"Equatorial Guinea",0.199756,0.093993,226,0.118896,0.280617,0.032788,0.155197
"Ethiopia",0.790258,0.581159,231,0.749036,0.831479,0.54455,0.617768
"Eritrea",0.665218,0.604118,232,0.458002,0.872435,0.401413,0.806823
"Estonia",5.532663,2.867604,233,5.088176,5.97715,2.554667,3.18054
"Fiji",1.268612,1.021642,242,0.742956,1.794268,0.532613,1.51067
"Finland",4.796145,2.441283,246,4.595365,4.996925,2.303731,2.578836
"France",5.682179,2.654752,250,5.615759,5.748599,2.611283,2.69822
"French Guiana",2.775512,0.716042,254,1.564108,3.986916,0.204523,1.22756
"French Polynesia",2.163349,1.860372,258,0.947374,3.379325,0.678395,3.042348
"Djibouti",0.535272,0.361522,262,0.286329,0.784216,0.195911,0.527133
"Gabon",0.434557,0.223282,266,0.305473,0.563641,0.113721,0.332843
"Georgia",1.694255,1.722708,268,1.536283,1.852228,1.56377,1.881646
"Gambia",0.073835,0.267931,270,0.03049,0.117179,0.117665,0.418196
"Palestinian Territories",2.605114,1.208748,275,2.191667,3.018561,0.931873,1.485622
"Germany",4.684066,2.462541,276,4.634069,4.734063,2.427936,2.497147
"Ghana",0.330821,0.299971,288,0.277394,0.384248,0.259168,0.340773
"Greece",5.974439,0.978097,300,5.823233,6.125644,0.918479,1.037714
"Guadeloupe",3.645396,1.365011,312,2.940524,4.350268,0.972762,1.757259
"Guam",3.939098,1.098603,316,1.806165,6.072031,0.43044,1.766766
"Guatemala",1.97502,0.172845,320,1.78995,2.16009,0.11726,0.228431
