"ISOcode","LRI_CC","LRM_CC","LRI_RC","LRM_RC","LRI_CRC","LRM_CRC"
4,0.544256,0.392807,0.475583,0.27657,1.092405,0.720088
8,1.218058,0.777103,0.971387,0.645307,2.2258,1.442165
12,2.485807,1.956889,1.559978,1.203834,4.159209,3.230492
24,0.380399,0.319551,0.185236,0.124477,0.591017,0.460193
31,1.87067,1.091785,0.924595,0.656225,2.911306,1.848683
32,4.324684,2.95405,0.954141,0.424771,5.356081,3.414096
36,5.887257,2.525294,2.243689,1.057945,8.37753,3.660693
40,3.403214,1.920671,1.533296,0.99641,5.131506,2.984416
44,2.973933,2.04241,1.004598,0.474968,4.096743,2.517378
48,2.707112,1.292108,0.811101,0.835054,3.555087,2.146162
50,0.332448,0.227176,0.359711,0.229602,0.742988,0.491082
51,4.222951,2.065049,1.183095,0.790351,5.438003,2.867323
52,4.410731,3.660291,1.797403,1.172995,6.470072,4.833286
56,5.451261,2.631687,1.964419,0.973281,7.599908,3.671277
64,0.438898,0.198692,0.487741,0.404634,0.926302,0.603326
68,1.214644,0.911522,0.275945,0.130219,1.508937,1.041741
70,2.697205,1.78452,2.301458,1.590765,5.011867,3.386853
72,0.401072,0.286461,0.244543,0.159263,0.775947,0.544707
76,3.019095,1.846468,1.958973,0.925167,5.211763,2.845967
84,1.88488,1.832788,0,0,1.88488,1.832788
90,0.35844,0.307415,0.474882,0.193517,0.921684,0.589846
96,3.162944,2.705315,3.122478,2.107222,6.275987,4.812537
100,4.148538,2.7347,2.114766,1.065287,6.325331,3.832267
104,0.909784,0.644158,0.989201,0.771812,1.961567,1.449991
108,0.445787,0.395501,0.509611,0.451139,1.143061,1.016858
112,4.133122,2.123004,2.625205,1.54809,6.865906,3.729469
116,1.281475,0.922279,1.110264,0.891116,2.462348,1.84898
120,0.453485,0.331802,0.380418,0.306065,0.917469,0.694778
124,5.111347,3.478916,2.046932,1.519269,7.387199,5.078117
132,0.562274,0.903342,0.260779,0.32817,0.871563,1.231512
140,0.229131,0.200346,0.186648,0.162341,0.453366,0.399182
144,0.778859,0.468427,0.84332,0.428287,1.723872,0.941253
148,0.081196,0.064572,0.141919,0.114854,0.270502,0.216297
152,4.062032,2.319023,1.513853,0.842176,5.645395,3.197237
156,2.632813,1.521333,2.236013,1.481863,4.914851,3.053314
170,3.290472,2.108537,1.111683,0.621377,4.62212,2.787581
174,0.239906,0.177883,0.268883,0.194159,0.508706,0.372041
178,0.293768,0.22698,0.244602,0.164195,0.640725,0.456065
180,0.385228,0.32842,0.44423,0.365468,0.979558,0.838942
188,2.914867,2.265228,1.139297,0.699132,4.116683,2.995408
191,6.381534,4.232561,3.563045,1.99948,10.008585,6.284505
192,4.965979,3.790779,0.9399,0.466071,6.061524,4.302578
196,4.522885,3.684482,1.717838,0.802784,6.347007,4.534062
203,4.567323,2.417458,2.550386,1.35662,7.33455,3.912159
204,0.884222,0.755755,0.501793,0.460753,1.461931,1.271302
208,8.908521,3.254604,3.298159,0.9167,12.410585,4.289643
214,3.288536,1.903067,0.375878,0.18911,3.704592,2.107508
218,2.754664,1.752799,0.810589,0.447633,3.75374,2.253948
222,2.268368,1.378256,0.38942,0.205078,2.712153,1.596921
226,0.199756,0.131939,0.093993,0.079545,0.333526,0.251283
231,0.790258,0.583214,0.581159,0.437013,1.428433,1.061439
