"ISOcode","LRI_CC","LRM_CC","LRI_RC","LRM_RC","LRI_CRC","LRM_CRC","LRI_RC_to_CC","LRM_RC_to_CC","LRI_RC_to_CRC","LRM_RC_to_CRC"
4,0.544256,0.392807,0.475583,0.27657,1.092405,0.720088,0.873822245413923,0.704086230642529,0.435354104018198,0.384078057126351
8,1.218058,0.777103,0.971387,0.645307,2.2258,1.442165,0.797488296944809,0.830400860632374,0.4364215113667,0.447457121757913
12,2.485807,1.956889,1.559978,1.203834,4.159209,3.230492,0.627553949280857,0.61517745768922,0.375066028179877,0.372647262398421
24,0.380399,0.319551,0.185236,0.124477,0.591017,0.460193,0.486951858443371,0.389537194375859,0.313419072547829,0.270488686268587
31,1.87067,1.091785,0.924595,0.656225,2.911306,1.848683,0.494258741520418,0.601056984662731,0.317587708059544,0.354968915709183
32,4.324684,2.95405,0.954141,0.424771,5.356081,3.414096,0.220626755619601,0.143792759093448,0.178141630046297,0.124416829520904
36,5.887257,2.525294,2.243689,1.057945,8.37753,3.660693,0.381109402901895,0.418939339340291,0.267822257873144,0.289001290192868
40,3.403214,1.920671,1.533296,0.99641,5.131506,2.984416,0.450543515629637,0.51878223808242,0.298800391152227,0.333871015300816
44,2.973933,2.04241,1.004598,0.474968,4.096743,2.517378,0.337801154229097,0.232552719581279,0.245218701783344,0.188675677629661
48,2.707112,1.292108,0.811101,0.835054,3.555087,2.146162,0.299618560295991,0.646272602599783,0.228152222435063,0.389091783378888
50,0.332448,0.227176,0.359711,0.229602,0.742988,0.491082,1.08200681008759,1.01067894495897,0.484141062843545,0.467543098708566
51,4.222951,2.065049,1.183095,0.790351,5.438003,2.867323,0.280158353719946,0.382727480074323,0.217560564052649,0.27564072830302
52,4.410731,3.660291,1.797403,1.172995,6.470072,4.833286,0.407506828233234,0.320464957567581,0.27780262723506,0.242690997387699
56,5.451261,2.631687,1.964419,0.973281,7.599908,3.671277,0.360360474392989,0.369831594714721,0.258479313170633,0.265106936905061
64,0.438898,0.198692,0.487741,0.404634,0.926302,0.603326,1.11128553786985,2.03648863567733,0.526546417906903,0.670672240215074
68,1.214644,0.911522,0.275945,0.130219,1.508937,1.041741,0.227181791537273,0.142858866818354,0.182873771403312,0.125001319905812
70,2.697205,1.78452,2.301458,1.590765,5.011867,3.386853,0.853275149645652,0.891424584762289,0.459201730612564,0.46968823270452
72,0.401072,0.286461,0.244543,0.159263,0.775947,0.544707,0.609723441177644,0.55596747899365,0.315154256669592,0.292382877400144
76,3.019095,1.846468,1.958973,0.925167,5.211763,2.845967,0.648860999736676,0.50104686352539,0.37587530361607,0.325080016739477
84,1.88488,1.832788,0,0,1.88488,1.832788,0,0,0,0
90,0.35844,0.307415,0.474882,0.193517,0.921684,0.589846,1.32485771677268,0.629497584698209,0.515232986576744,0.328080549838432
96,3.162944,2.705315,3.122478,2.107222,6.275987,4.812537,0.98720622306307,0.778919275574194,0.497527799213096,0.437860945276888
100,4.148538,2.7347,2.114766,1.065287,6.325331,3.832267,0.509761752212466,0.389544374154386,0.33433285941874,0.277978282828415
104,0.909784,0.644158,0.989201,0.771812,1.961567,1.449991,1.08729214846601,1.19817187708606,0.504291212076875,0.532287441784121
108,0.445787,0.395501,0.509611,0.451139,1.143061,1.016858,1.14317151464713,1.14067726756696,0.445830100055903,0.443659783371916
112,4.133122,2.123004,2.625205,1.54809,6.865906,3.729469,0.63516271719054,0.729197872448662,0.382353763654789,0.415096626356192
116,1.281475,0.922279,1.110264,0.891116,2.462348,1.84898,0.86639536471644,0.966210875450921,0.450896461426248,0.481950048134647
120,0.453485,0.331802,0.380418,0.306065,0.917469,0.694778,0.838876699339559,0.922432655619918,0.414638532746066,0.440522008468892
124,5.111347,3.478916,2.046932,1.519269,7.387199,5.078117,0.400468213173553,0.436707583626624,0.277091763738868,0.299179597476781
132,0.562274,0.903342,0.260779,0.32817,0.871563,1.231512,0.463793453014011,0.363284337493441,0.299208433584262,0.266477305945862
140,0.229131,0.200346,0.186648,0.162341,0.453366,0.399182,0.814590779946843,0.810303175506374,0.411693863236326,0.406684169125862
144,0.778859,0.468427,0.84332,0.428287,1.723872,0.941253,1.08276337565593,0.914308953155988,0.489201054370626,0.455017938853847
148,0.081196,0.064572,0.141919,0.114854,0.270502,0.216297,1.74785703729248,1.77869664870222,0.524650464691573,0.531001354618881
152,4.062032,2.319023,1.513853,0.842176,5.645395,3.197237,0.372683671620509,0.363159830670071,0.268157144008524,0.263407435857899
156,2.632813,1.521333,2.236013,1.481863,4.914851,3.053314,0.849286675506388,0.974055647251456,0.454950312837561,0.48532938308998
170,3.290472,2.108537,1.111683,0.621377,4.62212,2.787581,0.337849098852687,0.294695800927373,0.240513660398259,0.222909038338258
174,0.239906,0.177883,0.268883,0.194159,0.508706,0.372041,1.12078480738289,1.0914983444174,0.528562666844897,0.521875277187192
178,0.293768,0.22698,0.244602,0.164195,0.640725,0.456065,0.832636638435773,0.723389725967046,0.381758164579188,0.360025434970892
180,0.385228,0.32842,0.44423,0.365468,0.979558,0.838942,1.15316124476933,1.11280677181658,0.453500456328262,0.435629638282503
188,2.914867,2.265228,1.139297,0.699132,4.116683,2.995408,0.390857284397539,0.308636481625691,0.276751209651071,0.233401259527917
191,6.381534,4.232561,3.563045,1.99948,10.008585,6.284505,0.558336757274975,0.472404296122371,0.355998874965842,0.318160300612379
192,4.965979,3.790779,0.9399,0.466071,6.061524,4.302578,0.189267816074132,0.122948607660853,0.155060014610187,0.108323660837758
196,4.522885,3.684482,1.717838,0.802784,6.347007,4.534062,0.379810231743677,0.217882459461059,0.27065323860522,0.177056246694465
203,4.567323,2.417458,2.550386,1.35662,7.33455,3.912159,0.558398431641467,0.561176243806511,0.347722218813697,0.346770159392806
204,0.884222,0.755755,0.501793,0.460753,1.461931,1.271302,0.567496624150949,0.609659214957228,0.343239865629773,0.362426079719846
208,8.908521,3.254604,3.298159,0.9167,12.410585,4.289643,0.370225203487762,0.281662530986873,0.265753709434326,0.213700767173399
214,3.288536,1.903067,0.375878,0.18911,3.704592,2.107508,0.114299493756492,0.0993711729539738,0.101462725179993,0.0897315692277325
218,2.754664,1.752799,0.810589,0.447633,3.75374,2.253948,0.294260570436177,0.255381820733581,0.215941700810392,0.19859952403516
222,2.268368,1.378256,0.38942,0.205078,2.712153,1.596921,0.171674084628244,0.148795289119003,0.1435833450399,0.128420879930817
226,0.199756,0.131939,0.093993,0.079545,0.333526,0.251283,0.470539057650333,0.602892245658979,0.281816110288253,0.316555437494777
231,0.790258,0.583214,0.581159,0.437013,1.428433,1.061439,0.735404133839834,0.749318431999232,0.40685072383514,0.411717489182139
232,0.665218,0.563238,0.604118,0.511094,1.278905,1.083026,0.908150410842761,0.907421019178394,0.47237128637389,0.47191295499831
233,5.532663,3.20719,2.867604,1.606405,8.481364,4.876369,0.518304476524234,0.50087615638612,0.338106464950685,0.329426464650235
242,1.268612,0.936073,1.021642,0.872282,2.366376,1.808356,0.805322667608378,0.931852537141868,0.431732742387516,0.482361880072287
246,4.796145,2.048208,2.441283,1.025243,7.298914,3.11217,0.509009423193002,0.500556095865264,0.334472087217359,0.329430268912045
250,5.682179,2.977891,2.654752,1.064119,8.582183,4.128584,0.467206682506834,0.357339808609516,0.309332951767633,0.257744301678251
254,2.775512,1.859095,0.716042,0.660055,3.60704,2.519151,0.257985553656406,0.355041028027078,0.198512353619588,0.262014861356068
258,2.163349,0.784071,1.860372,0.859275,4.096111,1.731567,0.85995001268866,1.09591478322754,0.454180074709889,0.49624126585919
262,0.535272,0.425266,0.361522,0.314958,0.896709,0.740224,0.675398675813418,0.740614109757187,0.403165352416447,0.425490121909044
266,0.434557,0.301859,0.223282,0.106672,0.753519,0.461634,0.513815218716992,0.353383533371541,0.296319004563919,0.231074834175992
