"ISOcode","cancer_type","distribution_method","risk_calculation","LRI_lifetime_risk","LRI_lifetime_risk_percent","LRI_variance","LRI_std_error","LRI_std_error_percent","LRI_ci_lower","LRI_ci_upper","LRI_ci_lower_percent","LRI_ci_upper_percent","LRI_n_age_groups","LRI_note","LRM_lifetime_risk","LRM_lifetime_risk_percent","LRM_variance","LRM_std_error","LRM_std_error_percent","LRM_ci_lower","LRM_ci_upper","LRM_ci_lower_percent","LRM_ci_upper_percent","LRM_n_age_groups","LRM_note"
578,"colon","Poisson","both",0.0935765973965078,9.35766,2.80851195000624e-06,0.00167586155454627,0.167586,0.0902919087495971,0.0968612860434184,9.029191,9.686129,18,"Success",0.0453725757933782,4.537258,1.53061492154117e-06,0.00123718023001549,0.123718,0.0429477025425478,0.0477974490442085,4.29477,4.779745,18,"Success"
208,"colon","Poisson","both",0.0890852138044489,8.908521,2.07937127904689e-06,0.00144200252393915,0.1442,0.0862588888575282,0.0919115387513696,8.625889,9.191154,18,"Success",0.0325460388589716,3.254604,8.69217776853078e-07,0.000932318495393649,0.093232,0.030718694608,0.0343733831099431,3.071869,3.437338,18,"Success"
702,"colon","Poisson","both",0.0787388326003042,7.873883,4.65001326494202e-06,0.00215638894101737,0.215639,0.0745123102759102,0.0829653549246983,7.451231,8.296535,18,"Success",0.0561461852788642,5.614619,4.01238061723778e-06,0.00200309276301368,0.200309,0.0522201234633574,0.060072247094371,5.222012,6.007225,18,"Success"
554,"colon","Poisson","both",0.0739603703491916,7.396037,2.6229652298228e-06,0.00161955710915756,0.161956,0.0707860384152428,0.0771347022831404,7.078604,7.71347,18,"Success",0.0384569832761301,3.845698,1.54223967261356e-06,0.00124186942655561,0.124187,0.0360229192000811,0.0408910473521791,3.602292,4.089105,18,"Success"
528,"colon","Poisson","both",0.0711417400981107,7.114174,5.39480026095265e-07,0.000734493040195253,0.073449,0.069702133739328,0.0725813464568934,6.970213,7.258135,18,"Success",0.0348310546520995,3.483105,3.18161505140092e-07,0.000564058068943342,0.056406,0.0337255008369705,0.0359366084672284,3.37255,3.593661,18,"Success"
392,"colon","Poisson","both",0.0677232407409259,6.772324,5.39679594528468e-08,0.000232310050262245,0.023231,0.0672679130424119,0.0681785684394399,6.726791,6.817857,18,"Success",0.0336288414311132,3.362884,2.89973665891182e-08,0.000170286131523146,0.017029,0.0332950806133278,0.0339626022488986,3.329508,3.39626,18,"Success"
191,"colon","Poisson","both",0.0638153383216502,6.381534,1.92889598496634e-06,0.00138884699840059,0.138885,0.061093198204785,0.0665374784385154,6.10932,6.653748,18,"Success",0.0423256060322021,4.232561,1.43921760519235e-06,0.00119967395787037,0.119967,0.0399742450747761,0.044676966989628,3.997425,4.467697,18,"Success"
620,"colon","Poisson","both",0.0636296916704695,6.362969,6.90674956441617e-07,0.000831068563020896,0.083107,0.0620007972869485,0.0652585860539904,6.20008,6.525859,18,"Success",0.0351551840258452,3.515518,4.24592927671189e-07,0.00065160795550023,0.065161,0.0338780324330647,0.0364323356186256,3.387803,3.643234,18,"Success"
380,"colon","Poisson","both",0.0620945056225192,6.209451,1.12656885880029e-07,0.000335643986807494,0.033564,0.0614366434083765,0.0627523678366619,6.143664,6.275237,18,"Success",0.0329998963507127,3.29999,6.44402153384977e-08,0.000253850773759896,0.025385,0.0325023488341433,0.0334974438672821,3.250235,3.349744,18,"Success"
348,"colon","Poisson","both",0.0615905214700281,6.159052,7.72917658802095e-07,0.000879157357247322,0.087916,0.0598673730498234,0.0633136698902329,5.986737,6.331367,18,"Success",0.0371734642586549,3.717346,5.26690702619571e-07,0.000725734595165183,0.072573,0.0357510244521311,0.0385959040651786,3.575102,3.85959,18,"Success"
