"ISOcode","cancer_type","distribution_method","risk_calculation","LRI_lifetime_risk","LRI_lifetime_risk_percent","LRI_variance","LRI_std_error","LRI_std_error_percent","LRI_ci_lower","LRI_ci_upper","LRI_ci_lower_percent","LRI_ci_upper_percent","LRI_formatted","LRI_n_age_groups","LRI_note","LRM_lifetime_risk","LRM_lifetime_risk_percent","LRM_variance","LRM_std_error","LRM_std_error_percent","LRM_ci_lower","LRM_ci_upper","LRM_ci_lower_percent","LRM_ci_upper_percent","LRM_formatted","LRM_n_age_groups","LRM_note"
578,"colorectum","Poisson","both",0.127967226066636,12.796723,3.77059871681067e-06,0.00194180295519671,0.19418,0.124161292274451,0.131773159858822,12.416129,13.177316,"12.80(12.42-13.18)",18,"Success",0.0590009915833021,5.900099,1.97198360726413e-06,0.00140427333780291,0.140427,0.0562486158412084,0.0617533673253959,5.624862,6.175337,"5.90(5.62-6.18)",18,"Success"
208,"colorectum","Poisson","both",0.124105848014314,12.410585,2.8708546340909e-06,0.00169435965311114,0.169436,0.120784903094216,0.127426792934412,12.07849,12.742679,"12.41(12.08-12.74)",18,"Success",0.0428964326176954,4.289643,1.14448739986376e-06,0.00106980717882418,0.106981,0.0407996105472,0.0449932546881908,4.079961,4.499325,"4.29(4.08-4.50)",18,"Success"
702,"colorectum","Poisson","both",0.12095916519285,12.095917,6.91590465390314e-06,0.00262981076389598,0.262981,0.115804736095614,0.126113594290087,11.580474,12.611359,"12.10(11.58-12.61)",18,"Success",0.0805167312572687,8.051673,5.64171129335063e-06,0.00237522868232737,0.237523,0.0758612830399071,0.0851721794746304,7.586128,8.517218,"8.05(7.59-8.52)",18,"Success"
554,"colorectum","Poisson","both",0.107840955086134,10.784096,3.73336912796898e-06,0.00193219282887837,0.193219,0.104053857141532,0.111628053030735,10.405386,11.162805,"10.78(10.41-11.16)",18,"Success",0.0543107974869912,5.43108,2.1398523303947e-06,0.00146282341053003,0.146282,0.0514436636023523,0.05717793137163,5.144366,5.717793,"5.43(5.14-5.72)",18,"Success"
528,"colorectum","Poisson","both",0.103085957309344,10.308596,7.77842016704119e-07,0.000881953522984131,0.088195,0.101357328404295,0.104814586214393,10.135733,10.481459,"10.31(10.14-10.48)",18,"Success",0.0474140982315886,4.74141,4.28997906677393e-07,0.000654979317747815,0.065498,0.0461303387688028,0.0486978576943743,4.613034,4.869786,"4.74(4.61-4.87)",18,"Success"
392,"colorectum","Poisson","both",0.100594911926278,10.059491,8.08532933962948e-08,0.000284347135375574,0.028435,0.100037591540942,0.101152232311615,10.003759,10.115223,"10.06(10.00-10.12)",18,"Success",0.046729432621191,4.672943,3.98039892132219e-08,0.000199509371241608,0.019951,0.0463383942535575,0.0471204709888246,4.633839,4.712047,"4.67(4.63-4.71)",18,"Success"
191,"colorectum","Poisson","both",0.10008585300865,10.008585,2.97410275221103e-06,0.00172455871231194,0.172456,0.0967057179325184,0.103465988084781,9.670572,10.346599,"10.01(9.67-10.35)",18,"Success",0.0628450470148273,6.284505,2.11715537039547e-06,0.00145504480013348,0.145504,0.0599931592065657,0.0656969348230889,5.999316,6.569693,"6.28(6.00-6.57)",18,"Success"
620,"colorectum","Poisson","both",0.096755108577783,9.675511,1.05149367114982e-06,0.00102542365447156,0.102542,0.0947452782150188,0.0987649389405473,9.474528,9.876494,"9.68(9.47-9.88)",18,"Success",0.0507256372666591,5.072564,6.09295200771536e-07,0.000780573635713848,0.078057,0.04919571294066,0.0522555615926583,4.919571,5.225556,"5.07(4.92-5.23)",18,"Success"
348,"colorectum","Poisson","both",0.0941746254890455,9.417463,1.15391286637678e-06,0.00107420336360336,0.10742,0.0920691868963829,0.0962800640817081,9.206919,9.628006,"9.42(9.21-9.63)",18,"Success",0.0555993822017084,5.559938,7.73368334484469e-07,0.000879413631054505,0.087941,0.0538757314848416,0.0573230329185752,5.387573,5.732303,"5.56(5.39-5.73)",18,"Success"
372,"colorectum","Poisson","both",0.0912557797926802,9.125578,3.73171452097557e-06,0.0019317646132424,0.193176,0.0874695211507251,0.0950420384346354,8.746952,9.504204,"9.13(8.75-9.50)",18,"Success",0.0451313131331024,4.513131,2.09600449850578e-06,0.00144775843927976,0.144776,0.0422937065921141,0.0479689196740907,4.229371,4.796892,"4.51(4.23-4.80)",18,"Success"
703,"colorectum","Poisson","both",0.0901999442980576,9.019994,2.74828577624794e-06,0.00165779545669782,0.16578,0.0869506652029298,0.0934492233931853,8.695067,9.344922,"9.02(8.70-9.34)",18,"Success",0.0568042155521749,5.680422,2.03301655274396e-06,0.00142583889438602,0.142584,0.0540095713191783,0.0595988597851715,5.400957,5.959886,"5.68(5.40-5.96)",18,"Success"
924,"colorectum","Poisson","both",0.0886953461321856,8.869535,1.1995242060346e-07,0.000346341479761608,0.034634,0.0880165168318528,0.0893741754325183,8.801652,8.937418,"8.87(8.80-8.94)",18,"Success",0.0449484056753798,4.494841,6.80053397916921e-08,0.000260778334590303,0.026078,0.0444372801395828,0.0454595312111768,4.443728,4.545953,"4.49(4.44-4.55)",18,"Success"
