"ISOcode","cancer_type","distribution_method","risk_calculation","LRI_lifetime_risk","LRI_lifetime_risk_percent","LRI_variance","LRI_std_error","LRI_std_error_percent","LRI_ci_lower","LRI_ci_upper","LRI_ci_lower_percent","LRI_ci_upper_percent","LRI_n_age_groups","LRI_note","LRM_lifetime_risk","LRM_lifetime_risk_percent","LRM_variance","LRM_std_error","LRM_std_error_percent","LRM_ci_lower","LRM_ci_upper","LRM_ci_lower_percent","LRM_ci_upper_percent","LRM_n_age_groups","LRM_note"
702,"rectum","Poisson","both",0.0410248205320694,4.102482,2.13159242416685e-06,0.00145999740553429,0.146,0.0381632256172222,0.0438864154469166,3.816323,4.388642,18,"Success",0.023645706893422,2.364571,1.5363082465483e-06,0.00123947902223003,0.123948,0.0212163280098512,0.0260750857769929,2.121633,2.607509,18,"Success"
191,"rectum","Poisson","both",0.0356304472388251,3.563045,9.76980372213497e-07,0.000988423174664322,0.098842,0.033693137816483,0.0375677566611672,3.369314,3.756776,18,"Success",0.0199948011237623,1.99948,6.41844540174593e-07,0.000801152008157374,0.080115,0.0184245431877738,0.0215650590597507,1.842454,2.156506,18,"Success"
372,"rectum","Poisson","both",0.0333116237390707,3.331162,1.34348691678546e-06,0.00115908883041183,0.115909,0.0310398096314635,0.0355834378466779,3.103981,3.558344,18,"Success",0.0262461715264638,2.624617,1.18440900583341e-06,0.00108830556638906,0.108831,0.0241130926163412,0.0283792504365864,2.411309,2.837925,18,"Success"
703,"rectum","Poisson","both",0.0333107770872255,3.331078,9.26180440301024e-07,0.000962382689111262,0.096238,0.0314245070165674,0.0351970471578835,3.142451,3.519705,18,"Success",0.0203453033268638,2.03453,6.91117947548196e-07,0.00083133503928813,0.083134,0.0187158866498591,0.0219747200038686,1.871589,2.197472,18,"Success"
578,"rectum","Poisson","both",0.0331363718817018,3.313637,8.60195883991172e-07,0.000927467457106271,0.092747,0.0313185356657735,0.0349542080976301,3.131854,3.495421,18,"Success",0.0131071344443087,1.310713,4.09931409000303e-07,0.00064025886093072,0.064026,0.0118522270768845,0.0143620418117329,1.185223,1.436204,18,"Success"
208,"rectum","Poisson","both",0.03298158650872,3.298159,7.0398694553367e-07,0.000839039299159265,0.083904,0.0313370694823679,0.0346261035350722,3.133707,3.46261,18,"Success",0.00916699895510306,0.9167,2.33223485620876e-07,0.000482932174969608,0.048293,0.00822045189216263,0.0101135460180435,0.822045,1.011355,18,"Success"
554,"rectum","Poisson","both",0.0326440750962629,3.264408,1.01164181360279e-06,0.00100580406322643,0.10058,0.0306726991323391,0.0346154510601867,3.06727,3.461545,18,"Success",0.015002581995657,1.500258,5.49204903609807e-07,0.000741083600958628,0.074108,0.0135500581377781,0.0164551058535359,1.355006,1.645511,18,"Success"
392,"rectum","Poisson","both",0.0326104254218767,3.261043,2.44079132784777e-08,0.000156230321251919,0.015623,0.0323042139922229,0.0329166368515304,3.230421,3.291664,18,"Success",0.0126762100068506,1.267621,1.01040702109975e-08,0.000100519004228044,0.010052,0.0124791927585637,0.0128732272551376,1.247919,1.287323,18,"Success"
348,"rectum","Poisson","both",0.032347947778929,3.234795,3.59980710354934e-07,0.000599983925080442,0.059998,0.0311719792857713,0.0335239162720866,3.117198,3.352392,18,"Success",0.0181326713154497,1.813267,2.36511909775375e-07,0.000486324901455164,0.048632,0.0171794745085976,0.0190858681223018,1.717947,1.908587,18,"Success"
688,"rectum","Poisson","both",0.0323124643824081,3.231246,4.87566918966128e-07,0.000698259922211012,0.069826,0.0309438749348745,0.0336810538299417,3.094387,3.368105,18,"Success",0.0192895932299302,1.928959,3.38451626579669e-07,0.000581765955156942,0.058177,0.0181493319578226,0.0204298545020378,1.814933,2.042985,18,"Success"
