"ISOcode","cancer_type","distribution_method","risk_calculation","LRM_lifetime_risk","LRM_lifetime_risk_percent","LRM_variance","LRM_std_error","LRM_std_error_percent","LRM_ci_lower","LRM_ci_upper","LRM_ci_lower_percent","LRM_ci_upper_percent","LRM_n_age_groups","LRM_note"
702,"colon","Poisson","LRM",0.0561461852788642,5.614619,4.01238061723778e-06,0.00200309276301368,0.200309,0.0522201234633574,0.060072247094371,5.222012,6.007225,18,"Success"
578,"colon","Poisson","LRM",0.0453725757933782,4.537258,1.53061492154117e-06,0.00123718023001549,0.123718,0.0429477025425478,0.0477974490442085,4.29477,4.779745,18,"Success"
191,"colon","Poisson","LRM",0.0423256060322021,4.232561,1.43921760519235e-06,0.00119967395787037,0.119967,0.0399742450747761,0.044676966989628,3.997425,4.467697,18,"Success"
858,"colon","Poisson","LRM",0.0405714516321448,4.057145,2.18893000909515e-06,0.00147950329810215,0.14795,0.0376716251678646,0.043471278096425,3.767163,4.347128,18,"Success"
554,"colon","Poisson","LRM",0.0384569832761301,3.845698,1.54223967261356e-06,0.00124186942655561,0.124187,0.0360229192000811,0.0408910473521791,3.602292,4.089105,18,"Success"
192,"colon","Poisson","LRM",0.0379077871659122,3.790779,7.38288550559876e-07,0.000859237191094447,0.085924,0.0362236822713671,0.0395918920604573,3.622368,3.959189,18,"Success"
388,"colon","Poisson","LRM",0.0372760933701771,3.727609,6.28262054010116e-06,0.0025065156173663,0.250652,0.0323633227601391,0.042188863980215,3.236332,4.218886,18,"Success"
348,"colon","Poisson","LRM",0.0371734642586549,3.717346,5.26690702619571e-07,0.000725734595165183,0.072573,0.0357510244521311,0.0385959040651786,3.575102,3.85959,18,"Success"
196,"colon","Poisson","LRM",0.0368448191131451,3.684482,6.27750636262992e-06,0.00250549523300882,0.25055,0.0319340484564478,0.0417555897698424,3.193405,4.175559,18,"Success"
52,"colon","Poisson","LRM",0.0366029128122851,3.660291,2.23278312824112e-05,0.00472523346327049,0.472523,0.027341455224275,0.0458643704002953,2.734146,4.586437,18,"Success"
352,"colon","Poisson","LRM",0.0354813672788874,3.548137,1.96677264866092e-05,0.00443483105502444,0.443483,0.0267890984110395,0.0441736361467353,2.67891,4.417364,15,"Success"
620,"colon","Poisson","LRM",0.0351551840258452,3.515518,4.24592927671189e-07,0.00065160795550023,0.065161,0.0338780324330647,0.0364323356186256,3.387803,3.643234,18,"Success"
316,"colon","Poisson","LRM",0.0348916533653698,3.489165,0.000115786186655833,0.0107603990007729,1.07604,0.013801271323855,0.0559820354068846,1.380127,5.598204,18,"Success"
528,"colon","Poisson","LRM",0.0348310546520995,3.483105,3.18161505140092e-07,0.000564058068943342,0.056406,0.0337255008369705,0.0359366084672284,3.37255,3.593661,18,"Success"
703,"colon","Poisson","LRM",0.0348179226880402,3.481792,1.27443251450184e-06,0.00112890766429404,0.112891,0.0326052636660239,0.0370305817100565,3.260526,3.703058,18,"Success"
124,"colon","Poisson","LRM",0.0347891559919075,3.478916,1.97230656137865e-07,0.000444106581957377,0.044411,0.033918707091271,0.0356596048925439,3.391871,3.56596,18,"Success"
392,"colon","Poisson","LRM",0.0336288414311132,3.362884,2.89973665891182e-08,0.000170286131523146,0.017029,0.0332950806133278,0.0339626022488986,3.329508,3.39626,18,"Success"
