"ISOcode","cancer_type","distribution_method","risk_calculation","LRM_lifetime_risk","LRM_lifetime_risk_percent","LRM_variance","LRM_std_error","LRM_std_error_percent","LRM_ci_lower","LRM_ci_upper","LRM_ci_lower_percent","LRM_ci_upper_percent","LRM_n_age_groups","LRM_note"
372,"rectum","Poisson","LRM",0.0262461715264638,2.624617,1.18440900583341e-06,0.00108830556638906,0.108831,0.0241130926163412,0.0283792504365864,2.411309,2.837925,18,"Success"
702,"rectum","Poisson","LRM",0.023645706893422,2.364571,1.5363082465483e-06,0.00123947902223003,0.123948,0.0212163280098512,0.0260750857769929,2.121633,2.607509,18,"Success"
96,"rectum","Poisson","LRM",0.0210722224120555,2.107222,1.96239184875454e-05,0.00442988921842809,0.442989,0.0123896395439365,0.0297548052801746,1.238964,2.975481,18,"Success"
703,"rectum","Poisson","LRM",0.0203453033268638,2.03453,6.91117947548196e-07,0.00083133503928813,0.083134,0.0187158866498591,0.0219747200038686,1.871589,2.197472,18,"Success"
191,"rectum","Poisson","LRM",0.0199948011237623,1.99948,6.41844540174593e-07,0.000801152008157374,0.080115,0.0184245431877738,0.0215650590597507,1.842454,2.156506,18,"Success"
826,"rectum","Poisson","LRM",0.0198119912227457,1.981199,4.67176813512095e-08,0.000216142733746035,0.021614,0.0193883514646034,0.0202356309808879,1.938835,2.023563,18,"Success"
688,"rectum","Poisson","LRM",0.0192895932299302,1.928959,3.38451626579669e-07,0.000581765955156942,0.058177,0.0181493319578226,0.0204298545020378,1.814933,2.042985,18,"Success"
348,"rectum","Poisson","LRM",0.0181326713154497,1.813267,2.36511909775375e-07,0.000486324901455164,0.048632,0.0171794745085976,0.0190858681223018,1.717947,1.908587,18,"Success"
616,"rectum","Poisson","LRM",0.0180947048444558,1.80947,7.64665015216812e-08,0.000276525770086047,0.027653,0.0175527143350872,0.0186366953538245,1.755271,1.86367,18,"Success"
924,"rectum","Poisson","LRM",0.0172954916153918,1.729549,2.51701911330445e-08,0.000158651161776536,0.015865,0.0169845353383097,0.0176064478924738,1.698454,1.760645,18,"Success"
498,"rectum","Poisson","LRM",0.0163629293148797,1.636293,8.16761034937069e-07,0.00090374832499821,0.090375,0.0145915825978832,0.0181342760318762,1.459158,1.813428,18,"Success"
705,"rectum","Poisson","LRM",0.0161392067184329,1.613921,1.13545271705333e-06,0.00106557623709115,0.106558,0.0140506772937343,0.0182277361431316,1.405068,1.822774,18,"Success"
233,"rectum","Poisson","LRM",0.0160640458736955,1.606405,1.57049672317472e-06,0.00125319460706417,0.125319,0.0136077844438497,0.0185203073035412,1.360778,1.852031,18,"Success"
70,"rectum","Poisson","LRM",0.0159076482069947,1.590765,6.30519635807154e-07,0.000794052665638215,0.079405,0.0143513049823438,0.0174639914316456,1.43513,1.746399,18,"Success"
428,"rectum","Poisson","LRM",0.0158936288146333,1.589363,9.53001798429345e-07,0.00097621811007036,0.097622,0.0139802413188954,0.0178070163103712,1.398024,1.780702,18,"Success"
112,"rectum","Poisson","LRM",0.0154809017179607,1.54809,2.37326208573003e-07,0.000487161378367583,0.048716,0.0145260654163602,0.0164357380195612,1.452607,1.643574,18,"Success"
124,"rectum","Poisson","LRM",0.0151926947275453,1.519269,7.90873260580097e-08,0.000281224689630924,0.028122,0.0146414943358687,0.0157438951192219,1.464149,1.57439,18,"Success"
620,"rectum","Poisson","LRM",0.0150404481628849,1.504045,1.73526626377231e-07,0.000416565272649115,0.041657,0.0142239802284926,0.0158569160972771,1.422398,1.585692,18,"Success"
554,"rectum","Poisson","LRM",0.015002581995657,1.500258,5.49204903609807e-07,0.000741083600958628,0.074108,0.0135500581377781,0.0164551058535359,1.355006,1.645511,18,"Success"
642,"rectum","Poisson","LRM",0.0148858516538033,1.488585,9.90129335548299e-08,0.00031466320654762,0.031466,0.0142691117689699,0.0155025915386366,1.426911,1.550259,18,"Success"
156,"rectum","Poisson","LRM",0.0148186325612362,1.481863,2.82376899991396e-09,5.31391475271664e-05,0.005314,0.014714479832083,0.0149227852903895,1.471448,1.492279,18,"Success"
434,"rectum","Poisson","LRM",0.0145984751939961,1.459848,1.76800113189716e-06,0.00132966203672105,0.132966,0.0119923376020228,0.0172046127859693,1.199234,1.720461,18,"Success"
923,"rectum","Poisson","LRM",0.0143270620021912,1.432706,7.56589368182212e-09,8.6982145764646e-05,0.008698,0.0141565769964925,0.0144975470078899,1.415658,1.449755,18,"Success"
458,"rectum","Poisson","LRM",0.0140424134781882,1.404241,2.57110549778676e-07,0.000507060696345789,0.050706,0.0130485745133505,0.015036252443026,1.304857,1.503625,18,"Success"
906,"rectum","Poisson","LRM",0.0139228405203167,1.392284,1.92539015393206e-09,4.38792679283972e-05,0.004388,0.013836837155177,0.0140088438854563,1.383684,1.400884,18,"Success"
440,"rectum","Poisson","LRM",0.01371538176656,1.371538,5.47643234556605e-07,0.000740029211961667,0.074003,0.0122649245111152,0.0151658390220049,1.226492,1.516584,18,"Success"
203,"rectum","Poisson","LRM",0.0135661954575929,1.35662,1.87426871791373e-07,0.000432928252475365,0.043293,0.0127176560827412,0.0144147348324446,1.271766,1.441473,18,"Success"
807,"rectum","Poisson","LRM",0.0135439453510196,1.354395,1.08658854909507e-06,0.00104239558186663,0.10424,0.011500850010561,0.0155870406914782,1.150085,1.558704,18,"Success"
470,"rectum","Poisson","LRM",0.0135366181605615,1.353662,5.83351032000029e-06,0.00241526609714133,0.241527,0.00880269661016451,0.0182705397109585,0.88027,1.827054,18,"Success"
410,"rectum","Poisson","LRM",0.0133804879874054,1.338049,5.49506364044375e-08,0.000234415520826667,0.023442,0.0129210335665852,0.0138399424082257,1.292103,1.383994,18,"Success"
643,"rectum","Poisson","LRM",0.0132301869684354,1.323019,1.50339269580911e-08,0.000122612915135768,0.012261,0.0129898656547692,0.0134705082821015,1.298987,1.347051,18,"Success"
578,"rectum","Poisson","LRM",0.0131071344443087,1.310713,4.09931409000303e-07,0.00064025886093072,0.064026,0.0118522270768845,0.0143620418117329,1.185223,1.436204,18,"Success"
