"Region","ISOcode","lifetime_risk_percent_colorectum","ci_lower_percent_colorectum","ci_upper_percent_colorectum","lifetime_risk_percent_rectum","ci_lower_percent_rectum","ci_upper_percent_rectum","risk_ratio","country"
"Norway",578,12.802061,12.421311,13.18281,3.313637,3.131854,3.495421,0.258836213950238,"Norway"
"Denmark",208,12.417438,12.085165,12.749712,3.298159,3.133707,3.46261,0.265607043900682,"Denmark"
"Singapore",702,12.102213,11.586509,12.617918,4.102482,3.816323,4.388642,0.33898610113704,"Singapore"
"New Zealand",554,10.795885,10.416764,11.175007,3.264408,3.06727,3.461545,0.302375210554762,"New Zealand"
"Netherlands",528,10.31526,10.142289,10.488231,3.061205,2.971293,3.151118,0.296764696187978,"Netherlands"
"Japan",392,10.063568,10.007813,10.119322,3.261043,3.230421,3.291664,0.324044414466122,"Japan"
"Croatia",191,10.016193,9.677923,10.354463,3.563045,3.369314,3.756776,0.355728468890326,"Croatia"
"Portugal",620,9.682733,9.481601,9.883865,3.175835,3.064086,3.287585,0.327989525271429,"Portugal"
"Hungary",348,9.424237,9.213544,9.634931,3.234795,3.117198,3.352392,0.343242110740636,"Hungary"
"Ireland",372,9.130702,8.751879,9.509526,3.331162,3.103981,3.558344,0.364830874997344,"Ireland"
"Slovakia",703,9.028445,8.703214,9.353676,3.331078,3.142451,3.519705,0.368953679177311,"Slovakia"
"Spain",724,8.87373,8.777147,8.970312,2.695623,2.644876,2.74637,0.303775638880155,"Spain"
"United Kingdom",826,8.779849,8.693766,8.865932,2.771216,2.724475,2.817957,0.315633674337679,"United Kingdom"
"Italy",380,8.688463,8.610542,8.766385,2.280574,2.24182,2.319329,0.262483019148496,"Italy"
"France",250,8.588891,8.507681,8.670101,2.654752,2.611283,2.69822,0.309091359990481,"France"
"Estonia",233,8.485345,7.935624,9.035067,2.867604,2.554667,3.18054,0.337947838302391,"Estonia"
"Uruguay",858,8.454161,8.055385,8.852937,2.211427,2.0146,2.408254,0.2615785292,"Uruguay"
"Sweden",752,8.395596,8.186698,8.604494,2.460942,2.353038,2.568847,0.293122965897835,"Sweden"
"Australia",36,8.383866,8.2391,8.528632,2.243689,2.17321,2.314169,0.267619854611226,"Australia"
"Iceland",352,8.037756,6.804027,9.271485,1.955016,1.36594,2.544092,0.243229080355263,"Iceland"
"Poland",616,7.929255,7.820489,8.038022,3.085483,3.019835,3.151132,0.389126469006231,"Poland"
"Slovenia",705,7.841345,7.406132,8.276557,3.010622,2.748158,3.273086,0.383942040555542,"Slovenia"
"Malta",470,7.756879,6.688285,8.825474,2.258632,1.690436,2.826829,0.291177933805594,"Malta"
"Belgium",56,7.605524,7.422034,7.789015,1.964419,1.874754,2.054084,0.258288449290279,"Belgium"
"Luxembourg",442,7.561031,6.596834,8.525229,1.931128,1.45951,2.402746,0.255405380562519,"Luxembourg"
