"Region","lifetime_risk_percent_CC","lifetime_risk_percent_RC","lifetime_risk_percent_CRC","ISOcode","ci_lower_percent_CC","ci_upper_percent_CC","ci_lower_percent_RC","ci_upper_percent_RC","ci_lower_percent_CRC","ci_upper_percent_CRC"
"Afghanistan",0.544256,0.475583,1.092405,4,0.467245,0.621268,0.405928,0.545239,0.986868,1.197943
"Albania",1.218058,0.971387,2.2258,8,1.045346,1.39077,0.830376,1.112399,2.001065,2.450535
"Algeria",2.485807,1.559978,4.159209,12,2.381066,2.590548,1.479924,1.640031,4.024702,4.293716
"Angola",0.380399,0.185236,0.591017,24,0.308252,0.452546,0.162195,0.208276,0.514689,0.667344
"Azerbaijan",1.87067,0.924595,2.911306,31,1.696939,2.044402,0.814584,1.034607,2.702792,3.11982
"Argentina",4.324684,0.954141,5.356081,32,4.239163,4.410206,0.915641,0.99264,5.261489,5.450672
"Australia",5.887257,2.243689,8.37753,36,5.764165,6.010349,2.17321,2.314169,8.232795,8.522266
"Austria",3.403214,1.533296,5.131506,40,3.270104,3.536324,1.448297,1.618295,4.969485,5.293528
"Bahamas",2.973933,1.004598,4.096743,44,2.046722,3.901145,0.512036,1.497159,3.042861,5.150624
"Bahrain",2.707112,0.811101,3.555087,48,1.805823,3.608401,0.477364,1.144839,2.588824,4.521349
"Bangladesh",0.332448,0.359711,0.742988,50,0.311824,0.353073,0.335952,0.383469,0.710398,0.775578
"Armenia",4.222951,1.183095,5.438003,51,3.885685,4.560218,1.011239,1.354951,5.058023,5.817983
"Barbados",4.410731,1.797403,6.470072,52,3.406652,5.41481,1.170032,2.424774,5.266028,7.674117
"Belgium",5.451261,1.964419,7.599908,56,5.295124,5.607399,1.874754,2.054084,7.416547,7.783269
"Bhutan",0.438898,0.487741,0.926302,64,0.150394,0.727401,0.194562,0.78092,0.51492,1.337684
"Bolivia",1.214644,0.275945,1.508937,68,1.084436,1.344851,0.214138,0.337752,1.364237,1.653636
"Bosnia & Herzegovina",2.697205,2.301458,5.011867,70,2.50791,2.8865,2.130526,2.472391,4.755061,5.268672
"Botswana",0.401072,0.244543,0.775947,72,0.243541,0.558603,0.14027,0.348816,0.565008,0.986887
