"ISOcode","AgeStart","AgeEnd","Ri"
900,0,4,0
900,5,9,0
900,10,14,159
900,15,19,2177
900,20,24,3132
900,25,29,5022
900,30,34,8427
900,35,39,14488
900,40,44,24931
900,45,49,43145
900,50,54,74579
900,55,59,103948
900,60,64,132489
900,65,69,168914
900,70,74,172840
900,75,79,145187
900,80,84,119882
900,85,999,122544
981,0,4,0
981,5,9,0
981,10,14,9
981,15,19,1012
981,20,24,1082
981,25,29,1451
981,30,34,2393
981,35,39,4987
981,40,44,9747
981,45,49,17771
981,50,54,30091
981,55,59,46878
981,60,64,69228
981,65,69,88371
981,70,74,101173
981,75,79,91497
981,80,84,79464
981,85,999,90247
982,0,4,0
982,5,9,0
982,10,14,67
982,15,19,536
982,20,24,873
982,25,29,2002
982,30,34,3658
982,35,39,6202
982,40,44,10359
982,45,49,18417
982,50,54,35030
982,55,59,45187
982,60,64,49564
982,65,69,66686
982,70,74,60073
982,75,79,45286
982,80,84,35097
982,85,999,28677
983,0,4,0
983,5,9,0
983,10,14,22
983,15,19,330
983,20,24,658
983,25,29,928
983,30,34,1446
983,35,39,2074
983,40,44,3338
983,45,49,4996
983,50,54,7064
983,55,59,9212
983,60,64,10952
983,65,69,11384
983,70,74,9521
983,75,79,6844
983,80,84,4391
983,85,999,3079
984,0,4,0
984,5,9,0
984,10,14,61
984,15,19,299
984,20,24,519
984,25,29,641
984,30,34,930
984,35,39,1225
984,40,44,1487
984,45,49,1961
984,50,54,2394
984,55,59,2671
984,60,64,2745
984,65,69,2473
984,70,74,2073
984,75,79,1560
984,80,84,930
984,85,999,541
