"ISOcode","AgeStart","AgeEnd","Ri"
900,0,4,0
900,5,9,0
900,10,14,851
900,15,19,1485
900,20,24,3132
900,25,29,5022
900,30,34,8431
900,35,39,14493
900,40,44,24942
900,45,49,43167
900,50,54,74612
900,55,59,103992
900,60,64,132544
900,65,69,168965
900,70,74,172892
900,75,79,145237
900,80,84,119922
900,85,999,122599
905,0,4,0
905,5,9,0
905,10,14,124
905,15,19,228
905,20,24,297
905,25,29,538
905,30,34,1240
905,35,39,2243
905,40,44,3653
905,45,49,5386
905,50,54,8273
905,55,59,11441
905,60,64,15124
905,65,69,16930
905,70,74,16735
905,75,79,14769
905,80,84,10963
905,85,999,12833
906,0,4,0
906,5,9,0
906,10,14,113
906,15,19,174
906,20,24,393
906,25,29,1159
906,30,34,2427
906,35,39,3810
906,40,44,6408
906,45,49,13192
906,50,54,28300
906,55,59,36439
906,60,64,40295
906,65,69,60365
906,70,74,60566
906,75,79,51148
906,80,84,41143
906,85,999,40899
910,0,4,0
910,5,9,0
910,10,14,35
910,15,19,55
910,20,24,225
910,25,29,307
910,30,34,315
910,35,39,449
910,40,44,607
910,45,49,842
910,50,54,1047
910,55,59,1222
910,60,64,1332
910,65,69,1241
910,70,74,914
910,75,79,628
910,80,84,346
910,85,999,193
911,0,4,0
911,5,9,0
911,10,14,51
911,15,19,35
911,20,24,58
911,25,29,109
911,30,34,127
911,35,39,120
911,40,44,169
911,45,49,208
911,50,54,283
911,55,59,298
911,60,64,272
911,65,69,207
911,70,74,193
911,75,79,145
911,80,84,82
911,85,999,51
912,0,4,0
912,5,9,0
912,10,14,36
912,15,19,87
912,20,24,157
912,25,29,196
912,30,34,365
912,35,39,625
912,40,44,902
912,45,49,1134
912,50,54,1371
912,55,59,1596
912,60,64,1719
912,65,69,1707
912,70,74,1413
912,75,79,1033
912,80,84,732
912,85,999,540
913,0,4,0
913,5,9,0
913,10,14,9
913,15,19,6
913,20,24,13
913,25,29,46
913,30,34,71
913,35,39,73
913,40,44,121
913,45,49,216
913,50,54,323
913,55,59,448
913,60,64,503
913,65,69,561
913,70,74,572
913,75,79,440
913,80,84,273
913,85,999,127
914,0,4,0
914,5,9,0
914,10,14,5
914,15,19,52
914,20,24,70
914,25,29,108
914,30,34,245
914,35,39,312
914,40,44,377
914,45,49,588
914,50,54,779
914,55,59,941
914,60,64,985
914,65,69,870
914,70,74,695
914,75,79,467
914,80,84,232
914,85,999,93
915,0,4,0
915,5,9,0
915,10,14,0
915,15,19,25
915,20,24,15
915,25,29,26
915,30,34,43
915,35,39,108
915,40,44,189
915,45,49,313
915,50,54,535
915,55,59,836
915,60,64,1036
915,65,69,1178
915,70,74,1343
915,75,79,1310
915,80,84,1109
915,85,999,1205
916,0,4,0
916,5,9,0
916,10,14,0
916,15,19,22
916,20,24,88
916,25,29,149
916,30,34,221
916,35,39,393
916,40,44,669
916,45,49,1019
916,50,54,1390
916,55,59,1725
916,60,64,1974
916,65,69,2050
916,70,74,1853
916,75,79,1540
916,80,84,1190
916,85,999,1266
920,0,4,0
920,5,9,0
920,10,14,59
920,15,19,176
920,20,24,322
920,25,29,635
920,30,34,569
920,35,39,1175
920,40,44,2254
920,45,49,3715
920,50,54,5691
920,55,59,7604
920,60,64,9153
920,65,69,9332
920,70,74,7732
920,75,79,5541
920,80,84,3779
920,85,999,3084
921,0,4,0
921,5,9,0
921,10,14,87
921,15,19,225
921,20,24,547
921,25,29,722
921,30,34,1450
921,35,39,2012
921,40,44,3000
921,45,49,4166
921,50,54,5507
921,55,59,6976
921,60,64,8122
921,65,69,8295
921,70,74,6658
921,75,79,4476
921,80,84,2776
921,85,999,1796
922,0,4,0
922,5,9,0
922,10,14,77
922,15,19,73
922,20,24,188
922,25,29,195
922,30,34,302
922,35,39,646
922,40,44,1121
922,45,49,1728
922,50,54,2413
922,55,59,3181
922,60,64,3699
922,65,69,3745
922,70,74,3315
922,75,79,2643
922,80,84,2059
922,85,999,1989
923,0,4,0
923,5,9,0
923,10,14,33
923,15,19,44
923,20,24,95
923,25,29,119
923,30,34,125
923,35,39,485
923,40,44,1247
923,45,49,2707
923,50,54,4843
923,55,59,8797
923,60,64,16155
923,65,69,21205
923,70,74,21012
923,75,79,12225
923,80,84,11334
923,85,999,8464
924,0,4,0
924,5,9,0
924,10,14,36
924,15,19,42
924,20,24,45
924,25,29,79
924,30,34,173
924,35,39,319
924,40,44,556
924,45,49,969
924,50,54,1864
924,55,59,3270
924,60,64,4850
924,65,69,6471
924,70,74,8412
924,75,79,9220
924,80,84,7295
924,85,999,8489
925,0,4,0
925,5,9,0
925,10,14,23
925,15,19,38
925,20,24,46
925,25,29,68
925,30,34,97
925,35,39,233
925,40,44,667
925,45,49,1769
925,50,54,3286
925,55,59,5601
925,60,64,8309
925,65,69,11416
925,70,74,14385
925,75,79,14086
925,80,84,12405
925,85,999,13986
926,0,4,0
926,5,9,0
926,10,14,73
926,15,19,62
926,20,24,128
926,25,29,115
926,30,34,212
926,35,39,431
926,40,44,841
926,45,49,1568
926,50,54,3120
926,55,59,5571
926,60,64,8812
926,65,69,11843
926,70,74,15117
926,75,79,14630
926,80,84,15163
926,85,999,17261
927,0,4,0
927,5,9,0
927,10,14,70
927,15,19,67
927,20,24,93
927,25,29,133
927,30,34,188
927,35,39,260
927,40,44,309
927,45,49,434
927,50,54,606
927,55,59,874
927,60,64,1274
927,65,69,1646
927,70,74,2051
927,75,79,2099
927,80,84,1765
927,85,999,2231
928,0,4,0
928,5,9,0
928,10,14,0
928,15,19,0
928,20,24,5
928,25,29,0
928,30,34,0
928,35,39,5
928,40,44,7
928,45,49,25
928,50,54,42
928,55,59,50
928,60,64,60
928,65,69,63
928,70,74,58
928,75,79,43
928,80,84,23
928,85,999,17
931,0,4,0
931,5,9,0
931,10,14,20
931,15,19,74
931,20,24,347
931,25,29,318
931,30,34,261
931,35,39,794
931,40,44,1845
931,45,49,3176
931,50,54,4927
931,55,59,7108
931,60,64,8850
931,65,69,9823
931,70,74,9845
931,75,79,8779
931,80,84,7240
931,85,999,8069
954,0,4,0
954,5,9,0
954,10,14,0
954,15,19,0
954,20,24,0
954,25,29,0
954,30,34,0
954,35,39,0
954,40,44,0
954,45,49,6
954,50,54,6
954,55,59,6
954,60,64,8
954,65,69,5
954,70,74,12
954,75,79,8
954,80,84,6
954,85,999,4
957,0,4,0
957,5,9,0
957,10,14,0
957,15,19,0
957,20,24,0
957,25,29,0
957,30,34,0
957,35,39,0
957,40,44,0
957,45,49,6
957,50,54,6
957,55,59,8
957,60,64,12
957,65,69,12
957,70,74,11
957,75,79,7
957,80,84,7
957,85,999,2
