"ISOcode","AgeStart","AgeEnd","Di"
900,0,4,0
900,5,9,0
900,10,14,159
900,15,19,393
900,20,24,977
900,25,29,1927
900,30,34,3614
900,35,39,4860
900,40,44,8147
900,45,49,14889
900,50,54,25536
900,55,59,36330
900,60,64,47895
900,65,69,64867
900,70,74,74832
900,75,79,76613
900,80,84,78750
900,85,999,98104
981,0,4,0
981,5,9,0
981,10,14,9
981,15,19,30
981,20,24,97
981,25,29,369
981,30,34,789
981,35,39,1194
981,40,44,2569
981,45,49,4958
981,50,54,8885
981,55,59,14215
981,60,64,21484
981,65,69,29721
981,70,74,39122
981,75,79,44081
981,80,84,49181
981,85,999,68282
982,0,4,0
982,5,9,0
982,10,14,67
982,15,19,163
982,20,24,322
982,25,29,747
982,30,34,1516
982,35,39,1979
982,40,44,3182
982,45,49,6114
982,50,54,11208
982,55,59,15281
982,60,64,18564
982,65,69,26923
982,70,74,28062
982,75,79,26356
982,80,84,25299
982,85,999,26693
983,0,4,0
983,5,9,0
983,10,14,22
983,15,19,97
983,20,24,231
983,25,29,399
983,30,34,730
983,35,39,952
983,40,44,1431
983,45,49,2514
983,50,54,3841
983,55,59,5027
983,60,64,5982
983,65,69,6457
983,70,74,6042
983,75,79,4914
983,80,84,3482
983,85,999,2654
984,0,4,0
984,5,9,0
984,10,14,61
984,15,19,103
984,20,24,327
984,25,29,412
984,30,34,579
984,35,39,735
984,40,44,965
984,45,49,1303
984,50,54,1602
984,55,59,1807
984,60,64,1865
984,65,69,1766
984,70,74,1606
984,75,79,1262
984,80,84,788
984,85,999,475
