"ISOcode","AgeStart","AgeEnd","Di"
4,0,4,0
4,5,9,0
4,10,14,0
4,15,19,10
4,20,24,12
4,25,29,11
4,30,34,19
4,35,39,19
4,40,44,23
4,45,49,30
4,50,54,38
4,55,59,45
4,60,64,49
4,65,69,46
4,70,74,40
4,75,79,28
4,80,84,14
4,85,999,7
8,0,4,0
8,5,9,0
8,10,14,0
8,15,19,0
8,20,24,0
8,25,29,0
8,30,34,0
8,35,39,0
8,40,44,2
8,45,49,3
8,50,54,6
8,55,59,11
8,60,64,18
8,65,69,24
8,70,74,26
8,75,79,25
8,80,84,22
8,85,999,18
12,0,4,0
12,5,9,0
12,10,14,0
12,15,19,22
12,20,24,14
12,25,29,10
12,30,34,7
12,35,39,26
12,40,44,76
12,45,49,134
12,50,54,199
12,55,59,263
12,60,64,306
12,65,69,354
12,70,74,349
12,75,79,312
12,80,84,285
12,85,999,288
24,0,4,0
24,5,9,0
24,10,14,0
24,15,19,0
24,20,24,4
24,25,29,6
24,30,34,20
24,35,39,11
24,40,44,32
24,45,49,41
24,50,54,53
24,55,59,32
24,60,64,20
24,65,69,7
24,70,74,8
24,75,79,27
24,80,84,14
24,85,999,13
31,0,4,0
31,5,9,0
31,10,14,0
31,15,19,0
31,20,24,0
31,25,29,3
31,30,34,5
31,35,39,7
31,40,44,18
31,45,49,28
31,50,54,43
31,55,59,58
31,60,64,76
31,65,69,80
31,70,74,63
31,75,79,40
31,80,84,38
31,85,999,34
32,0,4,0
32,5,9,0
32,10,14,1
32,15,19,3
32,20,24,10
32,25,29,52
32,30,34,21
32,35,39,41
32,40,44,115
32,45,49,207
32,50,54,322
32,55,59,512
32,60,64,734
32,65,69,956
32,70,74,1136
32,75,79,1178
32,80,84,1037
32,85,999,1217
36,0,4,0
36,5,9,0
36,10,14,0
36,15,19,0
36,20,24,2
36,25,29,7
36,30,34,14
36,35,39,18
36,40,44,29
36,45,49,50
36,50,54,81
36,55,59,135
36,60,64,197
36,65,69,272
36,70,74,363
36,75,79,604
36,80,84,739
36,85,999,1243
40,0,4,0
40,5,9,0
40,10,14,0
40,15,19,0
40,20,24,0
40,25,29,0
40,30,34,2
40,35,39,2
40,40,44,6
40,45,49,13
40,50,54,33
40,55,59,63
40,60,64,93
40,65,69,132
40,70,74,199
40,75,79,243
40,80,84,323
40,85,999,322
44,0,4,0
44,5,9,0
44,10,14,0
44,15,19,0
44,20,24,0
44,25,29,0
44,30,34,0
44,35,39,0
44,40,44,0
44,45,49,2
44,50,54,4
44,55,59,6
44,60,64,8
44,65,69,7
44,70,74,7
44,75,79,5
44,80,84,6
44,85,999,4
48,0,4,0
48,5,9,0
48,10,14,0
48,15,19,0
48,20,24,0
48,25,29,1
48,30,34,1
48,35,39,1
48,40,44,1
48,45,49,0
48,50,54,3
48,55,59,6
48,60,64,8
48,65,69,6
48,70,74,5
48,75,79,4
48,80,84,3
48,85,999,2
50,0,4,0
50,5,9,0
50,10,14,0
50,15,19,10
50,20,24,16
50,25,29,33
50,30,34,81
50,35,39,69
50,40,44,119
50,45,49,167
50,50,54,213
50,55,59,247
50,60,64,219
50,65,69,154
50,70,74,128
50,75,79,115
50,80,84,80
50,85,999,64
51,0,4,0
51,5,9,0
51,10,14,0
51,15,19,0
51,20,24,0
51,25,29,1
51,30,34,1
51,35,39,3
51,40,44,1
51,45,49,4
51,50,54,11
51,55,59,24
51,60,64,48
51,65,69,68
51,70,74,65
51,75,79,42
51,80,84,49
51,85,999,52
52,0,4,0
52,5,9,0
52,10,14,0
52,15,19,0
52,20,24,0
52,25,29,0
52,30,34,0
52,35,39,0
52,40,44,0
52,45,49,0
52,50,54,4
52,55,59,8
52,60,64,10
52,65,69,10
52,70,74,12
52,75,79,14
52,80,84,10
52,85,999,10
56,0,4,0
56,5,9,0
56,10,14,0
56,15,19,0
56,20,24,0
56,25,29,0
56,30,34,2
56,35,39,2
56,40,44,9
56,45,49,20
56,50,54,47
56,55,59,90
56,60,64,143
56,65,69,220
56,70,74,334
56,75,79,393
56,80,84,412
56,85,999,621
64,0,4,0
64,5,9,0
64,10,14,0
64,15,19,0
64,20,24,0
64,25,29,0
64,30,34,0
64,35,39,0
64,40,44,0
64,45,49,0
64,50,54,0
64,55,59,0
64,60,64,0
64,65,69,2
64,70,74,2
64,75,79,2
64,80,84,0
64,85,999,0
68,0,4,0
68,5,9,0
68,10,14,0
68,15,19,0
68,20,24,0
68,25,29,0
68,30,34,2
68,35,39,0
68,40,44,15
68,45,49,26
68,50,54,31
68,55,59,31
68,60,64,42
68,65,69,54
68,70,74,62
68,75,79,55
68,80,84,35
68,85,999,27
70,0,4,0
70,5,9,0
70,10,14,0
70,15,19,0
70,20,24,0
70,25,29,0
70,30,34,0
70,35,39,1
70,40,44,4
70,45,49,8
70,50,54,18
70,55,59,38
70,60,64,76
70,65,69,107
70,70,74,104
70,75,79,73
70,80,84,71
70,85,999,66
72,0,4,0
72,5,9,0
72,10,14,0
72,15,19,0
72,20,24,0
72,25,29,0
72,30,34,0
72,35,39,0
72,40,44,2
72,45,49,1
72,50,54,2
72,55,59,2
72,60,64,3
72,65,69,2
72,70,74,4
72,75,79,3
72,80,84,2
72,85,999,0
76,0,4,0
76,5,9,0
76,10,14,2
76,15,19,10
76,20,24,29
76,25,29,62
76,30,34,203
76,35,39,189
76,40,44,357
76,45,49,642
76,50,54,1017
76,55,59,1532
76,60,64,2020
76,65,69,2349
76,70,74,2456
76,75,79,2397
76,80,84,2200
76,85,999,2652
84,0,4,0
84,5,9,0
84,10,14,0
84,15,19,0
84,20,24,0
84,25,29,0
84,30,34,0
84,35,39,1
84,40,44,0
84,45,49,0
84,50,54,1
84,55,59,3
84,60,64,4
84,65,69,2
84,70,74,2
84,75,79,1
84,80,84,3
84,85,999,2
90,0,4,0
90,5,9,0
90,10,14,0
90,15,19,0
90,20,24,0
90,25,29,0
90,30,34,0
90,35,39,0
90,40,44,0
90,45,49,0
90,50,54,0
90,55,59,0
90,60,64,1
90,65,69,1
90,70,74,0
90,75,79,1
90,80,84,0
90,85,999,1
96,0,4,0
96,5,9,0
96,10,14,0
96,15,19,0
96,20,24,0
96,25,29,0
96,30,34,0
96,35,39,0
