"ISOcode","AgeStart","AgeEnd","Di"
900,0,4,0
900,5,9,0
900,10,14,159
900,15,19,393
900,20,24,977
900,25,29,1927
900,30,34,3614
900,35,39,4864
900,40,44,8151
900,45,49,14897
900,50,54,25550
900,55,59,36352
900,60,64,47930
900,65,69,64903
900,70,74,74871
900,75,79,76650
900,80,84,78782
900,85,999,98147
905,0,4,0
905,5,9,0
905,10,14,1
905,15,19,9
905,20,24,20
905,25,29,75
905,30,34,185
905,35,39,425
905,40,44,855
905,45,49,1373
905,50,54,2264
905,55,59,3265
905,60,64,4367
905,65,69,4969
905,70,74,5104
905,75,79,6275
905,80,84,6419
905,85,999,9837
906,0,4,0
906,5,9,0
906,10,14,38
906,15,19,54
906,20,24,121
906,25,29,301
906,30,34,809
906,35,39,920
906,40,44,1414
906,45,49,3386
906,50,54,7305
906,55,59,9998
906,60,64,12086
906,65,69,20194
906,70,74,22983
906,75,79,25301
906,80,84,26905
906,85,999,35322
910,0,4,0
910,5,9,0
910,10,14,1
910,15,19,23
910,20,24,156
910,25,29,217
910,30,34,216
910,35,39,306
910,40,44,416
910,45,49,576
910,50,54,731
910,55,59,849
910,60,64,905
910,65,69,864
910,70,74,719
910,75,79,517
910,80,84,304
910,85,999,188
911,0,4,0
911,5,9,0
911,10,14,10
911,15,19,13
911,20,24,39
911,25,29,74
911,30,34,80
911,35,39,78
911,40,44,110
911,45,49,145
911,50,54,189
911,55,59,189
911,60,64,188
911,65,69,165
911,70,74,157
911,75,79,138
911,80,84,81
911,85,999,49
912,0,4,0
912,5,9,0
912,10,14,20
912,15,19,73
912,20,24,89
912,25,29,133
912,30,34,177
912,35,39,255
912,40,44,365
912,45,49,488
912,50,54,616
912,55,59,749
912,60,64,857
912,65,69,943
912,70,74,925
912,75,79,825
912,80,84,700
912,85,999,609
913,0,4,0
913,5,9,0
913,10,14,1
913,15,19,1
913,20,24,8
913,25,29,17
913,30,34,60
913,35,39,47
913,40,44,88
913,45,49,161
913,50,54,241
913,55,59,322
913,60,64,411
913,65,69,454
913,70,74,393
913,75,79,444
913,80,84,413
913,85,999,300
914,0,4,0
914,5,9,0
914,10,14,0
914,15,19,35
914,20,24,61
914,25,29,71
914,30,34,168
914,35,39,214
914,40,44,263
914,45,49,417
914,50,54,541
914,55,59,628
914,60,64,672
914,65,69,632
914,70,74,546
914,75,79,392
914,80,84,206
914,85,999,86
915,0,4,0
915,5,9,0
915,10,14,20
915,15,19,2
915,20,24,13
915,25,29,19
915,30,34,41
915,35,39,52
915,40,44,90
915,45,49,160
915,50,54,268
915,55,59,434
915,60,64,555
915,65,69,672
915,70,74,824
915,75,79,902
915,80,84,852
915,85,999,1019
916,0,4,0
916,5,9,0
916,10,14,1
916,15,19,9
916,20,24,28
916,25,29,57
916,30,34,148
916,35,39,184
916,40,44,303
916,45,49,482
916,50,54,661
916,55,59,838
916,60,64,1013
916,65,69,1128
916,70,74,1149
916,75,79,1042
916,80,84,860
916,85,999,971
920,0,4,0
920,5,9,0
920,10,14,13
920,15,19,13
920,20,24,75
920,25,29,224
920,30,34,257
920,35,39,496
920,40,44,834
920,45,49,1495
920,50,54,2388
920,55,59,3190
920,60,64,3954
920,65,69,4510
920,70,74,4485
920,75,79,3944
920,80,84,3236
920,85,999,3129
921,0,4,0
921,5,9,0
921,10,14,41
921,15,19,101
921,20,24,217
921,25,29,326
921,30,34,654
921,35,39,814
921,40,44,1227
921,45,49,2022
921,50,54,2958
921,55,59,3926
921,60,64,4589
921,65,69,4858
921,70,74,4339
921,75,79,3389
921,80,84,2421
921,85,999,1854
922,0,4,0
922,5,9,0
922,10,14,9
922,15,19,30
922,20,24,51
922,25,29,136
922,30,34,168
922,35,39,286
922,40,44,526
922,45,49,805
922,50,54,1117
922,55,59,1467
922,60,64,1785
922,65,69,2024
922,70,74,2038
922,75,79,1896
922,80,84,1682
922,85,999,1766
923,0,4,0
923,5,9,0
923,10,14,0
923,15,19,4
923,20,24,17
923,25,29,31
923,30,34,120
923,35,39,133
923,40,44,318
923,45,49,905
923,50,54,1789
923,55,59,3266
923,60,64,6391
923,65,69,9190
923,70,74,10583
923,75,79,7269
923,80,84,8148
923,85,999,7615
924,0,4,0
924,5,9,0
924,10,14,0
924,15,19,0
924,20,24,7
924,25,29,26
924,30,34,63
924,35,39,81
924,40,44,139
924,45,49,209
924,50,54,415
924,55,59,668
924,60,64,1000
924,65,69,1665
924,70,74,2979
924,75,79,4037
924,80,84,3883
924,85,999,5255
925,0,4,0
925,5,9,0
925,10,14,0
925,15,19,0
925,20,24,0
925,25,29,3
925,30,34,37
925,35,39,71
925,40,44,212
925,45,49,488
925,50,54,971
925,55,59,1622
925,60,64,2401
925,65,69,3683
925,70,74,5830
925,75,79,7129
925,80,84,8124
925,85,999,11376
926,0,4,0
926,5,9,0
926,10,14,0
926,15,19,0
926,20,24,0
926,25,29,12
926,30,34,68
926,35,39,108
926,40,44,232
926,45,49,434
926,50,54,955
926,55,59,1707
926,60,64,2382
926,65,69,3608
926,70,74,5837
926,75,79,6833
926,80,84,8562
926,85,999,11131
927,0,4,0
927,5,9,0
927,10,14,0
927,15,19,0
927,20,24,3
927,25,29,12
927,30,34,16
927,35,39,22
927,40,44,37
927,45,49,66
927,50,54,111
927,55,59,181
927,60,64,263
927,65,69,364
927,70,74,517
927,75,79,818
927,80,84,960
927,85,999,1550
928,0,4,0
928,5,9,0
928,10,14,0
928,15,19,0
928,20,24,0
928,25,29,0
928,30,34,0
928,35,39,3
928,40,44,4
928,45,49,14
928,50,54,24
928,55,59,31
928,60,64,38
928,65,69,36
928,70,74,32
928,75,79,26
928,80,84,19
928,85,999,16
931,0,4,0
931,5,9,0
931,10,14,4
931,15,19,26
931,20,24,72
931,25,29,193
931,30,34,347
931,35,39,369
931,40,44,718
931,45,49,1271
931,50,54,2006
931,55,59,3018
931,60,64,4060
931,65,69,4931
931,70,74,5416
931,75,79,5461
931,80,84,4997
931,85,999,6070
954,0,4,0
954,5,9,0
954,10,14,0
954,15,19,0
954,20,24,0
954,25,29,0
954,30,34,0
954,35,39,0
954,40,44,0
954,45,49,0
954,50,54,0
954,55,59,0
954,60,64,8
954,65,69,5
954,70,74,7
954,75,79,8
954,80,84,6
954,85,999,4
957,0,4,0
957,5,9,0
957,10,14,0
957,15,19,0
957,20,24,0
957,25,29,0
957,30,34,0
957,35,39,0
957,40,44,0
957,45,49,0
957,50,54,0
957,55,59,4
957,60,64,5
957,65,69,8
957,70,74,8
957,75,79,4
957,80,84,4
957,85,999,0
