Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,8,004,4,Afghanistan,0,419,-,-,419,2.0,1.0,0.22
ALB,8,008,8,Albania,0,143,-,-,143,3.5,5.6,0.40
DZA,8,012,12,Algeria,0,3027,-,-,3027,7.3,7.0,0.84
AGO,8,024,24,Angola,0,368,-,-,368,1.8,1.1,0.18
AZE,8,031,31,Azerbaijan,0,745,-,-,745,6.0,7.5,0.70
ARG,8,032,32,Argentina,0,6433,-,-,6433,13.1,15.2,1.6
AUS,8,036,36,Australia,0,4958,-,-,4958,15.3,21.6,1.6
AUT,8,040,40,Austria,0,1251,-,-,1251,9.2,16.1,1.1
BHS,8,044,44,Bahamas,0,34,-,-,34,7.1,8.9,0.85
BHR,8,048,48,Bahrain,0,75,-,-,75,5.5,4.3,0.69
BGD,8,050,50,Bangladesh,0,2186,-,-,2186,1.4,1.4,0.16
ARM,8,051,51,Armenia,0,467,-,-,467,10.4,17.0,1.3
BRB,8,052,52,Barbados,0,45,-,-,45,10.4,17.8,1.2
BEL,8,056,56,Belgium,0,2285,-,-,2285,13.0,22.8,1.6
BTN,8,064,64,Bhutan,0,7,-,-,7,1.2,0.93,0.15
BOL,8,068,68,Bolivia (Plurinational State of),0,340,-,-,340,3.5,3.0,0.42
BIH,8,070,70,Bosnia Herzegovina,0,536,-,-,536,9.5,18.8,1.1
BWA,8,072,72,Botswana,0,33,-,-,33,1.8,1.4,0.19
BRA,8,076,76,Brazil,0,17959,-,-,17959,7.1,8.9,0.83
BLZ,8,084,84,Belize,0,13,-,-,13,4.1,3.3,0.49
SLB,8,090,90,Solomon Islands,0,2,-,-,2,0.58,0.28,0.08
BRN,8,096,96,Brunei Darussalam,0,54,-,-,54,10.6,12.6,1.2
BGR,8,100,100,Bulgaria,0,1419,-,-,1419,12.4,24.6,1.6
MMR,8,104,104,Myanmar,0,2002,-,-,2002,3.5,3.8,0.40
BDI,8,108,108,Burundi,0,121,-,-,121,2.0,0.97,0.23
BLR,8,112,112,Belarus,0,1935,-,-,1935,12.2,22.8,1.5
KHM,8,116,116,Cambodia,0,700,-,-,700,5.0,4.2,0.56
CMR,8,120,120,Cameroon,0,394,-,-,394,2.6,1.4,0.29
CAN,8,124,124,Canada,0,6599,-,-,6599,11.4,19.8,1.3
CPV,8,132,132,Cape Verde,0,18,-,-,18,3.5,3.3,0.38
CAF,8,140,140,Central African Republic,0,54,-,-,54,1.9,1.1,0.19
LKA,8,144,144,Sri Lanka,0,621,-,-,621,2.3,3.1,0.27
TCD,8,148,148,Chad,0,106,-,-,106,0.77,0.62,0.06
CHL,8,152,152,Chile,0,2123,-,-,2123,8.4,12.1,1.0
CHN,8,156,160,China,0,153522,-,-,153522,7.3,12.0,0.85
COL,8,170,170,Colombia,0,4244,-,-,4244,7.4,8.8,0.88
COM,8,174,174,Comoros,0,7,-,-,7,1.4,0.79,0.19
COG,8,178,178,"Congo, Republic of",0,57,-,-,57,1.6,1.0,0.17
COD,8,180,180,"Congo, Democratic Republic of",0,861,-,-,861,1.7,0.92,0.19
CRI,8,188,188,Costa Rica,0,355,-,-,355,5.7,7.4,0.68
HRV,8,191,191,Croatia,0,1105,-,-,1105,15.9,32.1,2.0
CUB,8,192,192,Cuba,0,1597,-,-,1597,8.9,16.0,1.1
CYP,8,196,196,Cyprus,0,174,-,-,174,10.5,15.9,1.3
CZE,8,203,203,Czechia,0,1890,-,-,1890,11.7,20.6,1.4
BEN,8,204,204,Benin,0,194,-,-,194,2.6,1.6,0.29
DNK,8,208,208,Denmark,0,1819,-,-,1819,20.8,36.8,2.6
DOM,8,214,214,Dominican Republic,0,960,-,-,960,9.1,9.2,1.1
ECU,8,218,218,Ecuador,0,905,-,-,905,5.3,5.3,0.62
SLV,8,222,222,El Salvador,0,236,-,-,236,3.9,3.8,0.45
GNQ,8,226,226,Equatorial Guinea,0,29,-,-,29,3.6,2.0,0.38
ETH,8,231,231,Ethiopia,0,2859,-,-,2859,4.2,2.4,0.46
ERI,8,232,232,Eritrea,0,65,-,-,65,2.9,1.8,0.31
EST,8,233,233,Estonia,0,249,-,-,249,11.9,22.1,1.5
FJI,8,242,242,Fiji,0,29,-,-,29,3.2,3.3,0.36
FIN,8,246,246,Finland,0,858,-,-,858,10.2,18.6,1.2
FRA,8,250,250,France (metropolitan),0,12112,-,-,12112,12.5,21.9,1.5
GUF,8,254,254,French Guyana,0,19,-,-,19,6.8,6.3,0.81
PYF,8,258,258,French Polynesia,0,15,-,-,15,4.2,5.6,0.51
DJI,8,262,262,Djibouti,0,24,-,-,24,2.7,2.4,0.30
GAB,8,266,266,Gabon,0,61,-,-,61,3.9,2.7,0.42
GEO,8,268,268,Georgia,0,291,-,-,291,4.8,8.2,0.60
GMB,8,270,270,The Republic of the Gambia,0,14,-,-,14,0.94,0.56,0.10
PSE,8,275,275,Gaza Strip and West Bank,0,247,-,-,247,8.2,4.7,0.98
DEU,8,276,276,Germany,0,10503,-,-,10503,7.4,14.9,0.91
GHA,8,288,288,Ghana,0,171,-,-,171,0.83,0.54,0.10
GRC,8,300,300,Greece,0,2233,-,-,2233,13.3,26.1,1.6
GLP,8,312,312,"France, Guadeloupe",0,70,-,-,70,11.1,20.5,1.3
GUM,8,316,316,Guam,0,11,-,-,11,5.5,6.9,0.62
GTM,8,320,320,Guatemala,0,406,-,-,406,3.3,2.3,0.39
GIN,8,324,324,Guinea,0,69,-,-,69,0.92,0.51,0.10
GUY,8,328,328,Guyana,0,34,-,-,34,4.3,4.5,0.51
HTI,8,332,332,Haiti,0,340,-,-,340,3.7,3.0,0.40
HND,8,340,340,Honduras,0,215,-,-,215,2.9,2.2,0.35
HUN,8,348,348,Hungary,0,2827,-,-,2827,18.2,34.3,2.2
ISL,8,352,352,Iceland,0,65,-,-,65,13.4,21.2,1.6
