Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,8,004,4,Afghanistan,0,544,150,1978,544,2.7,1.3,0.31
ALB,8,008,8,Albania,0,266,215,328,266,4.9,9.3,0.55
DZA,8,012,12,Algeria,0,4515,3961,5146,4515,9.9,10.0,1.2
AGO,8,024,24,Angola,0,435,433,437,435,2.4,1.2,0.21
AZE,8,031,31,Azerbaijan,0,1021,430,2427,1021,8.4,9.9,0.99
ARG,8,032,32,Argentina,0,12572,10423,15165,12572,19.0,27.3,2.2
AUS,8,036,36,Australia,0,11434,10390,12583,11434,22.3,43.9,2.4
AUT,8,040,40,Austria,0,2908,2712,3119,2908,13.5,32.1,1.6
BHS,8,044,44,Bahamas,0,65,9,449,65,12.9,16.2,1.3
BHR,8,048,48,Bahrain,0,102,7,1415,102,9.4,5.7,1.1
BGD,8,050,50,Bangladesh,0,2737,2585,2898,2737,1.7,1.6,0.20
ARM,8,051,51,Armenia,0,864,296,2525,864,16.8,29.1,2.1
BRB,8,052,52,Barbados,0,98,37,263,98,15.8,34.0,1.8
BEL,8,056,56,Belgium,0,5555,5271,5855,5555,19.8,47.6,2.3
BTN,8,064,64,Bhutan,0,13,12,14,13,1.8,1.7,0.23
BOL,8,068,68,Bolivia (Plurinational State of),0,557,296,1049,557,4.8,4.6,0.58
BIH,8,070,70,Bosnia Herzegovina,0,977,865,1103,977,13.5,30.1,1.7
BWA,8,072,72,Botswana,0,42,12,153,42,2.2,1.7,0.25
BRA,8,076,76,Brazil,0,33362,29375,37890,33362,10.9,15.5,1.2
BLZ,8,084,84,Belize,0,21,2,221,21,6.0,5.1,0.66
SLB,8,090,90,Solomon Islands,0,5,4,7,5,1.3,0.69,0.15
BRN,8,096,96,Brunei Darussalam,0,74,35,159,74,15.5,16.6,1.8
BGR,8,100,100,Bulgaria,0,3256,3064,3460,3256,18.7,47.6,2.3
MMR,8,104,104,Myanmar,0,2770,2296,3341,2770,4.9,5.0,0.56
BDI,8,108,108,Burundi,0,151,66,344,151,2.6,1.2,0.31
BLR,8,112,112,Belarus,0,3605,3397,3826,3605,18.9,38.2,2.4
KHM,8,116,116,Cambodia,0,976,882,1081,976,7.0,5.7,0.79
CMR,8,120,120,Cameroon,0,465,88,2455,465,3.2,1.7,0.37
CAN,8,124,124,Canada,0,15499,14935,16084,15499,17.5,40.4,2.0
CPV,8,132,132,Cape Verde,0,19,7,51,19,3.5,3.4,0.38
CAF,8,140,140,Central African Republic,0,70,17,286,70,2.6,1.4,0.26
LKA,8,144,144,Sri Lanka,0,1101,874,1387,1101,3.3,5.1,0.39
TCD,8,148,148,Chad,0,115,74,178,115,0.89,0.66,0.10
