Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,8,004,4,Afghanistan,0,124,-,-,124,0.46,0.34,0.03
ALB,8,008,8,Albania,0,5,-,-,5,0.24,0.27,0.02
DZA,8,012,12,Algeria,0,289,-,-,289,0.78,0.79,0.05
AGO,8,024,24,Angola,0,114,-,-,114,0.58,0.35,0.04
AZE,8,031,31,Azerbaijan,0,61,-,-,61,0.66,0.79,0.04
ARG,8,032,32,Argentina,0,450,-,-,450,1.2,1.3,0.07
AUS,8,036,36,Australia,0,120,-,-,120,0.53,0.70,0.03
AUT,8,040,40,Austria,0,23,-,-,23,0.29,0.44,0.02
BHS,8,044,44,Bahamas,0,2,-,-,2,0.53,0.67,0.04
BHR,8,048,48,Bahrain,0,4,-,-,4,0.16,0.26,0.01
BGD,8,050,50,Bangladesh,0,495,-,-,495,0.32,0.36,0.02
ARM,8,051,51,Armenia,0,10,-,-,10,0.38,0.49,0.02
BRB,8,052,52,Barbados,0,0,-,-,0,0.00,0.00,0.00
BEL,8,056,56,Belgium,0,33,-,-,33,0.33,0.47,0.02
BTN,8,064,64,Bhutan,0,0,-,-,0,0.00,0.00,0.00
BOL,8,068,68,Bolivia (Plurinational State of),0,43,-,-,43,0.50,0.44,0.03
BIH,8,070,70,Bosnia Herzegovina,0,13,-,-,13,0.43,0.68,0.03
BWA,8,072,72,Botswana,0,3,-,-,3,0.15,0.14,0.01
BRA,8,076,76,Brazil,0,1494,-,-,1494,0.73,0.95,0.05
BLZ,8,084,84,Belize,0,1,-,-,1,0.25,0.29,0.02
SLB,8,090,90,Solomon Islands,0,0,-,-,0,0.00,0.00,0.00
BRN,8,096,96,Brunei Darussalam,0,1,-,-,1,0.22,0.29,0.01
BGR,8,100,100,Bulgaria,0,51,-,-,51,0.74,1.3,0.05
MMR,8,104,104,Myanmar,0,216,-,-,216,0.43,0.50,0.03
BDI,8,108,108,Burundi,0,28,-,-,28,0.36,0.24,0.02
BLR,8,112,112,Belarus,0,46,-,-,46,0.53,0.78,0.03
KHM,8,116,116,Cambodia,0,109,-,-,109,0.83,0.76,0.05
CMR,8,120,120,Cameroon,0,91,-,-,91,0.52,0.36,0.03
CAN,8,124,124,Canada,0,283,-,-,283,0.85,1.2,0.06
CPV,8,132,132,Cape Verde,0,0,-,-,0,0.00,0.00,0.00
CAF,8,140,140,Central African Republic,0,17,-,-,17,0.63,0.37,0.04
LKA,8,144,144,Sri Lanka,0,42,-,-,42,0.22,0.28,0.01
TCD,8,148,148,Chad,0,68,-,-,68,0.51,0.42,0.03
CHL,8,152,152,Chile,0,122,-,-,122,0.69,0.92,0.05
CHN,8,156,160,China,0,6008,-,-,6008,0.46,0.67,0.03
COL,8,170,170,Colombia,0,381,-,-,381,0.84,0.99,0.05
COM,8,174,174,Comoros,0,0,-,-,0,0.00,0.00,0.00
COG,8,178,178,"Congo, Republic of",0,9,-,-,9,0.23,0.17,0.02
COD,8,180,180,"Congo, Democratic Republic of",0,224,-,-,224,0.39,0.26,0.02
CRI,8,188,188,Costa Rica,0,43,-,-,43,0.91,1.2,0.06
HRV,8,191,191,Croatia,0,35,-,-,35,0.96,1.5,0.06
CUB,8,192,192,Cuba,0,66,-,-,66,0.68,0.98,0.04
