Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,8,004,4,Afghanistan,0,391,155,985,391,1.9,0.96,0.22
ALB,8,008,8,Albania,0,155,119,201,155,2.6,5.4,0.30
DZA,8,012,12,Algeria,0,2645,2413,2900,2645,5.7,5.8,0.62
AGO,8,024,24,Angola,0,288,286,290,288,1.8,0.82,0.14
AZE,8,031,31,Azerbaijan,0,493,331,735,493,4.1,4.8,0.47
ARG,8,032,32,Argentina,0,7542,6879,8269,7542,10.4,16.4,1.1
AUS,8,036,36,Australia,0,3754,3200,4404,3754,5.3,14.4,0.44
AUT,8,040,40,Austria,0,1431,1318,1554,1431,5.1,15.8,0.54
BHS,8,044,44,Bahamas,0,49,15,165,49,9.7,12.2,1.1
BHR,8,048,48,Bahrain,0,41,8,213,41,4.0,2.3,0.44
BGD,8,050,50,Bangladesh,0,1715,1655,1777,1715,1.1,1.0,0.12
ARM,8,051,51,Armenia,0,369,260,525,369,6.9,12.4,0.81
BRB,8,052,52,Barbados,0,78,40,153,78,11.6,27.1,1.3
BEL,8,056,56,Belgium,0,2293,2145,2451,2293,6.4,19.7,0.66
BTN,8,064,64,Bhutan,0,6,6,6,6,0.87,0.76,0.14
BOL,8,068,68,Bolivia (Plurinational State of),0,380,242,596,380,3.1,3.2,0.38
BIH,8,070,70,Bosnia Herzegovina,0,566,512,625,566,7.1,17.4,0.85
BWA,8,072,72,Botswana,0,21,9,48,21,1.2,0.86,0.14
BRA,8,076,76,Brazil,0,18117,17154,19134,18117,5.7,8.4,0.61
BLZ,8,084,84,Belize,0,19,3,110,19,5.4,4.6,0.61
SLB,8,090,90,Solomon Islands,0,4,3,5,4,1.1,0.55,0.08
BRN,8,096,96,Brunei Darussalam,0,36,9,138,36,8.4,8.1,0.68
BGR,8,100,100,Bulgaria,0,1939,1794,2096,1939,10.2,28.3,1.2
MMR,8,104,104,Myanmar,0,1566,1406,1744,1566,2.8,2.8,0.31
BDI,8,108,108,Burundi,0,117,59,231,117,2.1,0.93,0.25
BLR,8,112,112,Belarus,0,1644,1550,1744,1644,8.0,17.4,0.98
KHM,8,116,116,Cambodia,0,562,530,596,562,4.1,3.3,0.44
CMR,8,120,120,Cameroon,0,304,101,911,304,2.2,1.1,0.25
CAN,8,124,124,Canada,0,7548,7306,7798,7548,6.5,19.7,0.48
CPV,8,132,132,Cape Verde,0,9,1,96,9,1.8,1.6,0.10
CAF,8,140,140,Central African Republic,0,52,18,148,52,2.1,1.0,0.21
LKA,8,144,144,Sri Lanka,0,594,511,691,594,1.7,2.8,0.20
TCD,8,148,148,Chad,0,89,60,132,89,0.71,0.51,0.08
CHL,8,152,152,Chile,0,2348,2003,2753,2348,6.4,12.2,0.65
CHN,8,156,160,China,0,115360,108363,122808,115360,4.1,8.2,0.42
COL,8,170,170,Colombia,0,4126,3766,4521,4126,5.8,8.0,0.61
COM,8,174,174,Comoros,0,7,3,18,7,1.4,0.77,0.22
COG,8,178,178,"Congo, Republic of",0,39,20,77,39,1.2,0.67,0.13
COD,8,180,180,"Congo, Democratic Republic of",0,868,241,3123,868,1.8,0.91,0.20
CRI,8,188,188,Costa Rica,0,524,391,703,524,6.3,10.1,0.64
HRV,8,191,191,Croatia,0,1496,1390,1610,1496,11.9,36.9,1.3
CUB,8,192,192,Cuba,0,2643,2298,3040,2643,9.4,23.4,0.97
CYP,8,196,196,Cyprus,0,268,202,356,268,9.6,21.9,0.92
CZE,8,203,203,Czechia,0,2102,1958,2256,2102,7.0,19.6,0.78
BEN,8,204,204,Benin,0,202,125,327,202,3.0,1.6,0.30
DNK,8,208,208,Denmark,0,1501,1369,1645,1501,8.4,25.7,0.86
DOM,8,214,214,Dominican Republic,0,844,649,1097,844,6.9,7.6,0.83
ECU,8,218,218,Ecuador,0,964,758,1226,964,4.4,5.3,0.44
SLV,8,222,222,El Salvador,0,311,206,470,311,3.7,4.8,0.38
GNQ,8,226,226,Equatorial Guinea,0,20,11,35,20,2.1,1.3,0.24
ETH,8,231,231,Ethiopia,0,2588,2299,2914,2588,3.6,2.1,0.42
ERI,8,232,232,Eritrea,0,64,47,88,64,2.7,1.8,0.31
EST,8,233,233,Estonia,0,363,312,422,363,8.7,27.5,1.0
FJI,8,242,242,Fiji,0,29,7,114,29,3.7,3.2,0.31
FIN,8,246,246,Finland,0,1014,909,1132,1014,5.5,18.3,0.58
FRA,8,250,250,France (metropolitan),0,15091,14654,15541,15091,7.1,23.0,0.71
GUF,8,254,254,French Guyana,0,16,16,16,16,6.4,5.1,0.53
PYF,8,258,258,French Polynesia,0,14,14,14,14,3.7,4.9,0.59
DJI,8,262,262,Djibouti,0,24,16,36,24,2.8,2.4,0.35
GAB,8,266,266,Gabon,0,41,19,88,41,2.6,1.8,0.31
GEO,8,268,268,Georgia,0,319,217,469,319,3.9,8.0,0.47
GMB,8,270,270,The Republic of the Gambia,0,11,1,162,11,0.73,0.43,0.08
PSE,8,275,275,Gaza Strip and West Bank,0,215,187,247,215,7.4,4.0,0.83
DEU,8,276,276,Germany,0,16991,16450,17550,16991,5.8,20.3,0.60
GHA,8,288,288,Ghana,0,200,131,305,200,1.2,0.62,0.12
GRC,8,300,300,Greece,0,3259,3014,3524,3259,8.7,31.6,0.90
GLP,8,312,312,"France, Guadeloupe",0,78,75,81,78,7.1,19.5,0.78
GUM,8,316,316,Guam,0,19,19,19,19,6.4,11.1,0.60
GTM,8,320,320,Guatemala,0,492,359,674,492,3.4,2.7,0.36
GIN,8,324,324,Guinea,0,63,20,197,63,0.86,0.45,0.09
GUY,8,328,328,Guyana,0,38,12,117,38,4.2,4.8,0.39
HTI,8,332,332,Haiti,0,634,459,876,634,6.3,5.4,0.50
HND,8,340,340,Honduras,0,270,183,398,270,3.2,2.6,0.32
HUN,8,348,348,Hungary,0,3249,3097,3408,3249,12.7,33.8,1.5
ISL,8,352,352,Iceland,0,79,60,104,79,9.7,22.9,1.0
IND,8,356,356,India,0,20629,19657,21649,20629,1.5,1.5,0.17
IDN,8,360,360,Indonesia,0,10212,8234,12664,10212,3.5,3.7,0.38
IRN,8,364,364,"Iran, Islamic Republic of",0,4878,4330,5496,4878,5.4,5.7,0.53
IRQ,8,368,368,Iraq,0,901,774,1049,901,3.5,2.1,0.41
IRL,8,372,372,Ireland,0,496,432,570,496,4.2,9.9,0.41
ISR,8,376,376,Israel,0,1171,929,1476,1171,6.9,13.1,0.62
ITA,8,380,380,Italy,0,18450,17974,18939,18450,7.9,30.6,0.80
CIV,8,384,384,"Côte d'Ivoire",0,485,377,624,485,3.3,1.8,0.38
JAM,8,388,388,Jamaica,0,392,285,539,392,9.7,13.1,1.1
JPN,8,392,392,Japan,0,42598,40785,44492,42598,7.4,33.9,0.71
KAZ,8,398,398,Kazakhstan,0,1089,894,1326,1089,4.7,5.7,0.59
JOR,8,400,400,Jordan,0,472,403,553,472,6.3,4.6,0.71
KEN,8,404,404,Kenya,0,1220,1060,1404,1220,4.7,2.2,0.52
PRK,8,408,408,"Korea, Democratic People Republic of",0,2083,1991,2180,2083,5.4,8.0,0.67
KOR,8,410,410,"Korea, Republic of",0,7021,6378,7728,7021,5.1,13.7,0.44
KWT,8,414,414,Kuwait,0,132,103,169,132,4.1,3.0,0.45
KGZ,8,417,417,Kyrgyzstan,0,129,73,227,129,2.4,1.9,0.29
LAO,8,418,418,"Lao People's Democratic Republic",0,239,226,252,239,4.5,3.2,0.48
LBN,8,422,422,Lebanon,0,423,342,524,423,5.2,6.3,0.56
LSO,8,426,426,Lesotho,0,38,3,559,38,2.3,1.8,0.24
LVA,8,428,428,Latvia,0,325,278,380,325,5.8,17.6,0.67
LBR,8,430,430,Liberia,0,61,4,897,61,2.0,1.2,0.22
LBY,8,434,434,Libya,0,439,339,568,439,7.9,6.2,0.62
LTU,8,440,440,Lithuania,0,539,478,608,539,6.6,20.3,0.75
LUX,8,442,442,Luxembourg,0,87,69,110,87,6.0,13.5,0.66
MDG,8,450,450,Madagascar,0,249,73,845,249,1.6,0.85,0.17
MWI,8,454,454,Malawi,0,150,72,312,150,1.6,0.74,0.15
MYS,8,458,458,Malaysia,0,2104,1430,3096,2104,5.7,6.3,0.57
MDV,8,462,462,Maldives,0,15,13,18,15,4.1,2.8,0.43
MLI,8,466,466,Mali,0,318,223,453,318,3.3,1.5,0.38
MLT,8,470,470,Malta,0,89,70,113,89,6.5,20.0,0.70
MTQ,8,474,474,"France, Martinique",0,81,78,84,81,6.7,21.7,0.67
MRT,8,478,478,Mauritania,0,66,4,971,66,2.3,1.4,0.26
MUS,8,480,480,Mauritius,0,125,73,213,125,5.4,9.8,0.58
MEX,8,484,484,Mexico,0,6700,6077,7387,6700,4.4,5.1,0.50
MNG,8,496,496,Mongolia,0,75,47,119,75,2.7,2.2,0.29
MDA,8,498,498,Republic of Moldova,0,661,592,738,661,9.4,16.5,1.2
MNE,8,499,499,Montenegro,0,106,82,138,106,7.7,16.9,0.86
MAR,8,504,504,Morocco,0,1641,1467,1836,1641,3.8,4.3,0.42
MOZ,8,508,508,Mozambique,0,206,125,339,206,1.4,0.62,0.15
OMN,8,512,512,Oman,0,153,103,226,153,3.9,2.9,0.44
NAM,8,516,516,Namibia,0,52,25,108,52,3.3,2.0,0.40
NPL,8,524,524,Nepal,0,405,388,423,405,1.5,1.3,0.17
NLD,8,528,528,The Netherlands,0,4659,4446,4882,4659,8.8,27.1,0.90
NCL,8,540,540,New Caledonia,0,23,23,23,23,5.5,7.9,0.62
VUT,8,548,548,Vanuatu,0,5,2,11,5,2.7,1.6,0.36
NZL,8,554,554,New Zealand,0,1166,943,1441,1166,9.1,23.8,0.82
NIC,8,558,558,Nicaragua,0,272,195,379,272,4.3,4.0,0.46
NER,8,562,562,Niger,0,321,214,481,321,2.7,1.2,0.30
NGA,8,566,566,Nigeria,0,2605,2256,3008,2605,2.5,1.2,0.30
NOR,8,578,578,Norway,0,1611,1469,1767,1611,10.1,29.2,0.94
PAK,8,586,586,Pakistan,0,3100,2876,3342,3100,1.8,1.4,0.20
PAN,8,591,591,Panama,0,286,190,430,286,5.0,6.4,0.57
PNG,8,598,598,Papua New Guinea,0,182,68,485,182,3.4,2.0,0.35
PRY,8,600,600,Paraguay,0,537,396,728,537,7.2,7.4,0.74
PER,8,604,604,Peru,0,2026,1670,2458,2026,4.4,6.0,0.43
PHL,8,608,608,Philippines,0,7025,6673,7396,7025,7.1,6.2,0.76
POL,8,616,616,Poland,0,9555,9202,9921,9555,9.6,25.3,1.1
PRT,8,620,620,Portugal,0,3284,3120,3457,3284,9.0,32.4,0.91
GNB,8,624,624,Guinea-Bissau,0,20,2,221,20,1.7,0.97,0.20
TLS,8,626,626,Timor-Leste,0,24,22,27,24,2.7,1.8,0.26
PRI,8,630,630,Puerto Rico,0,751,527,1070,751,10.1,26.5,1.1
QAT,8,634,634,Qatar,0,55,37,82,55,3.0,1.9,0.32
REU,8,638,638,"France, La Réunion",0,127,124,130,127,7.1,14.0,0.72
ROU,8,642,642,Romania,0,4568,4304,4849,4568,9.4,24.0,1.1
RUS,8,643,643,Russian Federation,0,24877,24380,25384,24877,7.8,17.1,0.93
RWA,8,646,646,Rwanda,0,111,67,184,111,1.3,0.82,0.15
LCA,8,662,662,Saint Lucia,0,18,3,101,18,6.2,9.7,0.73
STP,8,678,678,Sao Tome and Principe,0,4,2,9,4,3.6,1.8,0.49
SAU,8,682,682,Saudi Arabia,0,1035,922,1162,1035,3.4,2.9,0.37
SEN,8,686,686,Senegal,0,203,14,2986,203,2.1,1.2,0.24
SRB,8,688,688,Serbia,0,1579,1469,1697,1579,7.7,18.3,0.87
SLE,8,694,694,Sierra Leone,0,4,4,5,4,0.07,0.05,0.00
SGP,8,702,702,Singapore,0,1366,1015,1839,1366,11.1,23.0,1.1
SVK,8,703,703,Slovakia,0,1319,1167,1491,1319,9.9,24.2,1.1
VNM,8,704,704,Viet Nam,0,3719,3509,3941,3719,3.0,3.8,0.35
SVN,8,705,705,Slovenia,0,457,392,533,457,6.6,22.0,0.66
SOM,8,706,706,Somalia,0,345,302,394,345,4.3,2.1,0.51
ZAF,8,710,710,South Africa,0,3235,3110,3365,3235,6.3,5.3,0.60
ZWE,8,716,716,Zimbabwe,0,287,198,416,287,3.7,1.9,0.45
ESP,8,724,724,Spain,0,12129,11764,12505,12129,7.9,26.0,0.84
SSD,8,728,728,South Sudan,0,147,41,526,147,2.3,1.3,0.26
SDN,8,729,729,Sudan,0,546,442,675,546,1.8,1.2,0.17
SUR,8,740,740,Suriname,0,55,20,150,55,8.1,9.2,0.90
SWZ,8,748,748,Eswatini,0,15,1,220,15,2.0,1.3,0.21
SWE,8,752,752,Sweden,0,2206,2050,2374,2206,7.0,21.6,0.72
CHE,8,756,756,Switzerland,0,1299,1195,1413,1299,4.9,14.8,0.50
SYR,8,760,760,Syrian Arab Republic,0,764,583,1000,764,5.1,4.0,0.55
TJK,8,762,762,Tajikistan,0,102,54,193,102,1.6,1.0,0.16
