Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,8,905,905,Northern America,0,21982,-,-,21982,6.4,8.4,0.47
N.A.,8,906,906,Eastern Asia,0,55976,-,-,55976,2.9,4.9,0.22
N.A.,8,910,910,Eastern Africa,0,3882,-,-,3882,1.4,0.89,0.10
N.A.,8,911,911,Middle Africa,0,1160,-,-,1160,1.0,0.65,0.07
N.A.,8,912,912,Northern Africa,0,4873,-,-,4873,2.3,2.2,0.17
N.A.,8,913,913,Southern Africa,0,878,-,-,878,1.5,1.5,0.11
N.A.,8,914,914,Western Africa,0,2536,-,-,2536,0.99,0.64,0.07
N.A.,8,915,915,Caribbean,0,1254,-,-,1254,3.1,3.6,0.23
N.A.,8,916,916,Central America,0,3951,-,-,3951,2.4,2.6,0.18
N.A.,8,920,920,South-Eastern Asia,0,14596,-,-,14596,2.2,2.6,0.16
N.A.,8,921,921,South Central Asia,0,17716,-,-,17716,0.97,1.0,0.07
N.A.,8,922,922,Western Asia,0,6743,-,-,6743,2.6,2.7,0.19
N.A.,8,923,923,Eastern Europe,0,9698,-,-,9698,3.2,4.8,0.25
N.A.,8,924,924,Northern Europe,0,4083,-,-,4083,3.9,5.6,0.29
N.A.,8,925,925,Southern Europe,0,6227,-,-,6227,3.6,6.5,0.27
N.A.,8,926,926,Western Europe,0,6550,-,-,6550,3.4,5.2,0.25
N.A.,8,927,927,Australia-New Zealand,0,2160,-,-,2160,7.8,9.8,0.54
N.A.,8,928,928,Melanesia,0,84,-,-,84,0.99,0.81,0.08
N.A.,8,931,931,South America,0,11762,-,-,11762,2.8,3.4,0.21
N.A.,8,954,954,Micronesia,0,12,-,-,12,2.7,2.6,0.21
N.A.,8,957,957,Polynesia,0,12,-,-,12,2.0,2.1,0.15
,,,,Total,,176135,,,176135,2.4,2.8,0.18
