Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,8,905,905,Northern America,0,120777,120002,121557,120777,17.1,32.4,1.9
N.A.,8,906,906,Eastern Asia,0,386831,383151,390546,386831,12.1,23.9,1.4
N.A.,8,910,910,Eastern Africa,0,9758,8615,11053,9758,4.0,2.1,0.46
N.A.,8,911,911,Middle Africa,0,2408,1997,2904,2408,2.4,1.3,0.26
N.A.,8,912,912,Northern Africa,0,13613,12438,14899,13613,5.9,5.3,0.66
N.A.,8,913,913,Southern Africa,0,3802,3500,4130,3802,6.5,5.5,0.76
N.A.,8,914,914,Western Africa,0,6819,6131,7585,6819,3.2,1.6,0.37
N.A.,8,915,915,Caribbean,0,9271,8189,10496,9271,13.9,21.1,1.6
N.A.,8,916,916,Central America,0,15549,14693,16455,15549,7.8,8.5,0.89
N.A.,8,920,920,South-Eastern Asia,0,60821,58155,63610,60821,7.9,8.9,0.93
N.A.,8,921,921,South Central Asia,0,56815,55068,58617,56815,2.9,2.8,0.34
N.A.,8,922,922,Western Asia,0,27374,25647,29218,27374,10.1,9.5,1.2
N.A.,8,923,923,Eastern Europe,0,108890,107468,110331,108890,17.7,37.3,2.2
N.A.,8,924,924,Northern Europe,0,52090,51354,52836,52090,19.8,48.6,2.3
N.A.,8,925,925,Southern Europe,0,86415,84113,88780,86415,20.5,57.0,2.4
N.A.,8,926,926,Western Europe,0,94947,92778,97167,94947,17.5,48.2,2.0
N.A.,8,927,927,Australia-New Zealand,0,14100,13531,14693,14100,22.7,45.5,2.4
N.A.,8,928,928,Melanesia,0,398,275,576,398,5.4,3.5,0.60
N.A.,8,931,931,South America,0,71476,68785,74273,71476,11.9,16.3,1.3
N.A.,8,954,954,Micronesia,0,61,21,175,61,10.3,10.9,1.1
N.A.,8,957,957,Polynesia,0,71,26,192,71,9.2,10.3,1.1
,,,,Total,,1142286,,,1142286,10.7,14.5,1.2
