Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,8,905,905,Northern America,0,1,-,-,1,0.00,0.00,0.00
N.A.,8,906,906,Eastern Asia,0,38,-,-,38,0.01,0.01,0.00
N.A.,8,910,910,Eastern Africa,0,1,-,-,1,0.00,0.00,0.00
N.A.,8,911,911,Middle Africa,0,10,-,-,10,0.01,0.01,0.00
N.A.,8,912,912,Northern Africa,0,20,-,-,20,0.02,0.02,0.00
N.A.,8,913,913,Southern Africa,0,1,-,-,1,0.00,0.00,0.00
N.A.,8,914,914,Western Africa,0,0,-,-,0,0.00,0.00,0.00
N.A.,8,915,915,Caribbean,0,20,-,-,20,0.20,0.19,0.00
N.A.,8,916,916,Central America,0,1,-,-,1,0.00,0.00,0.00
N.A.,8,920,920,South-Eastern Asia,0,13,-,-,13,0.01,0.01,0.00
N.A.,8,921,921,South Central Asia,0,41,-,-,41,0.01,0.01,0.00
N.A.,8,922,922,Western Asia,0,9,-,-,9,0.01,0.01,0.00
N.A.,8,923,923,Eastern Europe,0,0,-,-,0,0.00,0.00,0.00
N.A.,8,924,924,Northern Europe,0,0,-,-,0,0.00,0.00,0.00
N.A.,8,925,925,Southern Europe,0,0,-,-,0,0.00,0.00,0.00
N.A.,8,926,926,Western Europe,0,0,-,-,0,0.00,0.00,0.00
N.A.,8,927,927,Australia-New Zealand,0,0,-,-,0,0.00,0.00,0.00
N.A.,8,928,928,Melanesia,0,0,-,-,0,0.00,0.00,0.00
N.A.,8,931,931,South America,0,4,-,-,4,0.00,0.00,0.00
N.A.,8,954,954,Micronesia,0,0,-,-,0,0.00,0.00,0.00
N.A.,8,957,957,Polynesia,0,0,-,-,0,0.00,0.00,0.00
,,,,Total,,159,,,159,0.01,0.01,0.00
