Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,8,905,905,Northern America,0,29187,-,-,29187,4.4,8.2,0.80
N.A.,8,906,906,Eastern Asia,0,104910,-,-,104910,3.5,6.7,0.73
N.A.,8,910,910,Eastern Africa,0,6496,-,-,6496,2.6,1.4,0.44
N.A.,8,911,911,Middle Africa,0,1575,-,-,1575,1.6,0.83,0.27
N.A.,8,912,912,Northern Africa,0,6515,-,-,6515,2.9,2.6,0.51
N.A.,8,913,913,Southern Africa,0,2648,-,-,2648,4.5,3.9,0.90
N.A.,8,914,914,Western Africa,0,4640,-,-,4640,2.1,1.1,0.36
N.A.,8,915,915,Caribbean,0,4052,-,-,4052,6.9,9.5,1.4
N.A.,8,916,916,Central America,0,7043,-,-,7043,3.8,3.9,0.70
N.A.,8,920,920,South-Eastern Asia,0,25878,-,-,25878,3.5,3.9,0.68
N.A.,8,921,921,South Central Asia,0,29461,-,-,29461,1.5,1.4,0.27
N.A.,8,922,922,Western Asia,0,12338,-,-,12338,4.7,4.3,0.93
N.A.,8,923,923,Eastern Europe,0,40016,-,-,40016,7.0,14.3,1.4
N.A.,8,924,924,Northern Europe,0,11289,-,-,11289,4.8,11.1,1.1
N.A.,8,925,925,Southern Europe,0,22447,-,-,22447,6.2,15.9,1.4
N.A.,8,926,926,Western Europe,0,22176,-,-,22176,5.0,12.0,1.1
N.A.,8,927,927,Australia-New Zealand,0,2410,-,-,2410,4.1,8.1,0.90
N.A.,8,928,928,Melanesia,0,208,-,-,208,2.6,1.8,0.52
N.A.,8,931,931,South America,0,27892,-,-,27892,5.0,6.5,1.0
N.A.,8,954,954,Micronesia,0,28,-,-,28,4.7,5.1,1.2
N.A.,8,957,957,Polynesia,0,29,-,-,29,3.9,4.2,0.83
,,,,Total,,361238,,,361238,3.7,4.7,0.75
