Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,8,905,905,Northern America,0,45443,44950,45941,45443,5.4,12.2,0.54
N.A.,8,906,906,Eastern Asia,0,167137,164435,169884,167137,4.6,10.3,0.45
N.A.,8,910,910,Eastern Africa,0,6988,5906,8268,6988,2.9,1.5,0.33
N.A.,8,911,911,Middle Africa,0,1705,1353,2148,1705,1.8,0.90,0.19
N.A.,8,912,912,Northern Africa,0,7824,6863,8920,7824,3.4,3.1,0.35
N.A.,8,913,913,Southern Africa,0,3361,3089,3656,3361,5.9,4.9,0.57
N.A.,8,914,914,Western Africa,0,4932,4281,5682,4932,2.3,1.2,0.27
N.A.,8,915,915,Caribbean,0,5923,5163,6795,5923,8.5,13.5,0.88
N.A.,8,916,916,Central America,0,8874,8357,9423,8874,4.4,4.8,0.48
N.A.,8,920,920,South-Eastern Asia,0,32243,30182,34445,32243,4.1,4.7,0.45
N.A.,8,921,921,South Central Asia,0,33736,32248,35293,33736,1.7,1.6,0.19
N.A.,8,922,922,Western Asia,0,15786,14419,17283,15786,5.8,5.5,0.61
N.A.,8,923,923,Eastern Europe,0,55779,54829,56745,55779,8.2,19.1,0.97
N.A.,8,924,924,Northern Europe,0,20427,19964,20901,20427,6.3,19.1,0.62
N.A.,8,925,925,Southern Europe,0,41947,41109,42802,41947,8.1,27.7,0.83
N.A.,8,926,926,Western Europe,0,41869,41101,42651,41869,6.4,21.3,0.66
N.A.,8,927,927,Australia-New Zealand,0,4920,4580,5285,4920,5.9,15.9,0.50
N.A.,8,928,928,Melanesia,0,243,154,385,243,3.4,2.1,0.35
N.A.,8,931,931,South America,0,38959,37356,40630,38959,6.2,8.9,0.65
N.A.,8,954,954,Micronesia,0,38,11,133,38,6.3,6.8,0.60
N.A.,8,957,957,Polynesia,0,33,7,151,33,4.2,4.8,0.61
,,,,Total,,538167,,,538167,4.7,6.8,0.47
