"","Region","AgeStart","AgeEnd","p_code","a_code","RiRi","RiDi"
"1","Total",0,14,NA,"",1094,213
"2","Total",15,19,NA,"",2131,655
"3","Total",20,24,NA,"",5362,1947
"4","Total",25,29,NA,"",9719,3872
"5","Total",30,34,NA,"",15857,6742
"6","Total",35,39,NA,"",26439,9556
"7","Total",40,44,NA,"",46562,15092
"8","Total",45,49,NA,"",80714,27548
"9","Total",50,54,NA,"",141052,47909
"10","Total",55,59,NA,"",190062,66427
"11","Total",60,64,NA,"",236111,85928
"12","Total",65,69,NA,"",294200,115371
"13","Total",70,74,NA,"",287025,128040
"14","Total",75,79,NA,"",230799,125119
"15","Total",80,84,NA,"",182333,123377
"16","Total",85,999,NA,"",176368,145847
