"ISOcode","AgeStart","AgeEnd","Ri"
900,0,4,0
900,5,9,0
900,10,14,1094
900,15,19,2131
900,20,24,5362
900,25,29,9719
900,30,34,15857
900,35,39,26439
900,40,44,46562
900,45,49,80714
900,50,54,141052
900,55,59,190062
900,60,64,236111
900,65,69,294200
900,70,74,287025
900,75,79,230799
900,80,84,182333
900,85,999,176368
981,0,4,0
981,5,9,0
981,10,14,457
981,15,19,627
981,20,24,1383
981,25,29,2345
981,30,34,3990
981,35,39,8565
981,40,44,17734
981,45,49,32380
981,50,54,54538
981,55,59,82431
981,60,64,116171
981,65,69,141142
981,70,74,154397
981,75,79,133932
981,80,84,112275
981,85,999,122389
982,0,4,0
982,5,9,0
982,10,14,265
982,15,19,625
982,20,24,1386
982,25,29,3579
982,30,34,6600
982,35,39,10968
982,40,44,19227
982,45,49,34693
982,50,54,68132
982,55,59,84895
982,60,64,93957
982,65,69,127198
982,70,74,111578
982,75,79,81883
982,80,84,60804
982,85,999,47890
983,0,4,0
983,5,9,0
983,10,14,127
983,15,19,450
983,20,24,1447
983,25,29,2279
983,30,34,3242
983,35,39,4364
983,40,44,6554
983,45,49,9675
983,50,54,13709
983,55,59,17616
983,60,64,20658
983,65,69,20952
983,70,74,16897
983,75,79,11919
983,80,84,7506
983,85,999,5109
984,0,4,0
984,5,9,0
984,10,14,245
984,15,19,429
984,20,24,1146
984,25,29,1516
984,30,34,2025
984,35,39,2542
984,40,44,3047
984,45,49,3966
984,50,54,4673
984,55,59,5120
984,60,64,5325
984,65,69,4908
984,70,74,4153
984,75,79,3065
984,80,84,1748
984,85,999,980
