"ISOcode","AgeStart","AgeEnd","Ri"
4,0,4,0
4,5,9,0
4,10,14,10
4,15,19,26
4,20,24,37
4,25,29,38
4,30,34,55
4,35,39,54
4,40,44,74
4,45,49,93
4,50,54,114
4,55,59,133
4,60,64,144
4,65,69,137
4,70,74,117
4,75,79,78
4,80,84,37
4,85,999,16
8,0,4,0
8,5,9,0
8,10,14,0
8,15,19,0
8,20,24,1
8,25,29,4
8,30,34,6
8,35,39,9
8,40,44,16
8,45,49,22
8,50,54,35
8,55,59,63
8,60,64,77
8,65,69,74
8,70,74,68
8,75,79,58
8,80,84,50
8,85,999,39
12,0,4,0
12,5,9,0
12,10,14,3
12,15,19,13
12,20,24,39
12,25,29,65
12,30,34,116
12,35,39,241
12,40,44,399
12,45,49,542
12,50,54,740
12,55,59,972
12,60,64,1072
12,65,69,1092
12,70,74,894
12,75,79,649
12,80,84,492
12,85,999,418
24,0,4,0
24,5,9,0
24,10,14,26
24,15,19,9
24,20,24,16
24,25,29,22
24,30,34,70
24,35,39,75
24,40,44,75
24,45,49,62
24,50,54,98
24,55,59,94
24,60,64,90
24,65,69,87
24,70,74,30
24,75,79,25
24,80,84,11
24,85,999,15
31,0,4,0
31,5,9,0
31,10,14,1
31,15,19,4
31,20,24,5
31,25,29,8
31,30,34,15
31,35,39,41
31,40,44,68
31,45,49,125
31,50,54,203
31,55,59,253
31,60,64,335
31,65,69,275
31,70,74,169
31,75,79,92
31,80,84,83
31,85,999,64
32,0,4,0
32,5,9,0
32,10,14,0
32,15,19,16
32,20,24,119
32,25,29,48
32,30,34,60
32,35,39,166
32,40,44,404
32,45,49,731
32,50,54,1084
32,55,59,1535
32,60,64,1960
32,65,69,2255
32,70,74,2331
32,75,79,2044
32,80,84,1539
32,85,999,1571
36,0,4,0
36,5,9,0
36,10,14,69
36,15,19,66
36,20,24,88
36,25,29,150
36,30,34,234
36,35,39,359
36,40,44,476
36,45,49,687
36,50,54,949
36,55,59,1300
36,60,64,1754
36,65,69,2082
36,70,74,2409
36,75,79,2317
36,80,84,1862
36,85,999,2286
40,0,4,0
40,5,9,0
40,10,14,3
40,15,19,4
40,20,24,6
40,25,29,12
40,30,34,29
40,35,39,52
40,40,44,89
40,45,49,146
40,50,54,271
40,55,59,426
40,60,64,531
40,65,69,576
40,70,74,627
40,75,79,603
40,80,84,644
40,85,999,520
44,0,4,0
44,5,9,0
44,10,14,0
44,15,19,0
44,20,24,1
44,25,29,0
44,30,34,0
44,35,39,0
44,40,44,5
44,45,49,5
44,50,54,7
44,55,59,9
44,60,64,13
44,65,69,12
44,70,74,13
44,75,79,13
44,80,84,8
44,85,999,10
48,0,4,0
48,5,9,0
48,10,14,0
48,15,19,0
48,20,24,2
48,25,29,1
48,30,34,3
48,35,39,6
48,40,44,5
48,45,49,9
48,50,54,20
48,55,59,22
48,60,64,29
48,65,69,25
48,70,74,14
48,75,79,10
48,80,84,7
48,85,999,4
50,0,4,0
50,5,9,0
50,10,14,3
50,15,19,30
50,20,24,134
50,25,29,187
50,30,34,295
50,35,39,307
50,40,44,423
50,45,49,520
50,50,54,639
50,55,59,724
50,60,64,663
50,65,69,503
50,70,74,432
50,75,79,388
50,80,84,265
50,85,999,210
51,0,4,0
51,5,9,0
51,10,14,0
51,15,19,0
51,20,24,3
51,25,29,0
51,30,34,7
51,35,39,1
51,40,44,2
51,45,49,14
51,50,54,38
51,55,59,97
51,60,64,205
51,65,69,241
51,70,74,194
51,75,79,112
51,80,84,112
51,85,999,101
52,0,4,0
52,5,9,0
52,10,14,0
52,15,19,0
52,20,24,0
52,25,29,1
52,30,34,0
52,35,39,0
52,40,44,2
52,45,49,8
52,50,54,13
52,55,59,13
52,60,64,18
52,65,69,16
52,70,74,24
52,75,79,20
52,80,84,17
52,85,999,16
56,0,4,0
56,5,9,0
56,10,14,6
56,15,19,6
56,20,24,11
56,25,29,19
56,30,34,27
56,35,39,51
56,40,44,102
56,45,49,188
56,50,54,374
56,55,59,642
56,60,64,942
56,65,69,1128
56,70,74,1228
56,75,79,1145
56,80,84,921
56,85,999,1159
64,0,4,0
64,5,9,0
64,10,14,0
64,15,19,0
64,20,24,0
64,25,29,0
64,30,34,0
64,35,39,1
64,40,44,1
64,45,49,2
64,50,54,2
64,55,59,4
64,60,64,4
64,65,69,4
64,70,74,4
64,75,79,4
64,80,84,2
64,85,999,2
68,0,4,0
68,5,9,0
68,10,14,0
68,15,19,0
68,20,24,2
68,25,29,4
68,30,34,7
68,35,39,12
68,40,44,24
68,45,49,46
68,50,54,58
68,55,59,83
68,60,64,90
68,65,69,107
68,70,74,110
68,75,79,70
68,80,84,43
68,85,999,45
70,0,4,0
70,5,9,0
70,10,14,0
70,15,19,0
70,20,24,2
70,25,29,2
70,30,34,3
70,35,39,16
70,40,44,38
70,45,49,72
70,50,54,115
70,55,59,184
70,60,64,274
70,65,69,369
70,70,74,333
70,75,79,193
70,80,84,152
70,85,999,102
72,0,4,0
72,5,9,0
72,10,14,0
72,15,19,0
72,20,24,0
72,25,29,3
72,30,34,4
72,35,39,8
72,40,44,13
72,45,49,9
72,50,54,9
72,55,59,9
72,60,64,10
72,65,69,8
72,70,74,7
72,75,79,6
72,80,84,3
72,85,999,0
76,0,4,0
76,5,9,0
76,10,14,28
76,15,19,50
76,20,24,171
76,25,29,410
76,30,34,343
76,35,39,924
76,40,44,1945
76,45,49,3150
76,50,54,4693
76,55,59,6488
76,60,64,7638
76,65,69,8022
76,70,74,7789
76,75,79,6741
76,80,84,5568
76,85,999,6158
84,0,4,0
84,5,9,0
84,10,14,0
84,15,19,0
84,20,24,0
84,25,29,0
84,30,34,0
84,35,39,1
84,40,44,0
84,45,49,0
84,50,54,3
84,55,59,3
84,60,64,4
84,65,69,2
84,70,74,2
84,75,79,1
84,80,84,3
84,85,999,2
90,0,4,0
90,5,9,0
90,10,14,0
90,15,19,0
90,20,24,0
90,25,29,0
90,30,34,0
90,35,39,0
90,40,44,2
90,45,49,1
90,50,54,3
90,55,59,0
90,60,64,3
90,65,69,3
90,70,74,3
90,75,79,2
90,80,84,0
90,85,999,2
96,0,4,0
96,5,9,0
96,10,14,0
96,15,19,0
96,20,24,0
96,25,29,0
