"ISOcode","AgeStart","AgeEnd","Ri"
900,0,4,0
900,5,9,0
900,10,14,1094
900,15,19,2131
900,20,24,5362
900,25,29,9719
900,30,34,15862
900,35,39,26446
900,40,44,46577
900,45,49,80743
900,50,54,141103
900,55,59,190132
900,60,64,236195
900,65,69,294280
900,70,74,287097
900,75,79,230867
900,80,84,182381
900,85,999,176436
905,0,4,0
905,5,9,0
905,10,14,126
905,15,19,249
905,20,24,397
905,25,29,726
905,30,34,1858
905,35,39,3708
905,40,44,6455
905,45,49,9671
905,50,54,14883
905,55,59,19941
905,60,64,24975
905,65,69,26119
905,70,74,24211
905,75,79,20245
905,80,84,14332
905,85,999,16077
906,0,4,0
906,5,9,0
906,10,14,155
906,15,19,257
906,20,24,615
906,25,29,1973
906,30,34,4290
906,35,39,6733
906,40,44,12183
906,45,49,25386
906,50,54,56246
906,55,59,69545
906,60,64,77766
906,65,69,115471
906,70,74,110035
906,75,79,88596
906,80,84,67664
906,85,999,62951
910,0,4,0
910,5,9,0
910,10,14,74
910,15,19,65
910,20,24,449
910,25,29,680
910,30,34,764
910,35,39,1058
910,40,44,1302
910,45,49,1719
910,50,54,2075
910,55,59,2316
910,60,64,2483
910,65,69,2299
910,70,74,1765
910,75,79,1231
910,80,84,689
910,85,999,401
911,0,4,0
911,5,9,0
911,10,14,81
911,15,19,64
911,20,24,132
911,25,29,205
911,30,34,239
911,35,39,291
911,40,44,364
911,45,49,493
911,50,54,610
911,55,59,651
911,60,64,639
911,65,69,574
911,70,74,438
911,75,79,334
911,80,84,180
911,85,999,102
912,0,4,0
912,5,9,0
912,10,14,68
912,15,19,161
912,20,24,312
912,25,29,409
912,30,34,656
912,35,39,1053
912,40,44,1487
912,45,49,1871
912,50,54,2349
912,55,59,2809
912,60,64,3052
912,65,69,2983
912,70,74,2422
912,75,79,1762
912,80,84,1246
912,85,999,917
913,0,4,0
913,5,9,0
913,10,14,12
913,15,19,12
913,20,24,31
913,25,29,112
913,30,34,208
913,35,39,332
913,40,44,433
913,45,49,567
913,50,54,714
913,55,59,886
913,60,64,949
913,65,69,1008
913,70,74,1001
913,75,79,768
913,80,84,460
913,85,999,214
914,0,4,0
914,5,9,0
914,10,14,10
914,15,19,62
914,20,24,194
914,25,29,334
914,30,34,651
914,35,39,727
914,40,44,916
914,45,49,1302
914,50,54,1649
914,55,59,1901
914,60,64,1946
914,65,69,1712
914,70,74,1400
914,75,79,950
914,80,84,461
914,85,999,182
915,0,4,0
915,5,9,0
915,10,14,0
915,15,19,35
915,20,24,23
915,25,29,41
915,30,34,64
915,35,39,144
915,40,44,259
915,45,49,440
915,50,54,740
915,55,59,1172
915,60,64,1406
915,65,69,1585
915,70,74,1736
915,75,79,1612
915,80,84,1324
915,85,999,1412
916,0,4,0
916,5,9,0
916,10,14,0
916,15,19,34
916,20,24,119
916,25,29,211
916,30,34,340
916,35,39,548
916,40,44,920
916,45,49,1407
916,50,54,1893
916,55,59,2390
916,60,64,2716
916,65,69,2765
916,70,74,2450
916,75,79,1966
916,80,84,1488
916,85,999,1563
920,0,4,0
920,5,9,0
920,10,14,79
920,15,19,248
920,20,24,558
920,25,29,1231
920,30,34,1081
920,35,39,2171
920,40,44,4282
920,45,49,6999
920,50,54,10830
920,55,59,14491
920,60,64,17257
920,65,69,17345
920,70,74,13996
920,75,79,9955
920,80,84,6792
920,85,999,5554
921,0,4,0
921,5,9,0
921,10,14,136
921,15,19,481
921,20,24,1298
921,25,29,1964
921,30,34,3189
921,35,39,4091
921,40,44,5838
921,45,49,8121
921,50,54,10746
921,55,59,13594
921,60,64,15836
921,65,69,15975
921,70,74,12512
921,75,79,8313
921,80,84,5115
921,85,999,3297
922,0,4,0
922,5,9,0
922,10,14,78
922,15,19,78
922,20,24,246
922,25,29,364
922,30,34,556
922,35,39,1150
922,40,44,1942
922,45,49,2992
922,50,54,4082
922,55,59,5138
922,60,64,5889
922,65,69,5935
922,70,74,5098
922,75,79,3960
922,80,84,2964
922,85,999,2686
923,0,4,0
923,5,9,0
923,10,14,33
923,15,19,47
923,20,24,128
923,25,29,221
923,30,34,322
923,35,39,876
923,40,44,2507
923,45,49,5281
923,50,54,9130
923,55,59,15725
923,60,64,27726
923,65,69,35080
923,70,74,33663
923,75,79,19161
923,80,84,17175
923,85,999,12442
924,0,4,0
924,5,9,0
924,10,14,36
924,15,19,44
924,20,24,61
924,25,29,131
924,30,34,256
924,35,39,483
924,40,44,974
924,45,49,1785
924,50,54,3463
924,55,59,5905
924,60,64,8264
924,65,69,10447
924,70,74,13072
924,75,79,13753
924,80,84,10487
924,85,999,11763
925,0,4,0
925,5,9,0
925,10,14,23
925,15,19,42
925,20,24,61
925,25,29,107
925,30,34,189
925,35,39,459
925,40,44,1273
925,45,49,3233
925,50,54,5825
925,55,59,9347
925,60,64,13035
925,65,69,17067
925,70,74,21032
925,75,79,20068
925,80,84,17187
925,85,999,18736
926,0,4,0
926,5,9,0
926,10,14,73
926,15,19,67
926,20,24,153
926,25,29,193
926,30,34,359
926,35,39,704
926,40,44,1641
926,45,49,3159
926,50,54,6334
926,55,59,10847
926,60,64,15609
926,65,69,19591
926,70,74,23883
926,75,79,22028
926,80,84,21817
926,85,999,23679
927,0,4,0
927,5,9,0
927,10,14,70
927,15,19,69
927,20,24,100
927,25,29,165
927,30,34,249
927,35,39,387
927,40,44,528
927,45,49,787
927,50,54,1130
927,55,59,1594
927,60,64,2181
927,65,69,2628
927,70,74,3072
927,75,79,2968
927,80,84,2372
927,85,999,2858
928,0,4,0
928,5,9,0
928,10,14,0
928,15,19,0
928,20,24,5
928,25,29,0
928,30,34,0
928,35,39,14
928,40,44,32
928,45,49,49
928,50,54,84
928,55,59,110
928,60,64,145
928,65,69,140
928,70,74,114
928,75,79,82
928,80,84,51
928,85,999,39
931,0,4,0
931,5,9,0
931,10,14,40
931,15,19,116
931,20,24,480
931,25,29,652
931,30,34,591
931,35,39,1517
931,40,44,3241
931,45,49,5465
931,50,54,8295
931,55,59,11743
931,60,64,14288
931,65,69,15525
931,70,74,15163
931,75,79,13088
931,80,84,10558
931,85,999,11555
954,0,4,0
954,5,9,0
954,10,14,0
954,15,19,0
954,20,24,0
954,25,29,0
954,30,34,0
954,35,39,0
954,40,44,0
954,45,49,9
954,50,54,12
954,55,59,12
954,60,64,14
954,65,69,11
954,70,74,16
954,75,79,12
954,80,84,8
954,85,999,4
957,0,4,0
957,5,9,0
957,10,14,0
957,15,19,0
957,20,24,0
957,25,29,0
957,30,34,0
957,35,39,0
957,40,44,0
957,45,49,7
957,50,54,13
957,55,59,15
957,60,64,19
957,65,69,20
957,70,74,18
957,75,79,15
957,80,84,11
957,85,999,4
