"ISOcode","AgeStart","AgeEnd","Di"
900,0,4,0
900,5,9,0
900,10,14,213
900,15,19,655
900,20,24,1947
900,25,29,3872
900,30,34,6742
900,35,39,9556
900,40,44,15092
900,45,49,27548
900,50,54,47909
900,55,59,66427
900,60,64,85928
900,65,69,115371
900,70,74,128040
900,75,79,125119
900,80,84,123377
900,85,999,145847
981,0,4,0
981,5,9,0
981,10,14,9
981,15,19,39
981,20,24,141
981,25,29,537
981,30,34,1264
981,35,39,2183
981,40,44,4329
981,45,49,8462
981,50,54,15093
981,55,59,23956
981,60,64,35520
981,65,69,47394
981,70,74,60101
981,75,79,64411
981,80,84,69847
981,85,999,93991
982,0,4,0
982,5,9,0
982,10,14,91
982,15,19,221
982,20,24,507
982,25,29,1235
982,30,34,2606
982,35,39,3721
982,40,44,6057
982,45,49,11662
982,50,54,22219
982,55,59,29378
982,60,64,35566
982,65,69,52798
982,70,74,54396
982,75,79,49965
982,80,84,46299
982,85,999,46719
983,0,4,0
983,5,9,0
983,10,14,33
983,15,19,182
983,20,24,595
983,25,29,1077
983,30,34,1675
983,35,39,2098
983,40,44,2819
983,45,49,4899
983,50,54,7479
983,55,59,9651
983,60,64,11203
983,65,69,11680
983,70,74,10338
983,75,79,8248
983,80,84,5753
983,85,999,4282
984,0,4,0
984,5,9,0
984,10,14,80
984,15,19,213
984,20,24,704
984,25,29,1023
984,30,34,1197
984,35,39,1554
984,40,44,1887
984,45,49,2525
984,50,54,3118
984,55,59,3442
984,60,64,3639
984,65,69,3499
984,70,74,3205
984,75,79,2495
984,80,84,1478
984,85,999,855
