"ISOcode","AgeStart","AgeEnd","Di"
900,0,4,0
900,5,9,0
900,10,14,213
900,15,19,655
900,20,24,1947
900,25,29,3872
900,30,34,6742
900,35,39,9560
900,40,44,15098
900,45,49,27557
900,50,54,47933
900,55,59,66457
900,60,64,85976
900,65,69,115423
900,70,74,128092
900,75,79,125168
900,80,84,123422
900,85,999,145904
905,0,4,0
905,5,9,0
905,10,14,1
905,15,19,11
905,20,24,30
905,25,29,119
905,30,34,303
905,35,39,696
905,40,44,1385
905,45,49,2208
905,50,54,3619
905,55,59,5162
905,60,64,6766
905,65,69,7462
905,70,74,7614
905,75,79,8802
905,80,84,8758
905,85,999,13219
906,0,4,0
906,5,9,0
906,10,14,52
906,15,19,90
906,20,24,201
906,25,29,531
906,30,34,1417
906,35,39,1899
906,40,44,3162
906,45,49,7197
906,50,54,15790
906,55,59,20721
906,60,64,24947
906,65,69,41899
906,70,74,46316
906,75,79,47772
906,80,84,47493
906,85,999,56919
910,0,4,0
910,5,9,0
910,10,14,13
910,15,19,25
910,20,24,310
910,25,29,494
910,30,34,497
910,35,39,702
910,40,44,878
910,45,49,1121
910,50,54,1435
910,55,59,1607
910,60,64,1710
910,65,69,1601
910,70,74,1375
910,75,79,1031
910,80,84,616
910,85,999,386
911,0,4,0
911,5,9,0
911,10,14,15
911,15,19,32
911,20,24,88
911,25,29,137
911,30,34,159
911,35,39,191
911,40,44,208
911,45,49,321
911,50,54,404
911,55,59,440
911,60,64,446
911,65,69,443
911,70,74,365
911,75,79,312
911,80,84,177
911,85,999,102
912,0,4,0
912,5,9,0
912,10,14,20
912,15,19,110
912,20,24,182
912,25,29,252
912,30,34,305
912,35,39,405
912,40,44,557
912,45,49,763
912,50,54,1025
912,55,59,1243
912,60,64,1429
912,65,69,1557
912,70,74,1520
912,75,79,1400
912,80,84,1223
912,85,999,1094
913,0,4,0
913,5,9,0
913,10,14,1
913,15,19,3
913,20,24,12
913,25,29,39
913,30,34,101
913,35,39,154
913,40,44,171
913,45,49,252
913,50,54,366
913,55,59,464
913,60,64,590
913,65,69,637
913,70,74,542
913,75,79,585
913,80,84,530
913,85,999,383
914,0,4,0
914,5,9,0
914,10,14,3
914,15,19,44
914,20,24,152
914,25,29,271
914,30,34,382
914,35,39,472
914,40,44,593
914,45,49,887
914,50,54,1154
914,55,59,1285
914,60,64,1384
914,65,69,1327
914,70,74,1169
914,75,79,835
914,80,84,410
914,85,999,163
915,0,4,0
915,5,9,0
915,10,14,20
915,15,19,7
915,20,24,14
915,25,29,23
915,30,34,48
915,35,39,66
915,40,44,107
915,45,49,203
915,50,54,326
915,55,59,541
915,60,64,677
915,65,69,826
915,70,74,999
915,75,79,1052
915,80,84,984
915,85,999,1172
916,0,4,0
916,5,9,0
916,10,14,1
916,15,19,12
916,20,24,35
916,25,29,75
916,30,34,187
916,35,39,247
916,40,44,398
916,45,49,623
916,50,54,829
916,55,59,1063
916,60,64,1276
916,65,69,1420
916,70,74,1418
916,75,79,1274
916,80,84,1031
916,85,999,1150
920,0,4,0
920,5,9,0
920,10,14,14
920,15,19,21
920,20,24,97
920,25,29,389
920,30,34,448
920,35,39,899
920,40,44,1549
920,45,49,2748
920,50,54,4465
920,55,59,6000
920,60,64,7467
920,65,69,8482
920,70,74,8245
920,75,79,7121
920,80,84,5757
920,85,999,5496
921,0,4,0
921,5,9,0
921,10,14,57
921,15,19,227
921,20,24,604
921,25,29,979
921,30,34,1543
921,35,39,1858
921,40,44,2390
921,45,49,4023
921,50,54,5885
921,55,59,7724
921,60,64,8874
921,65,69,8985
921,70,74,7582
921,75,79,5701
921,80,84,3951
921,85,999,2948
922,0,4,0
922,5,9,0
922,10,14,10
922,15,19,33
922,20,24,80
922,25,29,165
922,30,34,296
922,35,39,507
922,40,44,864
922,45,49,1310
922,50,54,1807
922,55,59,2255
922,60,64,2664
922,65,69,2936
922,70,74,2869
922,75,79,2671
922,80,84,2386
922,85,999,2464
923,0,4,0
923,5,9,0
923,10,14,0
923,15,19,7
923,20,24,25
923,25,29,52
923,30,34,209
923,35,39,351
923,40,44,620
923,45,49,1780
923,50,54,3402
923,55,59,6098
923,60,64,11467
923,65,69,15816
923,70,74,17530
923,75,79,11600
923,80,84,12623
923,85,999,11379
924,0,4,0
924,5,9,0
924,10,14,0
924,15,19,0
924,20,24,8
924,25,29,45
924,30,34,116
924,35,39,166
924,40,44,297
924,45,49,474
924,50,54,910
924,55,59,1443
924,60,64,2077
924,65,69,3150
924,70,74,5202
924,75,79,6747
924,80,84,6342
924,85,999,8413
925,0,4,0
925,5,9,0
925,10,14,0
925,15,19,0
925,20,24,0
925,25,29,4
925,30,34,53
925,35,39,110
925,40,44,335
925,45,49,795
925,50,54,1534
925,55,59,2509
925,60,64,3593
925,65,69,5295
925,70,74,8071
925,75,79,9623
925,80,84,10802
925,85,999,14922
926,0,4,0
926,5,9,0
926,10,14,0
926,15,19,0
926,20,24,1
926,25,29,15
926,30,34,97
926,35,39,168
926,40,44,379
926,45,49,748
926,50,54,1640
926,55,59,2913
926,60,64,3980
926,65,69,5690
926,70,74,8685
926,75,79,9867
926,80,84,12201
926,85,999,15463
927,0,4,0
927,5,9,0
927,10,14,0
927,15,19,0
927,20,24,3
927,25,29,20
927,30,34,33
927,35,39,42
927,40,44,68
927,45,49,121
927,50,54,210
927,55,59,323
927,60,64,470
927,65,69,629
927,70,74,859
927,75,79,1214
927,80,84,1338
927,85,999,2089
928,0,4,0
928,5,9,0
928,10,14,0
928,15,19,0
928,20,24,0
928,25,29,0
928,30,34,3
928,35,39,6
928,40,44,12
928,45,49,25
928,50,54,44
928,55,59,57
928,60,64,77
928,65,69,79
928,70,74,68
928,75,79,53
928,80,84,42
928,85,999,34
931,0,4,0
931,5,9,0
931,10,14,6
931,15,19,33
931,20,24,105
931,25,29,262
931,30,34,545
931,35,39,621
931,40,44,1125
931,45,49,1958
931,50,54,3081
931,55,59,4604
931,60,64,6059
931,65,69,7167
931,70,74,7643
931,75,79,7488
931,80,84,6742
931,85,999,8104
954,0,4,0
954,5,9,0
954,10,14,0
954,15,19,0
954,20,24,0
954,25,29,0
954,30,34,0
954,35,39,0
954,40,44,0
954,45,49,0
954,50,54,6
954,55,59,0
954,60,64,14
954,65,69,11
954,70,74,7
954,75,79,8
954,80,84,8
954,85,999,4
957,0,4,0
957,5,9,0
957,10,14,0
957,15,19,0
957,20,24,0
957,25,29,0
957,30,34,0
957,35,39,0
957,40,44,0
957,45,49,0
957,50,54,1
957,55,59,5
957,60,64,9
957,65,69,11
957,70,74,13
957,75,79,12
957,80,84,8
957,85,999,0
