"ISOcode","AgeStart","AgeEnd","Di"
4,0,4,0
4,5,9,0
4,10,14,0
4,15,19,17
4,20,24,23
4,25,29,25
4,30,34,34
4,35,39,35
4,40,44,43
4,45,49,55
4,50,54,76
4,55,59,88
4,60,64,92
4,65,69,85
4,70,74,76
4,75,79,53
4,80,84,26
4,85,999,11
8,0,4,0
8,5,9,0
8,10,14,0
8,15,19,0
8,20,24,0
8,25,29,0
8,30,34,0
8,35,39,0
8,40,44,2
8,45,49,6
8,50,54,12
8,55,59,22
8,60,64,35
8,65,69,46
8,70,74,49
8,75,79,48
8,80,84,40
8,85,999,32
12,0,4,0
12,5,9,0
12,10,14,0
12,15,19,23
12,20,24,42
12,25,29,22
12,30,34,16
12,35,39,53
12,40,44,133
12,45,49,226
12,50,54,335
12,55,59,434
12,60,64,501
12,65,69,574
12,70,74,561
12,75,79,509
12,80,84,471
12,85,999,480
24,0,4,0
24,5,9,0
24,10,14,0
24,15,19,0
24,20,24,10
24,25,29,12
24,30,34,45
24,35,39,34
24,40,44,38
24,45,49,51
24,50,54,69
24,55,59,60
24,60,64,53
24,65,69,65
24,70,74,19
24,75,79,29
24,80,84,14
24,85,999,13
31,0,4,0
31,5,9,0
31,10,14,1
31,15,19,0
31,20,24,2
31,25,29,3
31,30,34,6
31,35,39,16
31,40,44,31
31,45,49,59
31,50,54,119
31,55,59,120
31,60,64,160
31,65,69,138
31,70,74,101
31,75,79,62
31,80,84,64
31,85,999,52
32,0,4,0
32,5,9,0
32,10,14,1
32,15,19,4
32,20,24,11
32,25,29,57
32,30,34,36
32,35,39,64
32,40,44,143
32,45,49,256
32,50,54,396
32,55,59,621
32,60,64,875
32,65,69,1115
32,70,74,1303
32,75,79,1342
32,80,84,1182
32,85,999,1394
36,0,4,0
36,5,9,0
36,10,14,0
36,15,19,0
36,20,24,2
36,25,29,13
36,30,34,29
36,35,39,35
36,40,44,54
36,45,49,93
36,50,54,158
36,55,59,247
36,60,64,360
36,65,69,475
36,70,74,626
36,75,79,911
36,80,84,1035
36,85,999,1677
40,0,4,0
40,5,9,0
40,10,14,0
40,15,19,0
40,20,24,0
40,25,29,0
40,30,34,3
40,35,39,5
40,40,44,13
40,45,49,26
40,50,54,63
40,55,59,117
40,60,64,160
40,65,69,216
40,70,74,314
40,75,79,375
40,80,84,489
40,85,999,482
44,0,4,0
44,5,9,0
44,10,14,0
44,15,19,0
44,20,24,0
44,25,29,0
44,30,34,0
44,35,39,0
44,40,44,0
44,45,49,3
44,50,54,5
44,55,59,8
44,60,64,10
44,65,69,11
44,70,74,9
44,75,79,7
44,80,84,7
44,85,999,4
48,0,4,0
48,5,9,0
48,10,14,0
48,15,19,0
48,20,24,0
48,25,29,1
48,30,34,1
48,35,39,2
48,40,44,3
48,45,49,1
48,50,54,6
48,55,59,7
48,60,64,12
48,65,69,10
48,70,74,8
48,75,79,5
48,80,84,5
48,85,999,4
50,0,4,0
50,5,9,0
50,10,14,1
50,15,19,17
50,20,24,71
50,25,29,121
50,30,34,170
50,35,39,156
50,40,44,203
50,45,49,310
50,50,54,397
50,55,59,454
50,60,64,395
50,65,69,296
50,70,74,257
50,75,79,262
50,80,84,188
50,85,999,159
51,0,4,0
51,5,9,0
51,10,14,0
51,15,19,0
51,20,24,0
51,25,29,1
51,30,34,1
51,35,39,4
51,40,44,1
51,45,49,6
51,50,54,16
51,55,59,34
51,60,64,69
51,65,69,92
51,70,74,95
51,75,79,62
51,80,84,68
51,85,999,68
52,0,4,0
52,5,9,0
52,10,14,0
52,15,19,0
52,20,24,0
52,25,29,0
52,30,34,0
52,35,39,0
52,40,44,0
52,45,49,1
52,50,54,5
52,55,59,9
52,60,64,14
52,65,69,12
52,70,74,17
52,75,79,17
52,80,84,13
52,85,999,14
56,0,4,0
56,5,9,0
56,10,14,0
56,15,19,0
56,20,24,0
56,25,29,0
56,30,34,4
56,35,39,4
56,40,44,15
56,45,49,35
56,50,54,76
56,55,59,140
56,60,64,212
56,65,69,314
56,70,74,470
56,75,79,546
56,80,84,569
56,85,999,849
64,0,4,0
64,5,9,0
64,10,14,0
64,15,19,0
64,20,24,0
64,25,29,0
64,30,34,0
64,35,39,1
64,40,44,1
64,45,49,1
64,50,54,1
64,55,59,2
64,60,64,2
64,65,69,3
64,70,74,4
64,75,79,3
64,80,84,1
64,85,999,1
68,0,4,0
68,5,9,0
68,10,14,0
68,15,19,0
68,20,24,0
68,25,29,0
68,30,34,2
68,35,39,0
68,40,44,17
68,45,49,32
68,50,54,31
68,55,59,39
68,60,64,42
68,65,69,66
68,70,74,76
68,75,79,58
68,80,84,35
68,85,999,34
70,0,4,0
70,5,9,0
70,10,14,0
70,15,19,0
70,20,24,0
70,25,29,0
70,30,34,1
70,35,39,3
70,40,44,10
70,45,49,19
70,50,54,38
70,55,59,76
70,60,64,147
70,65,69,204
70,70,74,197
70,75,79,137
70,80,84,132
70,85,999,122
72,0,4,0
72,5,9,0
72,10,14,0
72,15,19,0
72,20,24,0
72,25,29,1
72,30,34,2
72,35,39,3
72,40,44,8
72,45,49,1
72,50,54,3
72,55,59,2
72,60,64,5
72,65,69,6
72,70,74,7
72,75,79,6
72,80,84,3
72,85,999,0
76,0,4,0
76,5,9,0
76,10,14,4
76,15,19,13
76,20,24,50
76,25,29,96
76,30,34,333
76,35,39,337
76,40,44,621
76,45,49,1106
76,50,54,1749
76,55,59,2599
76,60,64,3351
76,65,69,3806
76,70,74,3892
76,75,79,3683
76,80,84,3313
76,85,999,3931
84,0,4,0
84,5,9,0
84,10,14,0
84,15,19,0
84,20,24,0
84,25,29,0
84,30,34,0
84,35,39,1
84,40,44,0
84,45,49,0
84,50,54,1
84,55,59,3
84,60,64,4
84,65,69,2
84,70,74,2
84,75,79,1
84,80,84,3
84,85,999,2
90,0,4,0
90,5,9,0
90,10,14,0
90,15,19,0
90,20,24,0
90,25,29,0
90,30,34,0
90,35,39,0
90,40,44,1
90,45,49,0
90,50,54,0
90,55,59,0
90,60,64,1
90,65,69,6
90,70,74,0
90,75,79,2
90,80,84,0
90,85,999,1
96,0,4,0
96,5,9,0
96,10,14,0
96,15,19,0
96,20,24,0
96,25,29,0
96,30,34,0
96,35,39,2
