Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,41,004,4,Afghanistan,0,220,-,-,220,0.73,0.65,0.04
ALB,41,008,8,Albania,0,20,-,-,20,0.91,1.3,0.05
DZA,41,012,12,Algeria,0,477,-,-,477,1.3,1.6,0.07
AGO,41,024,24,Angola,0,218,-,-,218,0.92,0.74,0.05
AZE,41,031,31,Azerbaijan,0,74,-,-,74,0.85,1.2,0.04
ARG,41,032,32,Argentina,0,409,-,-,409,1.2,1.5,0.06
AUS,41,036,36,Australia,0,966,-,-,966,5.6,7.1,0.27
AUT,41,040,40,Austria,0,106,-,-,106,1.7,2.6,0.09
BHS,41,044,44,Bahamas,0,1,-,-,1,0.35,0.42,0.01
BHR,41,048,48,Bahrain,0,12,-,-,12,0.58,0.97,0.03
BGD,41,050,50,Bangladesh,0,956,-,-,956,0.67,0.82,0.03
ARM,41,051,51,Armenia,0,11,-,-,11,0.49,0.66,0.02
BRB,41,052,52,Barbados,0,1,-,-,1,0.63,0.71,0.03
BEL,41,056,56,Belgium,0,120,-,-,120,1.7,2.2,0.08
BTN,41,064,64,Bhutan,0,1,-,-,1,0.13,0.18,0.01
BOL,41,068,68,Bolivia (Plurinational State of),0,25,-,-,25,0.27,0.29,0.01
BIH,41,070,70,Bosnia Herzegovina,0,23,-,-,23,0.97,1.6,0.05
BWA,41,072,72,Botswana,0,15,-,-,15,0.75,0.83,0.04
BRA,41,076,76,Brazil,0,1926,-,-,1926,1.1,1.5,0.06
BLZ,41,084,84,Belize,0,1,-,-,1,0.30,0.34,0.02
SLB,41,090,90,Solomon Islands,0,0,-,-,0,0.00,0.00,0.00
BRN,41,096,96,Brunei Darussalam,0,5,-,-,5,1.2,1.8,0.07
BGR,41,100,100,Bulgaria,0,34,-,-,34,0.76,1.2,0.04
MMR,41,104,104,Myanmar,0,419,-,-,419,0.99,1.2,0.05
BDI,41,108,108,Burundi,0,51,-,-,51,0.56,0.48,0.03
BLR,41,112,112,Belarus,0,70,-,-,70,0.98,1.5,0.05
KHM,41,116,116,Cambodia,0,122,-,-,122,0.75,0.96,0.04
CMR,41,120,120,Cameroon,0,138,-,-,138,0.69,0.60,0.03
CAN,41,124,124,Canada,0,624,-,-,624,2.3,3.4,0.12
CPV,41,132,132,Cape Verde,0,1,-,-,1,0.16,0.25,0.01
CAF,41,140,140,Central African Republic,0,37,-,-,37,1.0,0.88,0.05
LKA,41,144,144,Sri Lanka,0,73,-,-,73,0.51,0.59,0.03
TCD,41,148,148,Chad,0,107,-,-,107,0.91,0.72,0.04
CHL,41,152,152,Chile,0,117,-,-,117,0.79,1.1,0.04
CHN,41,156,160,China,0,12624,-,-,12624,1.2,1.8,0.06
COL,41,170,170,Colombia,0,402,-,-,402,0.99,1.3,0.05
COM,41,174,174,Comoros,0,0,-,-,0,0.00,0.00,0.00
COG,41,178,178,"Congo, Republic of",0,17,-,-,17,0.44,0.37,0.02
COD,41,180,180,"Congo, Democratic Republic of",0,458,-,-,458,0.72,0.58,0.04
CRI,41,188,188,Costa Rica,0,33,-,-,33,0.77,1.1,0.04
HRV,41,191,191,Croatia,0,34,-,-,34,1.3,1.9,0.07
CUB,41,192,192,Cuba,0,45,-,-,45,0.71,0.85,0.03
CYP,41,196,196,Cyprus,0,7,-,-,7,0.65,1.1,0.04
CZE,41,203,203,Czechia,0,104,-,-,104,1.7,2.2,0.08
BEN,41,204,204,Benin,0,74,-,-,74,0.84,0.71,0.04
DNK,41,208,208,Denmark,0,53,-,-,53,1.5,1.9,0.07
DOM,41,214,214,Dominican Republic,0,86,-,-,86,1.0,1.2,0.05
ECU,41,218,218,Ecuador,0,111,-,-,111,0.80,0.91,0.04
SLV,41,222,222,El Salvador,0,50,-,-,50,0.99,1.1,0.05
GNQ,41,226,226,Equatorial Guinea,0,17,-,-,17,1.2,1.4,0.06
ETH,41,231,231,Ethiopia,0,1291,-,-,1291,1.5,1.3,0.08
ERI,41,232,232,Eritrea,0,38,-,-,38,1.4,1.3,0.07
EST,41,233,233,Estonia,0,8,-,-,8,0.79,1.3,0.04
FJI,41,242,242,Fiji,0,4,-,-,4,0.56,0.65,0.03
FIN,41,246,246,Finland,0,49,-,-,49,1.3,1.9,0.07
FRA,41,250,250,France (metropolitan),0,671,-,-,671,1.6,2.2,0.08
GUF,41,254,254,French Guyana,0,0,-,-,0,0.00,0.00,0.00
PYF,41,258,258,French Polynesia,0,0,-,-,0,0.00,0.00,0.00
DJI,41,262,262,Djibouti,0,11,-,-,11,1.2,1.5,0.06
GAB,41,266,266,Gabon,0,20,-,-,20,1.1,1.1,0.06
GEO,41,268,268,Georgia,0,9,-,-,9,0.33,0.44,0.02
GMB,41,270,270,The Republic of the Gambia,0,11,-,-,11,0.65,0.51,0.03
PSE,41,275,275,Gaza Strip and West Bank,0,44,-,-,44,1.1,1.0,0.06
DEU,41,276,276,Germany,0,403,-,-,403,0.83,1.1,0.04
GHA,41,288,288,Ghana,0,152,-,-,152,0.63,0.60,0.03
GRC,41,300,300,Greece,0,34,-,-,34,0.56,0.82,0.03
GLP,41,312,312,"France, Guadeloupe",0,1,-,-,1,0.54,0.54,0.03
GUM,41,316,316,Guam,0,0,-,-,0,0.00,0.00,0.00
GTM,41,320,320,Guatemala,0,65,-,-,65,0.44,0.46,0.02
GIN,41,324,324,Guinea,0,45,-,-,45,0.47,0.39,0.02
GUY,41,328,328,Guyana,0,4,-,-,4,0.70,0.75,0.03
HTI,41,332,332,Haiti,0,95,-,-,95,1.0,1.1,0.05
HND,41,340,340,Honduras,0,43,-,-,43,0.51,0.57,0.03
HUN,41,348,348,Hungary,0,69,-,-,69,1.2,1.6,0.06
ISL,41,352,352,Iceland,0,2,-,-,2,0.75,1.1,0.04
IND,41,356,356,India,0,6442,-,-,6442,0.56,0.68,0.03
IDN,41,360,360,Indonesia,0,1968,-,-,1968,0.93,1.1,0.05
IRN,41,364,364,"Iran, Islamic Republic of",0,964,-,-,964,1.2,1.8,0.06
IRQ,41,368,368,Iraq,0,318,-,-,318,1.0,0.96,0.05
IRL,41,372,372,Ireland,0,46,-,-,46,1.4,1.8,0.07
ISR,41,376,376,Israel,0,107,-,-,107,1.8,1.9,0.09
ITA,41,380,380,Italy,0,381,-,-,381,1.1,1.6,0.06
CIV,41,384,384,"Côte d'Ivoire",0,145,-,-,145,0.75,0.64,0.04
JAM,41,388,388,Jamaica,0,34,-,-,34,1.4,1.8,0.07
JPN,41,392,392,Japan,0,707,-,-,707,1.1,1.5,0.05
KAZ,41,398,398,Kazakhstan,0,91,-,-,91,0.59,0.74,0.03
JOR,41,400,400,Jordan,0,110,-,-,110,1.3,1.4,0.07
KEN,41,404,404,Kenya,0,286,-,-,286,0.66,0.63,0.03
