Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,41,004,4,Afghanistan,0,308,-,-,308,1.2,0.81,0.09
ALB,41,008,8,Albania,0,20,-,-,20,0.76,0.99,0.06
DZA,41,012,12,Algeria,0,850,-,-,850,2.2,2.2,0.16
AGO,41,024,24,Angola,0,259,-,-,259,1.3,0.78,0.10
AZE,41,031,31,Azerbaijan,0,237,-,-,237,2.4,2.9,0.18
ARG,41,032,32,Argentina,0,968,-,-,968,2.4,2.7,0.18
AUS,41,036,36,Australia,0,384,-,-,384,1.5,2.1,0.11
AUT,41,040,40,Austria,0,110,-,-,110,1.1,1.9,0.09
BHS,41,044,44,Bahamas,0,8,-,-,8,1.9,2.5,0.15
BHR,41,048,48,Bahrain,0,14,-,-,14,0.72,0.87,0.06
BGD,41,050,50,Bangladesh,0,1446,-,-,1446,0.92,0.99,0.07
ARM,41,051,51,Armenia,0,29,-,-,29,1.1,1.3,0.08
BRB,41,052,52,Barbados,0,6,-,-,6,1.9,3.0,0.15
BEL,41,056,56,Belgium,0,134,-,-,134,1.1,1.7,0.09
BTN,41,064,64,Bhutan,0,4,-,-,4,0.57,0.58,0.04
BOL,41,068,68,Bolivia (Plurinational State of),0,82,-,-,82,0.92,0.80,0.07
BIH,41,070,70,Bosnia Herzegovina,0,71,-,-,71,2.0,3.3,0.16
BWA,41,072,72,Botswana,0,18,-,-,18,0.84,0.82,0.06
BRA,41,076,76,Brazil,0,4309,-,-,4309,2.0,2.5,0.15
BLZ,41,084,84,Belize,0,2,-,-,2,0.55,0.55,0.04
SLB,41,090,90,Solomon Islands,0,1,-,-,1,0.19,0.15,0.01
BRN,41,096,96,Brunei Darussalam,0,15,-,-,15,3.0,4.0,0.23
BGR,41,100,100,Bulgaria,0,191,-,-,191,2.4,4.3,0.19
MMR,41,104,104,Myanmar,0,663,-,-,663,1.3,1.4,0.09
BDI,41,108,108,Burundi,0,77,-,-,77,1.2,0.65,0.09
BLR,41,112,112,Belarus,0,210,-,-,210,2.2,3.2,0.17
KHM,41,116,116,Cambodia,0,235,-,-,235,1.8,1.6,0.13
CMR,41,120,120,Cameroon,0,252,-,-,252,1.5,0.97,0.11
CAN,41,124,124,Canada,0,872,-,-,872,2.4,3.4,0.18
CPV,41,132,132,Cape Verde,0,2,-,-,2,0.45,0.40,0.04
CAF,41,140,140,Central African Republic,0,47,-,-,47,1.6,1.0,0.12
LKA,41,144,144,Sri Lanka,0,195,-,-,195,0.93,1.2,0.07
TCD,41,148,148,Chad,0,133,-,-,133,1.3,0.81,0.09
CHL,41,152,152,Chile,0,327,-,-,327,1.7,2.3,0.13
CHN,41,156,160,China,0,26496,-,-,26496,1.6,2.6,0.12
COL,41,170,170,Colombia,0,879,-,-,879,1.8,2.1,0.13
COM,41,174,174,Comoros,0,1,-,-,1,0.20,0.12,0.02
