Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,41,004,4,Afghanistan,0,739,-,-,739,3.6,1.8,0.41
ALB,41,008,8,Albania,0,292,-,-,292,4.9,10.2,0.56
DZA,41,012,12,Algeria,0,4380,-,-,4380,9.4,9.7,1.0
AGO,41,024,24,Angola,0,512,-,-,512,3.2,1.5,0.33
AZE,41,031,31,Azerbaijan,0,934,-,-,934,7.7,9.1,0.87
ARG,41,032,32,Argentina,0,8800,-,-,8800,12.2,19.1,1.3
AUS,41,036,36,Australia,0,5715,-,-,5715,8.6,21.9,0.78
AUT,41,040,40,Austria,0,2263,-,-,2263,8.4,25.0,0.90
BHS,41,044,44,Bahamas,0,64,-,-,64,12.6,16.0,1.5
BHR,41,048,48,Bahrain,0,65,-,-,65,6.3,3.6,0.70
BGD,41,050,50,Bangladesh,0,3457,-,-,3457,2.2,2.1,0.24
ARM,41,051,51,Armenia,0,517,-,-,517,9.7,17.4,1.1
BRB,41,052,52,Barbados,0,102,-,-,102,15.2,35.4,1.8
BEL,41,056,56,Belgium,0,3234,-,-,3234,9.2,27.7,0.96
BTN,41,064,64,Bhutan,0,20,-,-,20,2.8,2.5,0.37
BOL,41,068,68,Bolivia (Plurinational State of),0,432,-,-,432,3.6,3.6,0.45
BIH,41,070,70,Bosnia Herzegovina,0,1086,-,-,1086,13.8,33.4,1.6
BWA,41,072,72,Botswana,0,47,-,-,47,2.4,1.9,0.28
BRA,41,076,76,Brazil,0,28884,-,-,28884,9.2,13.4,0.99
BLZ,41,084,84,Belize,0,19,-,-,19,5.4,4.6,0.61
SLB,41,090,90,Solomon Islands,0,11,-,-,11,2.9,1.5,0.33
BRN,41,096,96,Brunei Darussalam,0,77,-,-,77,17.4,17.3,1.6
BGR,41,100,100,Bulgaria,0,2759,-,-,2759,14.8,40.3,1.7
MMR,41,104,104,Myanmar,0,3282,-,-,3282,6.0,5.9,0.64
BDI,41,108,108,Burundi,0,274,-,-,274,5.2,2.2,0.59
BLR,41,112,112,Belarus,0,2970,-,-,2970,14.7,31.5,1.8
KHM,41,116,116,Cambodia,0,1035,-,-,1035,7.8,6.0,0.81
CMR,41,120,120,Cameroon,0,608,-,-,608,4.3,2.2,0.49
CAN,41,124,124,Canada,0,11521,-,-,11521,10.6,30.0,0.84
CPV,41,132,132,Cape Verde,0,13,-,-,13,2.7,2.3,0.19
CAF,41,140,140,Central African Republic,0,119,-,-,119,4.7,2.4,0.51
LKA,41,144,144,Sri Lanka,0,1284,-,-,1284,3.9,6.0,0.45
TCD,41,148,148,Chad,0,178,-,-,178,1.8,1.0,0.17
CHL,41,152,152,Chile,0,3330,-,-,3330,9.2,17.3,0.96
CHN,41,156,160,China,0,240010,-,-,240010,8.6,17.0,0.89
COL,41,170,170,Colombia,0,5640,-,-,5640,8.0,11.0,0.85
COM,41,174,174,Comoros,0,12,-,-,12,2.6,1.3,0.39
COG,41,178,178,"Congo, Republic of",0,108,-,-,108,3.1,1.9,0.35
COD,41,180,180,"Congo, Democratic Republic of",0,2205,-,-,2205,4.6,2.3,0.51
CRI,41,188,188,Costa Rica,0,709,-,-,709,8.6,13.7,0.89
HRV,41,191,191,Croatia,0,2263,-,-,2263,18.5,55.8,2.0
CUB,41,192,192,Cuba,0,3061,-,-,3061,11.1,27.1,1.2
CYP,41,196,196,Cyprus,0,333,-,-,333,12.1,27.2,1.2
CZE,41,203,203,Czechia,0,3504,-,-,3504,12.1,32.6,1.4
BEN,41,204,204,Benin,0,353,-,-,353,5.2,2.8,0.54
DNK,41,208,208,Denmark,0,1992,-,-,1992,11.3,34.1,1.2
DOM,41,214,214,Dominican Republic,0,934,-,-,934,7.6,8.5,0.91
ECU,41,218,218,Ecuador,0,1283,-,-,1283,6.0,7.1,0.60
SLV,41,222,222,El Salvador,0,373,-,-,373,4.5,5.7,0.47
GNQ,41,226,226,Equatorial Guinea,0,38,-,-,38,4.1,2.5,0.47
ETH,41,231,231,Ethiopia,0,4863,-,-,4863,6.7,4.0,0.76
ERI,41,232,232,Eritrea,0,123,-,-,123,5.2,3.4,0.58
EST,41,233,233,Estonia,0,556,-,-,556,13.6,42.1,1.6
FJI,41,242,242,Fiji,0,58,-,-,58,7.4,6.4,0.73
FIN,41,246,246,Finland,0,1569,-,-,1569,8.8,28.3,0.96
FRA,41,250,250,France (metropolitan),0,21218,-,-,21218,10.3,32.4,1.1
GUF,41,254,254,French Guyana,0,22,-,-,22,8.3,7.0,0.61
PYF,41,258,258,French Polynesia,0,25,-,-,25,6.2,8.8,0.85
DJI,41,262,262,Djibouti,0,45,-,-,45,5.2,4.4,0.64
GAB,41,266,266,Gabon,0,67,-,-,67,4.2,2.9,0.51
GEO,41,268,268,Georgia,0,649,-,-,649,7.9,16.4,0.92
GMB,41,270,270,The Republic of the Gambia,0,32,-,-,32,2.3,1.3,0.24
PSE,41,275,275,Gaza Strip and West Bank,0,323,-,-,323,11.0,6.0,1.2
DEU,41,276,276,Germany,0,26544,-,-,26544,9.5,31.6,1.0
GHA,41,288,288,Ghana,0,656,-,-,656,3.3,2.0,0.36
GRC,41,300,300,Greece,0,3764,-,-,3764,10.2,36.5,1.1
GLP,41,312,312,"France, Guadeloupe",0,101,-,-,101,9.2,25.3,0.97
GUM,41,316,316,Guam,0,26,-,-,26,9.5,15.2,0.96
GTM,41,320,320,Guatemala,0,544,-,-,544,3.7,2.9,0.40
GIN,41,324,324,Guinea,0,157,-,-,157,2.2,1.1,0.22
GUY,41,328,328,Guyana,0,46,-,-,46,5.0,5.8,0.45
HTI,41,332,332,Haiti,0,747,-,-,747,7.6,6.4,0.66
HND,41,340,340,Honduras,0,372,-,-,372,4.3,3.6,0.43
HUN,41,348,348,Hungary,0,4986,-,-,4986,20.2,51.9,2.3
ISL,41,352,352,Iceland,0,88,-,-,88,10.6,25.5,1.1
IND,41,356,356,India,0,40993,-,-,40993,2.9,2.9,0.33
IDN,41,360,360,Indonesia,0,19255,-,-,19255,6.6,6.9,0.71
IRN,41,364,364,"Iran, Islamic Republic of",0,6739,-,-,6739,7.4,7.8,0.74
IRQ,41,368,368,Iraq,0,1438,-,-,1438,5.7,3.4,0.64
IRL,41,372,372,Ireland,0,1287,-,-,1287,11.6,25.6,1.2
ISR,41,376,376,Israel,0,1460,-,-,1460,8.8,16.4,0.79
ITA,41,380,380,Italy,0,24188,-,-,24188,10.6,40.1,1.1
CIV,41,384,384,"Côte d'Ivoire",0,748,-,-,748,5.0,2.7,0.57
JAM,41,388,388,Jamaica,0,509,-,-,509,12.6,17.1,1.4
JPN,41,392,392,Japan,0,60473,-,-,60473,11.3,48.2,1.2
KAZ,41,398,398,Kazakhstan,0,1968,-,-,1968,8.6,10.3,1.1
JOR,41,400,400,Jordan,0,658,-,-,658,8.7,6.4,0.97
KEN,41,404,404,Kenya,0,2116,-,-,2116,8.0,3.8,0.86
PRK,41,408,408,"Korea, Democratic People Republic of",0,4220,-,-,4220,11.0,16.2,1.3
KOR,41,410,410,"Korea, Republic of",0,11595,-,-,11595,8.6,22.6,0.77
KWT,41,414,414,Kuwait,0,195,-,-,195,5.8,4.5,0.64
KGZ,41,417,417,Kyrgyzstan,0,287,-,-,287,5.2,4.3,0.62
LAO,41,418,418,"Lao People's Democratic Republic",0,444,-,-,444,8.3,5.9,0.90
LBN,41,422,422,Lebanon,0,572,-,-,572,7.1,8.6,0.76
LSO,41,426,426,Lesotho,0,69,-,-,69,4.1,3.2,0.41
LVA,41,428,428,Latvia,0,636,-,-,636,11.5,34.4,1.4
LBR,41,430,430,Liberia,0,108,-,-,108,3.4,2.0,0.37
LBY,41,434,434,Libya,0,660,-,-,660,11.7,9.4,0.90
LTU,41,440,440,Lithuania,0,938,-,-,938,11.8,35.2,1.4
LUX,41,442,442,Luxembourg,0,120,-,-,120,8.2,18.7,0.90
MDG,41,450,450,Madagascar,0,664,-,-,664,4.2,2.3,0.46
MWI,41,454,454,Malawi,0,386,-,-,386,3.7,1.9,0.38
MYS,41,458,458,Malaysia,0,3715,-,-,3715,10.0,11.2,1.0
MDV,41,462,462,Maldives,0,24,-,-,24,6.3,4.4,0.61
MLI,41,466,466,Mali,0,704,-,-,704,6.9,3.3,0.76
MLT,41,470,470,Malta,0,133,-,-,133,9.6,30.0,1.0
MTQ,41,474,474,"France, Martinique",0,102,-,-,102,8.4,27.3,0.87
MRT,41,478,478,Mauritania,0,135,-,-,135,4.6,2.8,0.51
MUS,41,480,480,Mauritius,0,173,-,-,173,7.6,13.6,0.82
MEX,41,484,484,Mexico,0,8283,-,-,8283,5.5,6.3,0.62
MNG,41,496,496,Mongolia,0,108,-,-,108,4.0,3.2,0.34
MDA,41,498,498,Republic of Moldova,0,1133,-,-,1133,16.3,28.2,2.1
MNE,41,499,499,Montenegro,0,157,-,-,157,11.7,25.0,1.3
MAR,41,504,504,Morocco,0,2892,-,-,2892,6.7,7.7,0.73
MOZ,41,508,508,Mozambique,0,492,-,-,492,3.1,1.5,0.33
OMN,41,512,512,Oman,0,249,-,-,249,6.7,4.7,0.74
NAM,41,516,516,Namibia,0,92,-,-,92,5.8,3.5,0.72
NPL,41,524,524,Nepal,0,709,-,-,709,2.6,2.4,0.28
NLD,41,528,528,The Netherlands,0,6465,-,-,6465,12.6,37.6,1.3
NCL,41,540,540,New Caledonia,0,36,-,-,36,8.8,12.4,1.1
VUT,41,548,548,Vanuatu,0,13,-,-,13,6.8,4.0,0.95
NZL,41,554,554,New Zealand,0,1704,-,-,1704,13.9,34.8,1.3
NIC,41,558,558,Nicaragua,0,365,-,-,365,5.8,5.4,0.63
NER,41,562,562,Niger,0,620,-,-,620,4.8,2.4,0.52
NGA,41,566,566,Nigeria,0,5912,-,-,5912,5.7,2.7,0.67
NOR,41,578,578,Norway,0,2138,-,-,2138,13.8,38.8,1.3
PAK,41,586,586,Pakistan,0,5235,-,-,5235,3.1,2.3,0.34
PAN,41,591,591,Panama,0,374,-,-,374,6.5,8.4,0.74
PNG,41,598,598,Papua New Guinea,0,382,-,-,382,7.4,4.1,0.71
PRY,41,600,600,Paraguay,0,659,-,-,659,8.9,9.0,0.93
PER,41,604,604,Peru,0,2527,-,-,2527,5.5,7.5,0.55
PHL,41,608,608,Philippines,0,10692,-,-,10692,10.8,9.5,1.2
POL,41,616,616,Poland,0,15284,-,-,15284,15.6,40.5,1.8
PRT,41,620,620,Portugal,0,4809,-,-,4809,13.7,47.4,1.4
GNB,41,624,624,Guinea-Bissau,0,35,-,-,35,3.3,1.7,0.40
TLS,41,626,626,Timor-Leste,0,43,-,-,43,4.8,3.1,0.43
PRI,41,630,630,Puerto Rico,0,974,-,-,974,13.0,34.4,1.4
QAT,41,634,634,Qatar,0,79,-,-,79,4.8,2.7,0.47
REU,41,638,638,"France, La Réunion",0,166,-,-,166,9.2,18.3,0.95
ROU,41,642,642,Romania,0,7381,-,-,7381,15.5,38.8,1.8
RUS,41,643,643,Russian Federation,0,41447,-,-,41447,13.3,28.4,1.6
RWA,41,646,646,Rwanda,0,251,-,-,251,3.1,1.9,0.35
LCA,41,662,662,Saint Lucia,0,22,-,-,22,7.4,11.9,0.82
STP,41,678,678,Sao Tome and Principe,0,5,-,-,5,4.5,2.2,0.60
SAU,41,682,682,Saudi Arabia,0,1883,-,-,1883,6.2,5.3,0.67
SEN,41,686,686,Senegal,0,432,-,-,432,4.5,2.5,0.49
SRB,41,688,688,Serbia,0,3005,-,-,3005,14.8,34.7,1.7
SLE,41,694,694,Sierra Leone,0,11,-,-,11,0.23,0.13,0.02
SGP,41,702,702,Singapore,0,2043,-,-,2043,16.7,34.4,1.7
SVK,41,703,703,Slovakia,0,2232,-,-,2232,17.2,40.9,1.9
VNM,41,704,704,Viet Nam,0,8454,-,-,8454,6.8,8.5,0.80
SVN,41,705,705,Slovenia,0,739,-,-,739,11.2,35.6,1.2
SOM,41,706,706,Somalia,0,623,-,-,623,7.7,3.7,0.89
ZAF,41,710,710,South Africa,0,4591,-,-,4591,8.9,7.6,0.86
ZWE,41,716,716,Zimbabwe,0,524,-,-,524,6.8,3.4,0.78
ESP,41,724,724,Spain,0,16608,-,-,16608,11.1,35.6,1.2
SSD,41,728,728,South Sudan,0,291,-,-,291,4.5,2.5,0.51
SDN,41,729,729,Sudan,0,1084,-,-,1084,3.7,2.4,0.33
SUR,41,740,740,Suriname,0,64,-,-,64,9.4,10.7,1.1
SWZ,41,748,748,Eswatini,0,31,-,-,31,4.0,2.6,0.43
SWE,41,752,752,Sweden,0,3218,-,-,3218,10.5,31.5,1.1
CHE,41,756,756,Switzerland,0,1978,-,-,1978,7.7,22.5,0.80
SYR,41,760,760,Syrian Arab Republic,0,1092,-,-,1092,7.2,5.6,0.72
TJK,41,762,762,Tajikistan,0,229,-,-,229,3.5,2.3,0.37
THA,41,764,764,Thailand,0,10158,-,-,10158,7.4,14.5,0.80
TGO,41,768,768,Togo,0,253,-,-,253,5.4,2.9,0.58
TTO,41,780,780,Trinidad and Tobago,0,248,-,-,248,10.5,17.6,1.1
ARE,41,784,784,United Arab Emirates,0,236,-,-,236,5.6,2.3,0.63
TUN,41,788,788,Tunisia,0,953,-,-,953,6.0,7.9,0.64
TUR,41,792,792,Türkiye,0,11698,-,-,11698,10.1,13.7,1.1
TKM,41,795,795,Turkmenistan,0,201,-,-,201,3.8,3.2,0.41
UGA,41,800,800,Uganda,0,1013,-,-,1013,5.5,2.1,0.66
UKR,41,804,804,Ukraine,0,11263,-,-,11263,12.3,26.1,1.6
MKD,41,807,807,North Macedonia,0,518,-,-,518,12.8,24.9,1.5
EGY,41,818,818,Egypt,0,3096,-,-,3096,3.4,2.9,0.34
GBR,41,826,826,United Kingdom,0,22868,-,-,22868,11.8,33.4,1.2
TZA,41,834,834,"Tanzania, United Republic of",0,1472,-,-,1472,4.8,2.3,0.52
USA,41,840,840,United States of America,0,54614,-,-,54614,7.9,16.3,0.83
BFA,41,854,854,Burkina Faso,0,362,-,-,362,2.6,1.6,0.24
URY,41,858,858,Uruguay,0,1140,-,-,1140,14.6,32.6,1.6
UZB,41,860,860,Uzbekistan,0,1446,-,-,1446,4.8,4.2,0.59
VEN,41,862,862,Venezuela,0,2716,-,-,2716,7.7,9.3,0.84
WSM,41,882,882,Samoa,0,20,-,-,20,11.9,9.9,1.4
YEM,41,887,887,Yemen,0,1062,-,-,1062,6.3,3.4,0.70
ZMB,41,894,894,Zambia,0,307,-,-,307,3.6,1.6,0.41
,,,,Total,,903643,,,903643,8.1,11.5,0.84
