Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,41,905,905,Northern America,0,375,-,-,375,0.37,0.42,0.01
N.A.,41,906,906,Eastern Asia,0,412,-,-,412,0.11,0.12,0.00
N.A.,41,910,910,Eastern Africa,0,139,-,-,139,0.06,0.06,0.00
N.A.,41,911,911,Middle Africa,0,145,-,-,145,0.14,0.14,0.00
N.A.,41,912,912,Northern Africa,0,229,-,-,229,0.23,0.22,0.01
N.A.,41,913,913,Southern Africa,0,24,-,-,24,0.09,0.09,0.00
N.A.,41,914,914,Western Africa,0,72,-,-,72,0.03,0.03,0.00
N.A.,41,915,915,Caribbean,0,35,-,-,35,0.23,0.25,0.01
N.A.,41,916,916,Central America,0,34,-,-,34,0.05,0.05,0.00
N.A.,41,920,920,South-Eastern Asia,0,327,-,-,327,0.14,0.15,0.00
N.A.,41,921,921,South Central Asia,0,617,-,-,617,0.08,0.08,0.00
N.A.,41,922,922,Western Asia,0,156,-,-,156,0.14,0.15,0.00
N.A.,41,923,923,Eastern Europe,0,80,-,-,80,0.12,0.12,0.00
N.A.,41,924,924,Northern Europe,0,80,-,-,80,0.29,0.32,0.01
N.A.,41,925,925,Southern Europe,0,65,-,-,65,0.20,0.23,0.00
N.A.,41,926,926,Western Europe,0,140,-,-,140,0.31,0.34,0.01
N.A.,41,927,927,Australia-New Zealand,0,139,-,-,139,1.6,1.8,0.04
N.A.,41,928,928,Melanesia,0,0,-,-,0,0.00,0.00,0.00
N.A.,41,931,931,South America,0,156,-,-,156,0.11,0.12,0.00
N.A.,41,954,954,Micronesia,0,0,-,-,0,0.00,0.00,0.00
N.A.,41,957,957,Polynesia,0,0,-,-,0,0.00,0.00,0.00
,,,,Total,,3225,,,3225,0.12,0.12,0.00
