Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,41,905,905,Northern America,0,13519,-,-,13519,4.7,6.3,0.28
N.A.,41,906,906,Eastern Asia,0,26206,-,-,26206,2.0,2.9,0.12
N.A.,41,910,910,Eastern Africa,0,4392,-,-,4392,1.4,1.1,0.08
N.A.,41,911,911,Middle Africa,0,1376,-,-,1376,1.1,0.83,0.06
N.A.,41,912,912,Northern Africa,0,4146,-,-,4146,2.0,2.1,0.12
N.A.,41,913,913,Southern Africa,0,1140,-,-,1140,1.8,2.1,0.11
N.A.,41,914,914,Western Africa,0,2894,-,-,2894,1.0,0.79,0.06
N.A.,41,915,915,Caribbean,0,566,-,-,566,1.7,1.9,0.10
N.A.,41,916,916,Central America,0,2172,-,-,2172,1.4,1.6,0.08
N.A.,41,920,920,South-Eastern Asia,0,9650,-,-,9650,1.7,2.0,0.10
N.A.,41,921,921,South Central Asia,0,16997,-,-,16997,0.96,1.1,0.06
N.A.,41,922,922,Western Asia,0,4414,-,-,4414,1.7,2.0,0.10
N.A.,41,923,923,Eastern Europe,0,4134,-,-,4134,1.6,2.6,0.10
N.A.,41,924,924,Northern Europe,0,1985,-,-,1985,2.5,3.4,0.14
N.A.,41,925,925,Southern Europe,0,2154,-,-,2154,1.9,3.0,0.11
N.A.,41,926,926,Western Europe,0,3190,-,-,3190,2.3,3.2,0.13
N.A.,41,927,927,Australia-New Zealand,0,1568,-,-,1568,6.8,8.6,0.38
N.A.,41,928,928,Melanesia,0,51,-,-,51,0.59,0.55,0.04
N.A.,41,931,931,South America,0,6637,-,-,6637,1.8,2.2,0.10
N.A.,41,954,954,Micronesia,0,0,-,-,0,0.00,0.00,0.00
N.A.,41,957,957,Polynesia,0,0,-,-,0,0.00,0.00,0.00
,,,,Total,,107191,,,107191,1.7,2.0,0.10
