Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,41,905,905,Northern America,0,183973,-,-,183973,27.2,49.3,3.1
N.A.,41,906,906,Eastern Asia,0,699866,-,-,699866,22.2,43.3,2.6
N.A.,41,910,910,Eastern Africa,0,19370,-,-,19370,7.8,4.1,0.89
N.A.,41,911,911,Middle Africa,0,5397,-,-,5397,5.5,2.8,0.62
N.A.,41,912,912,Northern Africa,0,23557,-,-,23557,10.3,9.2,1.2
N.A.,41,913,913,Southern Africa,0,7707,-,-,7707,12.8,11.1,1.5
N.A.,41,914,914,Western Africa,0,14397,-,-,14397,6.5,3.4,0.75
N.A.,41,915,915,Caribbean,0,11993,-,-,11993,18.3,27.3,2.1
N.A.,41,916,916,Central America,0,20810,-,-,20810,10.5,11.3,1.2
N.A.,41,920,920,South-Eastern Asia,0,112869,-,-,112869,14.7,16.6,1.7
N.A.,41,921,921,South Central Asia,0,110506,-,-,110506,5.5,5.4,0.65
N.A.,41,922,922,Western Asia,0,43158,-,-,43158,16.0,15.0,1.8
N.A.,41,923,923,Eastern Europe,0,179517,-,-,179517,29.8,61.5,3.7
N.A.,41,924,924,Northern Europe,0,80924,-,-,80924,32.0,75.5,3.7
N.A.,41,925,925,Southern Europe,0,127684,-,-,127684,31.5,84.2,3.7
N.A.,41,926,926,Western Europe,0,150137,-,-,150137,29.3,76.3,3.4
N.A.,41,927,927,Australia-New Zealand,0,21158,-,-,21158,35.3,68.3,3.8
N.A.,41,928,928,Melanesia,0,865,-,-,865,11.7,7.5,1.3
N.A.,41,931,931,South America,0,112317,-,-,112317,18.8,25.7,2.1
N.A.,41,954,954,Micronesia,0,98,-,-,98,16.4,17.5,1.8
N.A.,41,957,957,Polynesia,0,122,-,-,122,15.6,17.6,1.9
,,,,Total,,1926425,,,1926425,18.4,24.4,2.1
