Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,41,905,905,Northern America,0,42,-,-,42,0.03,0.04,0.00
N.A.,41,906,906,Eastern Asia,0,343,-,-,343,0.07,0.08,0.00
N.A.,41,910,910,Eastern Africa,0,348,-,-,348,0.13,0.12,0.00
N.A.,41,911,911,Middle Africa,0,135,-,-,135,0.13,0.11,0.00
N.A.,41,912,912,Northern Africa,0,312,-,-,312,0.26,0.25,0.01
N.A.,41,913,913,Southern Africa,0,16,-,-,16,0.05,0.05,0.00
N.A.,41,914,914,Western Africa,0,199,-,-,199,0.09,0.08,0.00
N.A.,41,915,915,Caribbean,0,41,-,-,41,0.23,0.24,0.01
N.A.,41,916,916,Central America,0,48,-,-,48,0.05,0.06,0.00
N.A.,41,920,920,South-Eastern Asia,0,132,-,-,132,0.04,0.05,0.00
N.A.,41,921,921,South Central Asia,0,888,-,-,888,0.09,0.10,0.00
N.A.,41,922,922,Western Asia,0,123,-,-,123,0.09,0.10,0.00
N.A.,41,923,923,Eastern Europe,0,32,-,-,32,0.04,0.04,0.00
N.A.,41,924,924,Northern Europe,0,8,-,-,8,0.02,0.03,0.00
N.A.,41,925,925,Southern Europe,0,0,-,-,0,0.00,0.00,0.00
N.A.,41,926,926,Western Europe,0,1,-,-,1,0.00,0.00,0.00
N.A.,41,927,927,Australia-New Zealand,0,3,-,-,3,0.03,0.03,0.00
N.A.,41,928,928,Melanesia,0,0,-,-,0,0.00,0.00,0.00
N.A.,41,931,931,South America,0,144,-,-,144,0.07,0.09,0.00
N.A.,41,954,954,Micronesia,0,0,-,-,0,0.00,0.00,0.00
N.A.,41,957,957,Polynesia,0,0,-,-,0,0.00,0.00,0.00
,,,,Total,,2815,,,2815,0.08,0.09,0.00
