Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,41,905,905,Northern America,0,44178,-,-,44178,6.8,12.4,1.2
N.A.,41,906,906,Eastern Asia,0,211994,-,-,211994,7.1,13.6,1.5
N.A.,41,910,910,Eastern Africa,0,12799,-,-,12799,5.1,2.7,0.85
N.A.,41,911,911,Middle Africa,0,3561,-,-,3561,3.7,1.9,0.62
N.A.,41,912,912,Northern Africa,0,10768,-,-,10768,4.8,4.3,0.85
N.A.,41,913,913,Southern Africa,0,3917,-,-,3917,6.6,5.7,1.3
N.A.,41,914,914,Western Africa,0,9958,-,-,9958,4.4,2.4,0.77
N.A.,41,915,915,Caribbean,0,4909,-,-,4909,8.3,11.5,1.7
N.A.,41,916,916,Central America,0,8858,-,-,8858,4.7,4.9,0.87
N.A.,41,920,920,South-Eastern Asia,0,47945,-,-,47945,6.4,7.1,1.3
N.A.,41,921,921,South Central Asia,0,56432,-,-,56432,2.9,2.8,0.49
N.A.,41,922,922,Western Asia,0,18467,-,-,18467,7.1,6.5,1.4
N.A.,41,923,923,Eastern Europe,0,68957,-,-,68957,12.2,24.6,2.4
N.A.,41,924,924,Northern Europe,0,20635,-,-,20635,9.0,20.3,2.0
N.A.,41,925,925,Southern Europe,0,31922,-,-,31922,9.0,22.6,1.9
N.A.,41,926,926,Western Europe,0,34183,-,-,34183,7.8,18.6,1.7
N.A.,41,927,927,Australia-New Zealand,0,3992,-,-,3992,7.0,13.5,1.5
N.A.,41,928,928,Melanesia,0,424,-,-,424,5.4,3.7,1.1
N.A.,41,931,931,South America,0,40697,-,-,40697,7.4,9.5,1.4
N.A.,41,954,954,Micronesia,0,46,-,-,46,7.8,8.3,1.6
N.A.,41,957,957,Polynesia,0,51,-,-,51,6.7,7.5,1.6
,,,,Total,,634693,,,634693,6.5,8.2,1.3
