Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,41,905,905,Northern America,0,66155,-,-,66155,8.2,17.7,0.83
N.A.,41,906,906,Eastern Asia,0,316406,-,-,316406,9.0,19.6,0.92
N.A.,41,910,910,Eastern Africa,0,13801,-,-,13801,5.6,2.9,0.63
N.A.,41,911,911,Middle Africa,0,3840,-,-,3840,4.1,2.0,0.45
N.A.,41,912,912,Northern Africa,0,13085,-,-,13085,5.7,5.1,0.58
N.A.,41,913,913,Southern Africa,0,4830,-,-,4830,8.4,7.0,0.82
N.A.,41,914,914,Western Africa,0,10531,-,-,10531,4.9,2.5,0.56
N.A.,41,915,915,Caribbean,0,7065,-,-,7065,10.2,16.1,1.1
N.A.,41,916,916,Central America,0,11039,-,-,11039,5.4,6.0,0.61
N.A.,41,920,920,South-Eastern Asia,0,59198,-,-,59198,7.6,8.7,0.83
N.A.,41,921,921,South Central Asia,0,63331,-,-,63331,3.2,3.1,0.36
N.A.,41,922,922,Western Asia,0,23317,-,-,23317,8.5,8.1,0.90
N.A.,41,923,923,Eastern Europe,0,92959,-,-,92959,14.1,31.9,1.7
N.A.,41,924,924,Northern Europe,0,35390,-,-,35390,11.6,33.0,1.2
N.A.,41,925,925,Southern Europe,0,57646,-,-,57646,11.4,38.0,1.2
N.A.,41,926,926,Western Europe,0,61847,-,-,61847,9.9,31.4,1.0
N.A.,41,927,927,Australia-New Zealand,0,7419,-,-,7419,9.5,24.0,0.87
N.A.,41,928,928,Melanesia,0,500,-,-,500,7.1,4.3,0.71
N.A.,41,931,931,South America,0,55543,-,-,55543,8.9,12.7,0.95
N.A.,41,954,954,Micronesia,0,58,-,-,58,9.7,10.4,1.0
N.A.,41,957,957,Polynesia,0,59,-,-,59,7.4,8.5,0.95
,,,,Total,,904019,,,904019,8.1,11.5,0.84
