"ISOcode","cancer_type","distribution_method","n_age_groups","lifetime_risk","lifetime_risk_percent","variance","std_error","std_error_percent","ci_lower","ci_upper","ci_lower_percent","ci_upper_percent","note"
578,"colorectum","Poisson",16,0.128020606619945,12.802061,3.77369372061599e-06,0.00194259973247604,0.19426,0.124213111144292,0.131828102095598,12.421311,13.18281,"Success"
208,"colorectum","Poisson",16,0.124174384161829,12.417438,2.87394755754276e-06,0.00169527211902478,0.169527,0.12085165080854,0.127497117515117,12.085165,12.749712,"Success"
702,"colorectum","Poisson",16,0.121022131942998,12.102213,6.92292134779854e-06,0.00263114449390347,0.263114,0.115865088734948,0.126179175151049,11.586509,12.617918,"Success"
554,"colorectum","Poisson",16,0.107958851985561,10.795885,3.74149160455451e-06,0.00193429356731457,0.193429,0.104167636593624,0.111750067377497,10.416764,11.175007,"Success"
528,"colorectum","Poisson",16,0.103152598778,10.31526,7.78816215859059e-07,0.000882505646361007,0.088251,0.101422887711132,0.104882309844867,10.142289,10.488231,"Success"
392,"colorectum","Poisson",16,0.100635678483215,10.063568,8.09187549200832e-08,0.00028446222054973,0.028446,0.100078132530937,0.101193224435492,10.007813,10.119322,"Success"
191,"colorectum","Poisson",16,0.100161932279286,10.016193,2.97861762966545e-06,0.00172586721090165,0.172587,0.0967792325459187,0.103544632012653,9.677923,10.354463,"Success"
620,"colorectum","Poisson",16,0.0968273299962171,9.682733,1.05305181705736e-06,0.00102618313037068,0.102618,0.0948160110606905,0.0988386489317436,9.481601,9.883865,"Success"
348,"colorectum","Poisson",16,0.094242372601871,9.424237,1.15555165154955e-06,0.0010749658839003,0.107497,0.0921354394694264,0.0963493057343156,9.213544,9.634931,"Success"
372,"colorectum","Poisson",16,0.0913070219247391,9.130702,3.73561241083704e-06,0.0019327732435123,0.193277,0.087518786367455,0.0950952574820232,8.751879,9.509526,"Success"
703,"colorectum","Poisson",16,0.0902844490373677,9.028445,2.75341701175806e-06,0.00165934234314624,0.165934,0.0870321380448011,0.0935367600299344,8.703214,9.353676,"Success"
724,"colorectum","Poisson",16,0.0887372963746522,8.87373,2.42821347174154e-07,0.000492769060690862,0.049277,0.0877714690156981,0.0897031237336063,8.777147,8.970312,"Success"
826,"colorectum","Poisson",16,0.0877984908964766,8.779849,1.92895427661476e-07,0.000439198619831023,0.04392,0.0869376616016078,0.0886593201913454,8.693766,8.865932,"Success"
380,"colorectum","Poisson",16,0.0868846347810918,8.688463,1.58052453307208e-07,0.000397558113119589,0.039756,0.0861054208793774,0.0876638486828062,8.610542,8.766385,"Success"
250,"colorectum","Poisson",16,0.0858889103761522,8.588891,1.71676314486492e-07,0.000414338405758496,0.041434,0.0850768071008655,0.0867010136514388,8.507681,8.670101,"Success"
233,"colorectum","Poisson",16,0.0848534542948188,8.485345,7.8663535646921e-06,0.0028047020456177,0.28047,0.0793562382854081,0.0903506703042295,7.935624,9.035067,"Success"
858,"colorectum","Poisson",16,0.0845416089008895,8.454161,4.13948517588797e-06,0.00203457247988072,0.203457,0.0805538468403233,0.0885293709614557,8.055385,8.852937,"Success"
752,"colorectum","Poisson",16,0.0839559621662353,8.395596,1.13594015898884e-06,0.00106580493477411,0.10658,0.081866984494078,0.0860449398383925,8.186698,8.604494,"Success"
36,"colorectum","Poisson",16,0.0838386609384041,8.383866,5.45532818785094e-07,0.000738601935270342,0.07386,0.0823910011452742,0.0852863207315339,8.2391,8.528632,"Success"
352,"colorectum","Poisson",15,0.0803775580309278,8.037756,3.96211826344576e-05,0.00629453593479755,0.629454,0.0680402675987247,0.092714848463131,6.804027,9.271485,"Success"
616,"colorectum","Poisson",16,0.079292554889404,7.929255,3.079468349954e-07,0.00055492957660896,0.055493,0.0782048929192505,0.0803802168595576,7.820489,8.038022,"Success"
705,"colorectum","Poisson",16,0.0784134466089068,7.841345,4.93049306941618e-06,0.00222047136198965,0.222047,0.0740613227394071,0.0827655704784065,7.406132,8.276557,"Success"
470,"colorectum","Poisson",16,0.0775687939108266,7.756879,2.97244512326984e-05,0.0054520135026152,0.545201,0.0668828474457008,0.0882547403759523,6.688285,8.825474,"Success"
56,"colorectum","Poisson",16,0.0760552415810793,7.605524,8.76426972783e-07,0.000936176785005375,0.093618,0.0742203350824688,0.0778901480796899,7.422034,7.789015,"Success"
442,"colorectum","Poisson",16,0.0756103142602891,7.561031,2.42002518429479e-05,0.00491937514761254,0.491938,0.0659683389709685,0.0852522895496097,6.596834,8.525229,"Success"
124,"colorectum","Poisson",16,0.0739298637797653,7.392986,3.15506805368803e-07,0.000561699924665121,0.05617,0.0728289319274217,0.0750307956321089,7.282893,7.50308,"Success"
276,"colorectum","Poisson",16,0.0739154772126113,7.391548,1.00284189592976e-07,0.000316676790423574,0.031668,0.073294790703381,0.0745361637218415,7.329479,7.453616,"Success"
203,"colorectum","Poisson",16,0.0733825874499229,7.338259,9.28176781568525e-07,0.000963419317622667,0.096342,0.0714942855873824,0.0752708893124633,7.149429,7.527089,"Success"
246,"colorectum","Poisson",16,0.0730333308009356,7.303333,1.57762795010674e-06,0.00125603660380848,0.125604,0.070571499057471,0.0754951625444002,7.05715,7.549516,"Success"
300,"colorectum","Poisson",16,0.0709503684421962,7.095037,7.07636176327619e-07,0.000841211136592722,0.084121,0.0693015946144745,0.0725991422699179,6.930159,7.259914,"Success"
756,"colorectum","Poisson",16,0.070571845110184,7.057185,1.14171861883303e-06,0.00106851233911127,0.106851,0.0684775609255259,0.0726661292948421,6.847756,7.266613,"Success"
688,"colorectum","Poisson",16,0.0695458609883538,6.954586,1.10375008953766e-06,0.00105059511208537,0.10506,0.0674866945686665,0.0716050274080411,6.748669,7.160503,"Success"
112,"colorectum","Poisson",16,0.0686925830808117,6.869258,9.83304882665298e-07,0.000991617306557978,0.099162,0.066749013159958,0.0706361530016653,6.674901,7.063615,"Success"
642,"colorectum","Poisson",16,0.0684834544627557,6.848345,4.19343796431709e-07,0.000647567599893408,0.064757,0.0672142219669647,0.0697526869585468,6.721422,6.975269,"Success"
388,"colorectum","Poisson",16,0.066420588707512,6.642059,1.03559323741862e-05,0.00321806345092607,0.321806,0.0601131843436969,0.0727279930713271,6.011318,7.272799,"Success"
376,"colorectum","Poisson",16,0.0654660370401274,6.546604,1.82893641946188e-06,0.00135238175803354,0.135238,0.0628153687943816,0.0681167052858731,6.281537,6.811671,"Success"
410,"colorectum","Poisson",16,0.0654432930774386,6.544329,2.1300735435014e-07,0.000461527197844439,0.046153,0.0645386997696634,0.0663478863852137,6.45387,6.634789,"Success"
52,"colorectum","Poisson",16,0.0648101205888247,6.481012,3.78651317315466e-05,0.00615346501830851,0.615347,0.05274932915294,0.0768709120247094,5.274933,7.687091,"Success"
196,"colorectum","Poisson",16,0.0635247272236628,6.352473,9.37595429106625e-06,0.00306201800959208,0.306202,0.0575231719248623,0.0695262825224632,5.752317,6.952628,"Success"
100,"colorectum","Poisson",16,0.0633297087092465,6.332971,9.22678690075428e-07,0.00096056165344835,0.096056,0.0614470078684877,0.0652124095500052,6.144701,6.521241,"Success"
96,"colorectum","Poisson",16,0.0628592625314724,6.285926,4.9968792270349e-05,0.00706886074769825,0.706886,0.0490042954659838,0.076714229596961,4.90043,7.671423,"Success"
643,"colorectum","Poisson",16,0.0625029343111344,6.250293,6.51999444605585e-08,0.000255342797941431,0.025534,0.0620024624271692,0.0630034061950996,6.200246,6.300341,"Success"
474,"colorectum","Poisson",16,0.0613121001201414,6.13121,2.32884495484531e-05,0.00482581076591831,0.482581,0.0518535110189415,0.0707706892213413,5.185351,7.077069,"Success"
192,"colorectum","Poisson",16,0.0606783591679089,6.067836,1.03756467262161e-06,0.00101860918541981,0.101861,0.0586818851644861,0.0626748331713318,5.868189,6.267483,"Success"
600,"colorectum","Poisson",16,0.0600321493228464,6.003215,4.22131404382556e-06,0.00205458366678643,0.205458,0.056005165335945,0.0640591333097478,5.600517,6.405913,"Success"
498,"colorectum","Poisson",16,0.0600043523588826,6.000435,2.72240256988511e-06,0.00164997047545861,0.164997,0.0567704102269837,0.0632382944907815,5.677041,6.323829,"Success"
152,"colorectum","Poisson",16,0.056505024697676,5.650502,6.58251544222578e-07,0.00081132702668072,0.081133,0.0549148237253818,0.0580952256699702,5.491482,5.809523,"Success"
428,"colorectum","Poisson",16,0.0564955491803561,5.649555,3.21781061919971e-06,0.00179382569365023,0.179383,0.0529796508208016,0.0600114475399105,5.297965,6.001145,"Success"
638,"colorectum","Poisson",16,0.0554640297774231,5.546403,1.55108208624464e-05,0.00393837794814647,0.393838,0.047744808999056,0.0631832505557901,4.774481,6.318325,"Success"
