"ISOcode","cancer_type","distribution_method","n_age_groups","lifetime_risk","lifetime_risk_percent","variance","std_error","std_error_percent","ci_lower","ci_upper","ci_lower_percent","ci_upper_percent","note"
702,"rectum","Poisson",18,0.0410248205320694,4.102482,2.13159242416685e-06,0.00145999740553429,0.146,0.0381632256172222,0.0438864154469166,3.816323,4.388642,"Success"
191,"rectum","Poisson",18,0.0356304472388251,3.563045,9.76980372213497e-07,0.000988423174664322,0.098842,0.033693137816483,0.0375677566611672,3.369314,3.756776,"Success"
372,"rectum","Poisson",18,0.0333116237390707,3.331162,1.34348691678546e-06,0.00115908883041183,0.115909,0.0310398096314635,0.0355834378466779,3.103981,3.558344,"Success"
703,"rectum","Poisson",18,0.0333107770872255,3.331078,9.26180440301024e-07,0.000962382689111262,0.096238,0.0314245070165674,0.0351970471578835,3.142451,3.519705,"Success"
578,"rectum","Poisson",18,0.0331363718817018,3.313637,8.60195883991172e-07,0.000927467457106271,0.092747,0.0313185356657735,0.0349542080976301,3.131854,3.495421,"Success"
208,"rectum","Poisson",18,0.03298158650872,3.298159,7.0398694553367e-07,0.000839039299159265,0.083904,0.0313370694823679,0.0346261035350722,3.133707,3.46261,"Success"
554,"rectum","Poisson",18,0.0326440750962629,3.264408,1.01164181360279e-06,0.00100580406322643,0.10058,0.0306726991323391,0.0346154510601867,3.06727,3.461545,"Success"
392,"rectum","Poisson",18,0.0326104254218767,3.261043,2.44079132784777e-08,0.000156230321251919,0.015623,0.0323042139922229,0.0329166368515304,3.230421,3.291664,"Success"
348,"rectum","Poisson",18,0.032347947778929,3.234795,3.59980710354934e-07,0.000599983925080442,0.059998,0.0311719792857713,0.0335239162720866,3.117198,3.352392,"Success"
688,"rectum","Poisson",18,0.0323124643824081,3.231246,4.87566918966128e-07,0.000698259922211012,0.069826,0.0309438749348745,0.0336810538299417,3.094387,3.368105,"Success"
620,"rectum","Poisson",18,0.0317583548759855,3.175835,3.25072521237165e-07,0.000570151314334331,0.057015,0.0306408582998902,0.0328758514520808,3.064086,3.287585,"Success"
96,"rectum","Poisson",18,0.0312247763791948,3.122478,2.37920249051858e-05,0.00487770693104719,0.487771,0.0216644707943423,0.0407850819640473,2.166447,4.078508,"Success"
616,"rectum","Poisson",18,0.0308548318297985,3.085483,1.1218602582532e-07,0.00033494182453871,0.033494,0.0301983458537026,0.0315113178058944,3.019835,3.151132,"Success"
528,"rectum","Poisson",18,0.0306120515169826,3.061205,2.10439869464701e-07,0.000458737255370328,0.045874,0.0297129264964567,0.0315111765375084,2.971293,3.151118,"Success"
705,"rectum","Poisson",18,0.0301062225978465,3.010622,1.79319505922866e-06,0.00133910233336689,0.13391,0.0274815820244474,0.0327308631712456,2.748158,3.273086,"Success"
233,"rectum","Poisson",18,0.0286760371680434,2.867604,2.54917457041066e-06,0.00159661346931894,0.159661,0.0255466747681783,0.0318053995679085,2.554667,3.18054,"Success"
826,"rectum","Poisson",18,0.0277121611540301,2.771216,5.68704517149601e-08,0.000238475264367104,0.023848,0.0272447496358705,0.0281795726721896,2.724475,2.817957,"Success"
724,"rectum","Poisson",18,0.0269562290115951,2.695623,6.70371162588523e-08,0.000258915268493097,0.025892,0.0264487550853487,0.0274637029378416,2.644876,2.74637,"Success"
642,"rectum","Poisson",18,0.0265943075449431,2.659431,1.52660320956264e-07,0.000390717699824648,0.039072,0.0258285008532868,0.0273601142365994,2.58285,2.736011,"Success"
250,"rectum","Poisson",18,0.0265475185153899,2.654752,4.91853686124876e-08,0.000221777745981168,0.022178,0.0261128341332668,0.026982202897513,2.611283,2.69822,"Success"
112,"rectum","Poisson",18,0.0262520459742117,2.625205,3.54886297459567e-07,0.000595723339696849,0.059572,0.0250844282284059,0.0274196637200175,2.508443,2.741966,"Success"
203,"rectum","Poisson",18,0.0255038627354639,2.550386,2.92248102237315e-07,0.000540599761595689,0.05406,0.0244442872027364,0.0265634382681915,2.444429,2.656344,"Success"
276,"rectum","Poisson",18,0.0246254130377212,2.462541,3.1173188039329e-08,0.000176559304595733,0.017656,0.0242793568007135,0.0249714692747288,2.427936,2.497147,"Success"
752,"rectum","Poisson",18,0.0246094248701538,2.460942,3.03088168526747e-07,0.000550534439001546,0.055053,0.0235303773697108,0.0256884723705968,2.353038,2.568847,"Success"
246,"rectum","Poisson",18,0.0244128333055566,2.441283,4.92522818319942e-07,0.000701799699572422,0.07018,0.0230373058943946,0.0257883607167185,2.303731,2.578836,"Success"
428,"rectum","Poisson",18,0.0237036234928196,2.370362,1.2982648218148e-06,0.00113941424504646,0.113941,0.0214703715725285,0.0259368754131106,2.147037,2.593688,"Success"
410,"rectum","Poisson",18,0.023541773737947,2.354177,6.95382368541871e-08,0.00026370103688493,0.02637,0.0230249197056525,0.0240586277702414,2.302492,2.405863,"Success"
498,"rectum","Poisson",18,0.0230147815382251,2.301478,9.73221110069808e-07,0.000986519695733343,0.098652,0.0210812029345877,0.0249483601418625,2.10812,2.494836,"Success"
70,"rectum","Poisson",18,0.0230145832290442,2.301458,7.60567080110798e-07,0.000872104970809591,0.08721,0.0213052574862574,0.024723908971831,2.130526,2.472391,"Success"
380,"rectum","Poisson",18,0.0228057447137389,2.280574,3.90967219266791e-08,0.000197728910194435,0.019773,0.0224181960497579,0.02319329337772,2.24182,2.319329,"Success"
470,"rectum","Poisson",18,0.0225863233526974,2.258632,8.40398460089265e-06,0.0028989626766988,0.289896,0.0169043565063678,0.0282682901990271,1.690436,2.826829,"Success"
36,"rectum","Poisson",18,0.0224368932223194,2.243689,1.29305273059312e-07,0.000359590424037281,0.035959,0.0217320959912063,0.0231416904534325,2.17321,2.314169,"Success"
156,"rectum","Poisson",18,0.0223601279672057,2.236013,3.27346308686452e-09,5.7214186063113e-05,0.005721,0.022247988162522,0.0224722677718894,2.224799,2.247227,"Success"
807,"rectum","Poisson",18,0.0222653114330447,2.226531,1.50757327324146e-06,0.00122783275458894,0.122783,0.0198587592340504,0.024671863632039,1.985876,2.467186,"Success"
858,"rectum","Poisson",18,0.0221142718557279,2.211427,1.00845842791201e-06,0.00100422030845428,0.100422,0.0201460000511575,0.0240825436602983,2.0146,2.408254,"Success"
756,"rectum","Poisson",18,0.0216488479519865,2.164885,3.18120265398825e-07,0.000564021511468158,0.056402,0.0205433657895089,0.0227543301144641,2.054337,2.275433,"Success"
100,"rectum","Poisson",18,0.0211476630415312,2.114766,2.87487143970108e-07,0.000536178276294469,0.053618,0.020096753619994,0.0221985724630684,2.009675,2.219857,"Success"
643,"rectum","Poisson",18,0.0207873889066042,2.078739,2.041311900811e-08,0.000142874486904101,0.014287,0.0205073549122722,0.0210674229009363,2.050735,2.106742,"Success"
124,"rectum","Poisson",18,0.0204693150746756,2.046932,7.60022552825736e-08,0.000275685065396321,0.027569,0.0199289723464988,0.0210096578028524,1.992897,2.100966,"Success"
804,"rectum","Poisson",18,0.0204360134929497,2.043601,5.80449201634439e-08,0.000240925133938832,0.024093,0.0199638002304296,0.0209082267554698,1.99638,2.090823,"Success"
56,"rectum","Poisson",18,0.0196441912562606,1.964419,2.09283696284022e-07,0.000457475350466035,0.045748,0.0187475395693472,0.020540842943174,1.874754,2.054084,"Success"
76,"rectum","Poisson",18,0.0195897256002302,1.958973,2.64732220772157e-08,0.000162705937436885,0.016271,0.0192708219628539,0.0199086292376065,1.927082,1.990863,"Success"
352,"rectum","Poisson",16,0.0195501606890619,1.955016,9.03296642472374e-06,0.00300548938190168,0.300549,0.0136594015005346,0.0254409198775892,1.36594,2.544092,"Success"
458,"rectum","Poisson",18,0.0195242140930896,1.952421,2.75035455559946e-07,0.000524438228545504,0.052444,0.0184963151651404,0.0205521130210388,1.849632,2.055211,"Success"
442,"rectum","Poisson",18,0.0193112819673205,1.931128,5.78986483749667e-06,0.00240621379712956,0.240621,0.0145951029249466,0.0240274610096944,1.45951,2.402746,"Success"
440,"rectum","Poisson",18,0.0189545466061533,1.895455,7.02317195057618e-07,0.000838043671330807,0.083804,0.017311981010345,0.0205971122019617,1.731198,2.059711,"Success"
258,"rectum","Poisson",18,0.0186037160233447,1.860372,3.63668597577398e-05,0.00603049415535243,0.603049,0.00678394747885391,0.0304234845678354,0.678395,3.042348,"Success"
540,"rectum","Poisson",18,0.0180726849338287,1.807268,1.51407264520439e-05,0.00389110864048331,0.389111,0.0104461119984815,0.025699257869176,1.044611,2.569926,"Success"
638,"rectum","Poisson",18,0.0180674809738041,1.806748,4.60309268200831e-06,0.00214548192302063,0.214548,0.0138623364046836,0.0222726255429245,1.386234,2.227263,"Success"
52,"rectum","Poisson",18,0.0179740319535616,1.797403,1.02455769920486e-05,0.00320087128639198,0.320087,0.0117003242322333,0.0242477396748898,1.170032,2.424774,"Success"
408,"rectum","Poisson",18,0.0174818230773112,1.748182,1.1854863509859e-07,0.000344308923931097,0.034431,0.0168069775864063,0.0181566685682162,1.680698,1.815667,"Success"
268,"rectum","Poisson",18,0.0172270817586232,1.722708,6.57571336956497e-07,0.000810907724070068,0.081091,0.0156377026194459,0.0188164608978006,1.56377,1.881646,"Success"
196,"rectum","Poisson",18,0.0171783800299754,1.717838,2.46902855160761e-06,0.00157131427525101,0.157131,0.0140986040504834,0.0202581560094674,1.40986,2.025816,"Success"
608,"rectum","Poisson",18,0.0167663188947132,1.676632,1.02834573393809e-07,0.000320678302031504,0.032068,0.0161377894227314,0.0173948483666949,1.613779,1.739485,"Success"
900,"rectum","Poisson",18,0.0161302255871898,1.613023,5.48050947336745e-10,2.34104879773307e-05,0.002341,0.0160843410307543,0.0161761101436254,1.608434,1.617611,"Success"
