"ISOcode","cancer_type","distribution_method","n_age_groups","lifetime_risk","lifetime_risk_percent","variance","std_error","std_error_percent","ci_lower","ci_upper","ci_lower_percent","ci_upper_percent","note"
578,"colon","Poisson",18,0.0935765973965078,9.35766,2.80851195000624e-06,0.00167586155454627,0.167586,0.0902919087495971,0.0968612860434184,9.029191,9.686129,"Success"
208,"colon","Poisson",18,0.0890852138044489,8.908521,2.07937127904689e-06,0.00144200252393915,0.1442,0.0862588888575282,0.0919115387513696,8.625889,9.191154,"Success"
702,"colon","Poisson",18,0.0787388326003042,7.873883,4.65001326494202e-06,0.00215638894101737,0.215639,0.0745123102759102,0.0829653549246983,7.451231,8.296535,"Success"
554,"colon","Poisson",18,0.0739603703491916,7.396037,2.6229652298228e-06,0.00161955710915756,0.161956,0.0707860384152428,0.0771347022831404,7.078604,7.71347,"Success"
528,"colon","Poisson",18,0.0711417400981107,7.114174,5.39480026095265e-07,0.000734493040195253,0.073449,0.069702133739328,0.0725813464568934,6.970213,7.258135,"Success"
392,"colon","Poisson",18,0.0677232407409259,6.772324,5.39679594528468e-08,0.000232310050262245,0.023231,0.0672679130424119,0.0681785684394399,6.726791,6.817857,"Success"
191,"colon","Poisson",18,0.0638153383216502,6.381534,1.92889598496634e-06,0.00138884699840059,0.138885,0.061093198204785,0.0665374784385154,6.10932,6.653748,"Success"
620,"colon","Poisson",18,0.0636296916704695,6.362969,6.90674956441617e-07,0.000831068563020896,0.083107,0.0620007972869485,0.0652585860539904,6.20008,6.525859,"Success"
380,"colon","Poisson",18,0.0620945056225192,6.209451,1.12656885880029e-07,0.000335643986807494,0.033564,0.0614366434083765,0.0627523678366619,6.143664,6.275237,"Success"
348,"colon","Poisson",18,0.0615905214700281,6.159052,7.72917658802095e-07,0.000879157357247322,0.087916,0.0598673730498234,0.0633136698902329,5.986737,6.331367,"Success"
724,"colon","Poisson",18,0.0609080033281923,6.0908,1.68370125339058e-07,0.000410329288912037,0.041033,0.0601037579219248,0.0617122487344599,6.010376,6.171225,"Success"
352,"colon","Poisson",16,0.0603538722037618,6.035387,2.99722002602932e-05,0.00547468722944911,0.547469,0.0496234852340416,0.0710842591734821,4.962349,7.108426,"Success"
858,"colon","Poisson",18,0.0603465270007451,6.034653,3.00567392706508e-06,0.00173368795550557,0.173369,0.0569484986079542,0.063744555393536,5.69485,6.374456,"Success"
300,"colon","Poisson",18,0.0597443867508583,5.974439,5.95145248621524e-07,0.000771456575979183,0.077146,0.0582323318619391,0.0612564416397775,5.823233,6.125644,"Success"
924,"colon","Poisson",18,0.0589547306707784,5.895473,8.08698271041828e-08,0.000284376206993804,0.028438,0.0583973533050705,0.0595121080364862,5.839735,5.951211,"Success"
36,"colon","Poisson",18,0.0588725687762663,5.887257,3.94411648913385e-07,0.000628022013080262,0.062802,0.0576416456306289,0.0601034919219036,5.764165,6.010349,"Success"
925,"colon","Poisson",18,0.0582451712929574,5.824517,4.52310634071812e-08,0.000212675958695808,0.021268,0.0578283264139136,0.0586620161720012,5.782833,5.866202,"Success"
752,"colon","Poisson",18,0.0575676843676936,5.756768,7.89285876832849e-07,0.000888417625237618,0.088842,0.0558263858222278,0.0593089829131593,5.582639,5.930898,"Success"
826,"colon","Poisson",18,0.057417306203026,5.741731,1.28110099270205e-07,0.000357924711734472,0.035792,0.0567157737680265,0.0581188386380256,5.671577,5.811884,"Success"
250,"colon","Poisson",18,0.0568217874280651,5.682179,1.14838250727246e-07,0.000338877928946761,0.033888,0.0561575866873294,0.0574859881688007,5.615759,5.748599,"Success"
372,"colon","Poisson",18,0.0566519735433803,5.665197,2.30118376325978e-06,0.00151696531379586,0.151697,0.0536787215283404,0.0596252255584202,5.367872,5.962523,"Success"
442,"colon","Poisson",18,0.0556064410418723,5.560644,1.81628426800523e-05,0.00426178867144446,0.426179,0.0472533352458412,0.0639595468379034,4.725334,6.395955,"Success"
233,"colon","Poisson",18,0.0553266259663102,5.532663,5.14287367720391e-06,0.00226779048353324,0.226779,0.0508817566185851,0.0597714953140353,5.088176,5.97715,"Success"
703,"colon","Poisson",18,0.0547743194434532,5.477432,1.72996015638372e-06,0.00131527949743913,0.131528,0.0521963716284726,0.0573522672584339,5.219637,5.735227,"Success"
56,"colon","Poisson",18,0.0545126137746475,5.451261,6.3460614463471e-07,0.000796621707358461,0.079662,0.0529512352282249,0.05607399232107,5.295124,5.607399,"Success"
470,"colon","Poisson",18,0.0543240124545426,5.432401,2.10635363409492e-05,0.00458950284246008,0.45895,0.0453285868833209,0.0633194380257644,4.532859,6.331944,"Success"
