"ISOcode","cancer_type","distribution_method","n_age_groups","lifetime_risk","lifetime_risk_percent","variance","std_error","std_error_percent","ci_lower","ci_upper","ci_lower_percent","ci_upper_percent","note"
578,"colorectum","Poisson",18,0.127967226066636,12.796723,3.77059871681067e-06,0.00194180295519671,0.19418,0.124161292274451,0.131773159858822,12.416129,13.177316,"Success"
208,"colorectum","Poisson",18,0.124105848014314,12.410585,2.8708546340909e-06,0.00169435965311114,0.169436,0.120784903094216,0.127426792934412,12.07849,12.742679,"Success"
702,"colorectum","Poisson",18,0.12095916519285,12.095917,6.91590465390314e-06,0.00262981076389598,0.262981,0.115804736095614,0.126113594290087,11.580474,12.611359,"Success"
554,"colorectum","Poisson",18,0.107840955086134,10.784096,3.73336912796898e-06,0.00193219282887837,0.193219,0.104053857141532,0.111628053030735,10.405386,11.162805,"Success"
528,"colorectum","Poisson",18,0.103085957309344,10.308596,7.77842016704119e-07,0.000881953522984131,0.088195,0.101357328404295,0.104814586214393,10.135733,10.481459,"Success"
392,"colorectum","Poisson",18,0.100594911926278,10.059491,8.08532933962948e-08,0.000284347135375574,0.028435,0.100037591540942,0.101152232311615,10.003759,10.115223,"Success"
191,"colorectum","Poisson",18,0.10008585300865,10.008585,2.97410275221103e-06,0.00172455871231194,0.172456,0.0967057179325184,0.103465988084781,9.670572,10.346599,"Success"
620,"colorectum","Poisson",18,0.096755108577783,9.675511,1.05149367114982e-06,0.00102542365447156,0.102542,0.0947452782150188,0.0987649389405473,9.474528,9.876494,"Success"
348,"colorectum","Poisson",18,0.0941746254890455,9.417463,1.15391286637678e-06,0.00107420336360336,0.10742,0.0920691868963829,0.0962800640817081,9.206919,9.628006,"Success"
372,"colorectum","Poisson",18,0.0912557797926802,9.125578,3.73171452097557e-06,0.0019317646132424,0.193176,0.0874695211507251,0.0950420384346354,8.746952,9.504204,"Success"
703,"colorectum","Poisson",18,0.0901999442980576,9.019994,2.74828577624794e-06,0.00165779545669782,0.16578,0.0869506652029298,0.0934492233931853,8.695067,9.344922,"Success"
924,"colorectum","Poisson",18,0.0886953461321856,8.869535,1.1995242060346e-07,0.000346341479761608,0.034634,0.0880165168318528,0.0893741754325183,8.801652,8.937418,"Success"
724,"colorectum","Poisson",18,0.0886735973129373,8.86736,2.42477403205688e-07,0.000492419945986845,0.049242,0.0877084542188031,0.0896387404070715,8.770845,8.963874,"Success"
826,"colorectum","Poisson",18,0.0877344902713982,8.773449,1.92620290596218e-07,0.000438885281817719,0.043889,0.0868742751190355,0.0885947054237609,8.687428,8.859471,"Success"
380,"colorectum","Poisson",18,0.0868236922956772,8.682369,1.5783175480173e-07,0.000397280448552066,0.039728,0.0860450226165152,0.0876023619748392,8.604502,8.760236,"Success"
250,"colorectum","Poisson",18,0.0858218316908301,8.582183,1.71417954844869e-07,0.00041402651466406,0.041403,0.0850103397220886,0.0866333236595717,8.501034,8.663332,"Success"
233,"colorectum","Poisson",18,0.0848136436004796,8.481364,7.85898418568934e-06,0.00280338798343885,0.280339,0.0793190031529395,0.0903082840480198,7.9319,9.030828,"Success"
858,"colorectum","Poisson",18,0.0844353651751477,8.443537,4.12947226747574e-06,0.00203211029904278,0.203211,0.0804524289890239,0.0884183013612716,8.045243,8.84183,"Success"
752,"colorectum","Poisson",18,0.0839203549078119,8.392035,1.13498237169475e-06,0.00106535551422741,0.106536,0.0818322580999262,0.0860084517156977,8.183226,8.600845,"Success"
925,"colorectum","Poisson",18,0.0838851727099938,8.388517,6.46850678788133e-08,0.00025433259303285,0.025433,0.0833866808276494,0.0843836645923382,8.338668,8.438366,"Success"
36,"colorectum","Poisson",18,0.083775304450575,8.37753,5.45300265434603e-07,0.000738444490421997,0.073844,0.0823279532493479,0.0852226556518021,8.232795,8.522266,"Success"
352,"colorectum","Poisson",16,0.0803586090951052,8.035861,3.96025176503552e-05,0.00629305312629372,0.629305,0.0680242249675695,0.0926929932226409,6.802422,9.269299,"Success"
926,"colorectum","Poisson",18,0.0793611947225525,7.936119,4.92851110265972e-08,0.000222002502298053,0.0222,0.0789260698180483,0.0797963196270567,7.892607,7.979632,"Success"
616,"colorectum","Poisson",18,0.0792445663226214,7.924457,3.07574609945355e-07,0.000554594094762426,0.055459,0.078157561896887,0.0803315707483557,7.815756,8.033157,"Success"
705,"colorectum","Poisson",18,0.0783723214286077,7.837232,4.92532897741906e-06,0.00221930822046399,0.221931,0.0740224773164983,0.0827221655407172,7.402248,8.272217,"Success"
470,"colorectum","Poisson",18,0.0774637425165906,7.746374,2.96440898940003e-05,0.00544463863759573,0.544464,0.066792250786903,0.0881352342462783,6.679225,8.813523,"Success"
56,"colorectum","Poisson",18,0.0759990785703578,7.599908,8.75186384226203e-07,0.000935513967948209,0.093551,0.0741654711931793,0.0778326859475363,7.416547,7.783269,"Success"
442,"colorectum","Poisson",18,0.0755132864567202,7.551329,2.41382404425537e-05,0.00491306833277879,0.491307,0.0658836725244738,0.0851429003889666,6.588367,8.51429,"Success"
124,"colorectum","Poisson",18,0.0738719875065679,7.387199,3.15026243079568e-07,0.00056127198672263,0.056127,0.0727718944125915,0.0749720806005442,7.277189,7.497208,"Success"
276,"colorectum","Poisson",18,0.0738703196934781,7.387032,1.00162980332412e-07,0.000316485355636579,0.031649,0.0732500083964304,0.0744906309905257,7.325001,7.449063,"Success"
981,"colorectum","Poisson",18,0.0738138243531752,7.381382,6.99938364928133e-09,8.36623191722614e-05,0.008366,0.0736498462075976,0.0739778024987529,7.364985,7.39778,"Success"
203,"colorectum","Poisson",18,0.0733455044723217,7.33455,9.27276594598204e-07,0.000962952020922229,0.096295,0.0714581185113142,0.0752328904333293,7.145812,7.523289,"Success"
246,"colorectum","Poisson",18,0.0729891417402253,7.298914,1.5757517722262e-06,0.0012552895172932,0.125529,0.0705287742863306,0.07544950919412,7.052877,7.544951,"Success"
300,"colorectum","Poisson",18,0.0708874161153662,7.088742,7.06385359422598e-07,0.000840467345839562,0.084047,0.0692401001175206,0.0725347321132117,6.92401,7.253473,"Success"
756,"colorectum","Poisson",18,0.0705277550375549,7.052776,1.14035710918311e-06,0.00106787504380574,0.106788,0.0684347199516956,0.0726207901234141,6.843472,7.262079,"Success"
688,"colorectum","Poisson",18,0.069491141573598,6.949114,1.10201582486094e-06,0.00104976941509121,0.104977,0.0674335935200192,0.0715486896271768,6.743359,7.154869,"Success"
112,"colorectum","Poisson",18,0.0686590567124074,6.865906,9.82346160974449e-07,0.00099113377551895,0.099113,0.0667164345123902,0.0706016789124245,6.671643,7.060168,"Success"
642,"colorectum","Poisson",18,0.0684069069863303,6.840691,4.1841198573323e-07,0.000646847729943632,0.064685,0.0671390854356408,0.0696747285370199,6.713909,6.967473,"Success"
388,"colorectum","Poisson",18,0.0662107499012565,6.621075,1.02906228766145e-05,0.00320790007272896,0.32079,0.0599232657587077,0.0724982340438052,5.992327,7.249823,"Success"
376,"colorectum","Poisson",18,0.0654306342571938,6.543063,1.82691651184051e-06,0.00135163475533907,0.135163,0.0627814301367292,0.0680798383776584,6.278143,6.807984,"Success"
410,"colorectum","Poisson",18,0.0654109096463553,6.541091,2.12798323421235e-07,0.00046130068656055,0.04613,0.0645067603006967,0.066315058992014,6.450676,6.631506,"Success"
923,"colorectum","Poisson",18,0.065292572765388,6.529257,3.16277384685738e-08,0.000177841891770679,0.017784,0.0649440026575175,0.0656411428732585,6.4944,6.564114,"Success"
52,"colorectum","Poisson",18,0.064700724710281,6.470072,3.77375042769881e-05,0.00614308589204059,0.614309,0.0526602763618814,0.0767411730586805,5.266028,7.674117,"Success"
196,"colorectum","Poisson",18,0.0634700669876215,6.347007,9.35983661119998e-06,0.00305938500538915,0.305939,0.0574736723770588,0.0694664615981843,5.747367,6.946646,"Success"
100,"colorectum","Poisson",18,0.063253309576212,6.325331,9.20461000888516e-07,0.00095940658789093,0.095941,0.0613728726639458,0.0651337464884782,6.137287,6.513375,"Success"
96,"colorectum","Poisson",18,0.062759873284538,6.275987,4.98109370275701e-05,0.0070576863792301,0.705769,0.048926807981247,0.076592938587829,4.892681,7.659294,"Success"
643,"colorectum","Poisson",18,0.0624481799574619,6.244818,6.50859624974761e-08,0.000255119506305332,0.025512,0.0619481457251035,0.0629482141898204,6.194815,6.294821,"Success"
474,"colorectum","Poisson",16,0.0612251107425973,6.122511,2.32224910059713e-05,0.00481897198642733,0.481897,0.0517799256491998,0.0706702958359949,5.177993,7.06703,"Success"
192,"colorectum","Poisson",18,0.0606152381736678,6.061524,1.03540884875908e-06,0.00101755041583161,0.101755,0.0586208393586379,0.0626096369886978,5.862084,6.260964,"Success"
498,"colorectum","Poisson",18,0.0598838654377512,5.988387,2.71148695497131e-06,0.00164665933179007,0.164666,0.0566564131474426,0.0631113177280597,5.665641,6.311132,"Success"
600,"colorectum","Poisson",18,0.0598724753578687,5.987248,4.19874850974769e-06,0.00204908479808613,0.204908,0.0558562691536198,0.0638886815621175,5.585627,6.388868,"Success"
906,"colorectum","Poisson",18,0.0565307196261881,5.653072,6.821824968578e-09,8.25943398095656e-05,0.008259,0.0563688347201614,0.0566926045322149,5.636883,5.66926,"Success"
