"ISOcode","cancer_type","distribution_method","n_age_groups","lifetime_risk","lifetime_risk_percent","variance","std_error","std_error_percent","ci_lower","ci_upper","ci_lower_percent","ci_upper_percent","note"
598,"lip-oral-cavity","Poisson",18,0.0233063730299071,2.330637,9.1019718745417e-07,0.000954042550127703,0.095404,0.0214364496316568,0.0251762964281574,2.143645,2.51763,"Success"
50,"lip-oral-cavity","Poisson",18,0.0206215076677814,2.062151,7.03254867676561e-08,0.000265189529898252,0.026519,0.0201017361891808,0.0211412791463819,2.010174,2.114128,"Success"
144,"lip-oral-cavity","Poisson",18,0.0160352981153245,1.60353,1.74437171671311e-07,0.000417656762990031,0.041766,0.0152166908598641,0.016853905370785,1.521669,1.685391,"Success"
356,"lip-oral-cavity","Poisson",18,0.0156308082342838,1.563081,3.54440935600043e-09,5.95349423112211e-05,0.005953,0.0155141197473538,0.0157474967212138,1.551412,1.57475,"Success"
586,"lip-oral-cavity","Poisson",18,0.0131451610404386,1.314516,2.40367231892852e-08,0.00015503781212751,0.015504,0.0128412869286687,0.0134490351522086,1.284129,1.344904,"Success"
36,"lip-oral-cavity","Poisson",18,0.0120321015996943,1.20321,6.6742784169332e-08,0.000258346248607043,0.025835,0.0115257429524245,0.0125384602469641,1.152574,1.253846,"Success"
516,"lip-oral-cavity","Poisson",18,0.0112984986423648,1.12985,2.69023448078177e-06,0.00164019342785592,0.164019,0.00808371952376721,0.0145132777609624,0.808372,1.451328,"Success"
620,"lip-oral-cavity","Poisson",18,0.0106085189536484,1.060852,9.82323483369639e-08,0.000313420401915644,0.031342,0.00999421496589372,0.011222822941403,0.999421,1.122282,"Success"
578,"lip-oral-cavity","Poisson",18,0.0104607707214944,1.046077,2.76872145461038e-07,0.000526186417024459,0.052619,0.00942944534412646,0.0114920960988623,0.942945,1.14921,"Success"
250,"lip-oral-cavity","Poisson",18,0.0103805123408398,1.038051,1.70612095329006e-08,0.000130618565039203,0.013062,0.010124499953363,0.0106365247283166,1.01245,1.063652,"Success"
616,"lip-oral-cavity","Poisson",18,0.0103464454301345,1.034645,3.28066541439254e-08,0.000181126072512837,0.018113,0.00999143832800933,0.0107014525322596,0.999144,1.070145,"Success"
703,"lip-oral-cavity","Poisson",18,0.00988020355468067,0.98802,1.99059923504165e-07,0.000446161320044852,0.044616,0.00900572736739276,0.0107546797419686,0.900573,1.075468,"Success"
192,"lip-oral-cavity","Poisson",18,0.00970884496625295,0.970884,1.26478476409063e-07,0.000355638125640465,0.035564,0.00901179423999763,0.0104058956925083,0.901179,1.04059,"Success"
124,"lip-oral-cavity","Poisson",18,0.00956559225667155,0.956559,3.51542978175899e-08,0.00018749479410797,0.018749,0.00919810246021993,0.00993308205312317,0.91981,0.993308,"Success"
348,"lip-oral-cavity","Poisson",18,0.00947385871769342,0.947386,8.81614033558866e-08,0.000296919860157394,0.029692,0.00889189579178493,0.0100558216436019,0.88919,1.005582,"Success"
826,"lip-oral-cavity","Poisson",18,0.0094326746758487,0.943267,1.66942555826547e-08,0.000129206252103583,0.012921,0.00917943042172568,0.00968591892997172,0.917943,0.968592,"Success"
688,"lip-oral-cavity","Poisson",18,0.00931411239386546,0.931411,1.50623330495283e-07,0.000388102216555488,0.03881,0.0085534320494167,0.0100747927383142,0.855343,1.007479,"Success"
56,"lip-oral-cavity","Poisson",18,0.00915432942999036,0.915433,8.69980732354081e-08,0.000294954357885094,0.029495,0.00857621888853557,0.00973243997144514,0.857622,0.973244,"Success"
638,"lip-oral-cavity","Poisson",18,0.00899602669133182,0.899603,1.88408031380681e-06,0.00137261805095475,0.137262,0.00630569531146052,0.0116863580712031,0.63057,1.168636,"Success"
528,"lip-oral-cavity","Poisson",18,0.00897265503510659,0.897266,6.25500895131001e-08,0.000250100158962565,0.02501,0.00848245872353996,0.00946285134667321,0.848246,0.946285,"Success"
840,"lip-oral-cavity","Poisson",18,0.00893809670586858,0.89381,3.86320299103681e-09,6.21546699053e-05,0.006215,0.00881627355285419,0.00905991985888297,0.881627,0.905992,"Success"
642,"lip-oral-cavity","Poisson",18,0.00882651209915137,0.882651,4.42240363765287e-08,0.000210295117338774,0.02103,0.00841433366916737,0.00923869052913537,0.841433,0.923869,"Success"
246,"lip-oral-cavity","Poisson",18,0.00881782724760302,0.881783,1.72493792662348e-07,0.000415323720322291,0.041532,0.00800379275577133,0.00963186173943471,0.800379,0.963186,"Success"
724,"lip-oral-cavity","Poisson",18,0.00875285211105281,0.875285,2.23388604472365e-08,0.00014946190299617,0.014946,0.00845990678118031,0.0090457974409253,0.845991,0.90458,"Success"
752,"lip-oral-cavity","Poisson",18,0.00862056723253779,0.862057,1.07652882532067e-07,0.000328104987057599,0.03281,0.0079774814579049,0.00926365300717068,0.797748,0.926365,"Success"
764,"lip-oral-cavity","Poisson",18,0.00858764124164533,0.858764,2.69369905643088e-08,0.000164124923653627,0.016412,0.00826595639128422,0.00890932609200643,0.826596,0.890933,"Success"
112,"lip-oral-cavity","Poisson",18,0.00853556826268905,0.853557,9.86230360654647e-08,0.000314043048108798,0.031404,0.0079200438883958,0.00915109263698229,0.792004,0.915109,"Success"
116,"lip-oral-cavity","Poisson",18,0.00851246484398464,0.851246,3.24960882360229e-07,0.000570053403077492,0.057005,0.00739516017395275,0.00962976951401652,0.739516,0.962977,"Success"
76,"lip-oral-cavity","Poisson",18,0.00850823908369947,0.850824,1.12768846068709e-08,0.00010619267680434,0.010619,0.00830010143716296,0.00871637673023597,0.83001,0.871638,"Success"
554,"lip-oral-cavity","Poisson",18,0.00835595773068787,0.835596,2.45831677855158e-07,0.000495814156569937,0.049581,0.00738416198381079,0.00932775347756495,0.738416,0.932775,"Success"
498,"lip-oral-cavity","Poisson",18,0.00833361602583069,0.833362,3.33605628854053e-07,0.000577586035889072,0.057759,0.00720154739548811,0.00946568465617327,0.720155,0.946568,"Success"
