"ISOcode","AgeStart","AgeEnd","Ri","Di","Ni","Mi"
4,0,4,0,0,6262390.5,82156
4,5,9,0,0,5487694,7001
4,10,14,12,8,4978537,4867
4,15,19,8,6,4461340.5,10429
4,20,24,13,9,3760628,16270
4,25,29,26,21,2978129.5,14010
4,30,34,50,26,2257658,11014
4,35,39,76,44,1781754.5,9620
4,40,44,102,64,1493048.5,10044
4,45,49,119,82,1207970,11277
4,50,54,129,96,939972,12675
4,55,59,130,101,713488.5,14182
4,60,64,116,92,533714,16234
4,65,69,92,72,380974.5,17845
4,70,74,68,50,275289.5,19037
4,75,79,42,29,156394.5,17410
4,80,84,19,12,72297.5,12594
4,85,999,9,5,28217.5,8572
8,0,4,0,0,150467,291
8,5,9,0,0,162111.5,30
8,10,14,0,0,168847.5,40
8,15,19,0,0,202065.5,76
8,20,24,0,0,231327.5,97
8,25,29,0,0,237097.5,125
8,30,34,1,0,196992,161
8,35,39,0,0,169912,227
8,40,44,2,0,161557,308
8,45,49,3,1,174928.5,493
8,50,54,5,2,190549.5,794
8,55,59,11,5,204554,1351
8,60,64,11,6,182317,2074
8,65,69,11,7,144393.5,2798
8,70,74,11,8,111047,3828
8,75,79,12,6,90489,5601
8,80,84,11,5,58949,6224
8,85,999,19,4,36278.5,7868
12,0,4,0,0,4922012,21229
12,5,9,0,0,4468744,1587
12,10,14,3,0,3622676.5,1230
12,15,19,2,0,2929658.5,1277
12,20,24,0,0,3052729,1557
12,25,29,4,2,3493493.5,1764
12,30,34,6,2,3672284.5,2350
12,35,39,19,6,3499502,3667
12,40,44,24,8,2949387.5,5238
12,45,49,20,6,2496963,6396
12,50,54,37,12,2103416.5,8393
12,55,59,34,15,1668415.5,10374
12,60,64,51,19,1325671,14535
12,65,69,42,18,1014080,19078
12,70,74,43,18,629281,22169
12,75,79,23,16,427314,22978
12,80,84,22,15,271314.5,26060
12,85,999,13,9,158425.5,30959
24,0,4,0,0,5712179.5,90485
24,5,9,0,0,4904969,8317
24,10,14,51,16,4079659,5128
24,15,19,0,0,3297663,6309
24,20,24,22,8,2759096.5,7488
24,25,29,18,8,2416565,7929
24,30,34,3,1,2081006,8636
24,35,39,10,4,1695596.5,9515
24,40,44,23,10,1353768,10191
24,45,49,41,22,1082978.5,10935
24,50,54,93,47,896188.5,12612
24,55,59,133,76,714541.5,14340
24,60,64,54,34,525949.5,16293
24,65,69,69,44,354510.5,16814
24,70,74,30,23,230842.5,16150
24,75,79,8,7,143063,14677
24,80,84,21,14,73415,11703
24,85,999,1,2,31596.5,8757
31,0,4,0,0,797745,2412
31,5,9,0,0,913553.5,202
31,10,14,4,0,786890.5,246
31,15,19,1,0,653138.5,366
31,20,24,1,0,750195.5,640
31,25,29,5,1,915381.5,1001
31,30,34,8,0,934202.5,1456
31,35,39,12,3,806597,1940
31,40,44,9,4,665818,2642
31,45,49,7,3,625955.5,3703
31,50,54,8,4,647836.5,6402
31,55,59,11,4,629464.5,10217
31,60,64,27,8,467344,13457
31,65,69,35,15,278263,11896
31,70,74,26,14,141579.5,10432
31,75,79,18,10,95083.5,7453
31,80,84,18,13,83876.5,10858
31,85,999,19,13,39828,9608
32,0,4,0,0,3539430,6861
32,5,9,0,0,3650252.5,559
32,10,14,0,1,3522191,799
32,15,19,2,0,3477146.5,2189
32,20,24,4,1,3511087,3455
32,25,29,9,2,3484733.5,3632
32,30,34,13,4,3281324.5,3996
32,35,39,24,7,3190806.5,5078
32,40,44,52,12,3036421,6891
32,45,49,82,25,2600145.5,9388
32,50,54,106,40,2268193,12500
32,55,59,138,58,2090510.5,19181
32,60,64,168,78,1902530.5,28987
32,65,69,174,87,1640462.5,40636
32,70,74,154,82,1331680,51100
32,75,79,123,64,957006.5,56035
32,80,84,91,57,633819,54422
32,85,999,96,66,627780,99717
36,0,4,0,0,1568711,1018
36,5,9,0,0,1614330,106
36,10,14,0,0,1553285.5,40
36,15,19,2,0,1493456.5,117
36,20,24,6,0,1744187.5,265
36,25,29,18,0,1910822,275
36,30,34,22,2,1898185,282
36,35,39,45,3,1783918.5,528
36,40,44,83,3,1603335,876
36,45,49,140,9,1676567,1695
36,50,54,219,25,1539995.5,2555
36,55,59,309,38,1541599,4315
36,60,64,381,57,1388888,7353
36,65,69,387,57,1225297,10426
36,70,74,377,56,1057444,16027
36,75,79,308,57,734887.5,20575
36,80,84,211,51,506147,26326
36,85,999,222,71,516114,73303
40,0,4,0,0,435518,303
40,5,9,0,0,422776.5,30
40,10,14,0,0,422640.5,29
40,15,19,0,0,438432.5,118
40,20,24,0,0,524263.5,189
40,25,29,1,0,602563,218
40,30,34,4,0,605419.5,311
40,35,39,9,1,605157.5,439
40,40,44,19,4,565547,582
40,45,49,32,11,632516.5,916
40,50,54,57,23,713500.5,1863
40,55,59,83,34,676179,3237
40,60,64,91,35,554443,4858
40,65,69,83,31,448211.5,6015
40,70,74,77,31,389531,8499
40,75,79,65,28,385056.5,9524
40,80,84,63,28,232150,17149
40,85,999,48,23,226033.5,35411
44,0,4,0,0,24025.5,55
44,5,9,0,0,26984,5
44,10,14,0,0,32932,7
44,15,19,0,0,33501.5,20
44,20,24,0,0,34388,38
44,25,29,0,0,33973.5,58
44,30,34,0,0,29781,77
44,35,39,0,0,29494.5,105
44,40,44,0,0,29290.5,140
44,45,49,0,0,29973,191
44,50,54,2,1,26566.5,256
44,55,59,1,1,23928,339
44,60,64,2,2,17484.5,365
44,65,69,1,1,11739,401
44,70,74,0,0,8322,365
44,75,79,0,0,5922,370
44,80,84,0,0,3584.5,356
44,85,999,0,0,2667,516
48,0,4,0,0,105256.5,120
48,5,9,0,0,102991.5,10
48,10,14,0,0,91610,9
48,15,19,0,0,79427.5,15
48,20,24,0,0,104950.5,19
48,25,29,0,0,170123,35
48,30,34,1,0,210320,67
48,35,39,1,0,179912,99
48,40,44,1,0,134453,127
48,45,49,4,1,100554,171
48,50,54,2,0,76982,233
48,55,59,4,2,56664,307
48,60,64,8,3,36893,376
48,65,69,5,2,20406,378
