"ISOcode","AgeStart","AgeEnd","Ri","Di","Ni","Mi"
4,0,4,0,0,6262390.5,82333
4,5,9,0,0,5487694,6667
4,10,14,12,8,4978537,4821
4,15,19,8,6,4461340.5,9606
4,20,24,13,9,3760628,14310
4,25,29,26,21,2978129.5,11973
4,30,34,50,26,2257658,9325
4,35,39,76,44,1781754.5,8222
4,40,44,102,64,1493048.5,8393
4,45,49,119,82,1207970,8975
4,50,54,129,96,939972,9685
4,55,59,130,101,713488.5,10690
4,60,64,116,92,533714,12005
4,65,69,92,72,380974.5,13272
4,70,74,68,50,275289.5,15301
4,75,79,42,29,156394.5,13942
4,80,84,19,12,72297.5,10317
4,85,999,9,5,28217.5,6724
8,0,4,0,0,150467,292
8,5,9,0,0,162111.5,15
8,10,14,0,0,168847.5,20
8,15,19,0,0,202065.5,40
8,20,24,0,0,231327.5,65
8,25,29,0,0,237097.5,82
8,30,34,1,0,196992,92
8,35,39,0,0,169912,106
8,40,44,2,0,161557,138
8,45,49,3,1,174928.5,258
8,50,54,5,2,190549.5,519
8,55,59,11,5,204554,1019
8,60,64,11,6,182317,1652
8,65,69,11,7,144393.5,2236
8,70,74,11,8,111047,2954
8,75,79,12,6,90489,4189
8,80,84,11,5,58949,4553
8,85,999,19,4,36278.5,6182
12,0,4,0,0,4922012,23228
12,5,9,0,0,4468744,1650
12,10,14,3,0,3622676.5,1212
12,15,19,2,0,2929658.5,1482
12,20,24,0,0,3052729,1988
12,25,29,4,2,3493493.5,2341
12,30,34,6,2,3672284.5,2990
12,35,39,19,6,3499502,4300
12,40,44,24,8,2949387.5,5246
12,45,49,20,6,2496963,6110
12,50,54,37,12,2103416.5,7532
12,55,59,34,15,1668415.5,8837
12,60,64,51,19,1325671,12268
12,65,69,42,18,1014080,15808
12,70,74,43,18,629281,18250
12,75,79,23,16,427314,21781
12,80,84,22,15,271314.5,24301
12,85,999,13,9,158425.5,28302
24,0,4,0,0,5712179.5,93413
24,5,9,0,0,4904969,8577
24,10,14,51,16,4079659,5123
24,15,19,0,0,3297663,6141
24,20,24,22,8,2759096.5,7401
24,25,29,18,8,2416565,7869
24,30,34,3,1,2081006,8308
24,35,39,10,4,1695596.5,8645
24,40,44,23,10,1353768,8860
24,45,49,41,22,1082978.5,9234
24,50,54,93,47,896188.5,10485
24,55,59,133,76,714541.5,11465
24,60,64,54,34,525949.5,12496
24,65,69,69,44,354510.5,12640
24,70,74,30,23,230842.5,12897
24,75,79,8,7,143063,12369
24,80,84,21,14,73415,9703
24,85,999,1,2,31596.5,6908
31,0,4,0,0,797745,3032
31,5,9,0,0,913553.5,218
31,10,14,4,0,786890.5,253
31,15,19,1,0,653138.5,413
31,20,24,1,0,750195.5,753
31,25,29,5,1,915381.5,1008
31,30,34,8,0,934202.5,1281
31,35,39,12,3,806597,1489
31,40,44,9,4,665818,1731
31,45,49,7,3,625955.5,2335
31,50,54,8,4,647836.5,3710
31,55,59,11,4,629464.5,5785
31,60,64,27,8,467344,6832
31,65,69,35,15,278263,6312
31,70,74,26,14,141579.5,5823
31,75,79,18,10,95083.5,6978
31,80,84,18,13,83876.5,9661
31,85,999,19,13,39828,8255
32,0,4,0,0,3539430,7623
32,5,9,0,0,3650252.5,472
32,10,14,0,1,3522191,557
32,15,19,2,0,3477146.5,1288
32,20,24,4,1,3511087,2049
32,25,29,9,2,3484733.5,2531
32,30,34,13,4,3281324.5,2891
32,35,39,24,7,3190806.5,3917
32,40,44,52,12,3036421,5858
32,45,49,82,25,2600145.5,8181
32,50,54,106,40,2268193,11662
32,55,59,138,58,2090510.5,16352
32,60,64,168,78,1902530.5,23049
32,65,69,174,87,1640462.5,31698
32,70,74,154,82,1331680,42502
32,75,79,123,64,957006.5,46391
32,80,84,91,57,633819,46143
32,85,999,96,66,627780,86874
36,0,4,0,0,1568711,1087
36,5,9,0,0,1614330,116
36,10,14,0,0,1553285.5,142
36,15,19,2,0,1493456.5,476
36,20,24,6,0,1744187.5,888
36,25,29,18,0,1910822,1024
36,30,34,22,2,1898185,1142
36,35,39,45,3,1783918.5,1501
36,40,44,83,3,1603335,2021
36,45,49,140,9,1676567,3210
36,50,54,219,25,1539995.5,4018
36,55,59,309,38,1541599,6262
36,60,64,381,57,1388888,8625
36,65,69,387,57,1225297,11280
36,70,74,377,56,1057444,15713
36,75,79,308,57,734887.5,18906
36,80,84,211,51,506147,23827
36,85,999,222,71,516114,66736
40,0,4,0,0,435518,318
40,5,9,0,0,422776.5,31
40,10,14,0,0,422640.5,41
40,15,19,0,0,438432.5,116
40,20,24,0,0,524263.5,184
40,25,29,1,0,602563,239
40,30,34,4,0,605419.5,320
40,35,39,9,1,605157.5,396
40,40,44,19,4,565547,566
40,45,49,32,11,632516.5,1091
40,50,54,57,23,713500.5,1866
40,55,59,83,34,676179,3017
40,60,64,91,35,554443,4092
40,65,69,83,31,448211.5,5517
40,70,74,77,31,389531,7462
40,75,79,65,28,385056.5,11433
40,80,84,63,28,232150,12064
40,85,999,48,23,226033.5,34756
