"ISOcode","AgeStart","AgeEnd","Ri"
4,0,4,0
4,5,9,0
4,10,14,12
4,15,19,8
4,20,24,13
4,25,29,26
4,30,34,50
4,35,39,76
4,40,44,102
4,45,49,119
4,50,54,129
4,55,59,130
4,60,64,116
4,65,69,92
4,70,74,68
4,75,79,42
4,80,84,19
4,85,999,9
8,0,4,0
8,5,9,0
8,10,14,0
8,15,19,0
8,20,24,0
8,25,29,0
8,30,34,1
8,35,39,0
8,40,44,2
8,45,49,3
8,50,54,5
8,55,59,11
8,60,64,11
8,65,69,11
8,70,74,11
8,75,79,12
8,80,84,11
8,85,999,19
12,0,4,0
12,5,9,0
12,10,14,3
12,15,19,2
12,20,24,0
12,25,29,4
12,30,34,6
12,35,39,19
12,40,44,24
12,45,49,20
12,50,54,37
12,55,59,34
12,60,64,51
12,65,69,42
12,70,74,43
12,75,79,23
12,80,84,22
12,85,999,13
24,0,4,0
24,5,9,0
24,10,14,51
24,15,19,0
24,20,24,22
24,25,29,18
24,30,34,3
24,35,39,10
24,40,44,23
24,45,49,41
24,50,54,93
24,55,59,133
24,60,64,54
24,65,69,69
24,70,74,30
24,75,79,8
24,80,84,21
24,85,999,1
31,0,4,0
31,5,9,0
31,10,14,4
31,15,19,1
31,20,24,1
31,25,29,5
31,30,34,8
31,35,39,12
31,40,44,9
31,45,49,7
31,50,54,8
31,55,59,11
31,60,64,27
31,65,69,35
31,70,74,26
31,75,79,18
31,80,84,18
31,85,999,19
32,0,4,0
32,5,9,0
32,10,14,0
32,15,19,2
32,20,24,4
32,25,29,9
32,30,34,13
32,35,39,24
32,40,44,52
32,45,49,82
32,50,54,106
32,55,59,138
32,60,64,168
32,65,69,174
32,70,74,154
32,75,79,123
32,80,84,91
32,85,999,96
36,0,4,0
36,5,9,0
36,10,14,0
36,15,19,2
36,20,24,6
36,25,29,18
36,30,34,22
36,35,39,45
36,40,44,83
36,45,49,140
36,50,54,219
36,55,59,309
36,60,64,381
36,65,69,387
36,70,74,377
36,75,79,308
36,80,84,211
36,85,999,222
40,0,4,0
40,5,9,0
40,10,14,0
40,15,19,0
40,20,24,0
40,25,29,1
40,30,34,4
40,35,39,9
40,40,44,19
40,45,49,32
40,50,54,57
40,55,59,83
40,60,64,91
40,65,69,83
40,70,74,77
40,75,79,65
40,80,84,63
40,85,999,48
44,0,4,0
44,5,9,0
44,10,14,0
44,15,19,0
44,20,24,0
44,25,29,0
44,30,34,0
44,35,39,0
44,40,44,0
44,45,49,0
44,50,54,2
44,55,59,1
44,60,64,2
44,65,69,1
44,70,74,0
44,75,79,0
44,80,84,0
44,85,999,0
48,0,4,0
48,5,9,0
48,10,14,0
48,15,19,0
48,20,24,0
48,25,29,0
48,30,34,1
48,35,39,1
48,40,44,1
48,45,49,4
48,50,54,2
48,55,59,4
48,60,64,8
48,65,69,5
48,70,74,1
48,75,79,0
48,80,84,0
48,85,999,0
50,0,4,0
50,5,9,0
50,10,14,6
50,15,19,7
50,20,24,14
50,25,29,38
50,30,34,327
50,35,39,776
50,40,44,1295
50,45,49,1767
50,50,54,2210
50,55,59,2445
50,60,64,2128
50,65,69,1533
50,70,74,1259
50,75,79,1073
50,80,84,695
50,85,999,510
51,0,4,0
51,5,9,0
51,10,14,0
51,15,19,0
51,20,24,0
51,25,29,0
51,30,34,0
51,35,39,1
51,40,44,1
51,45,49,5
51,50,54,9
51,55,59,7
51,60,64,15
51,65,69,13
51,70,74,10
51,75,79,2
51,80,84,3
51,85,999,5
52,0,4,0
52,5,9,0
52,10,14,0
52,15,19,0
52,20,24,0
52,25,29,0
52,30,34,0
52,35,39,0
52,40,44,0
52,45,49,0
52,50,54,0
52,55,59,4
52,60,64,1
52,65,69,0
52,70,74,0
52,75,79,3
52,80,84,0
52,85,999,4
56,0,4,0
56,5,9,0
56,10,14,0
56,15,19,0
56,20,24,1
56,25,29,3
56,30,34,5
56,35,39,7
56,40,44,20
56,45,49,43
56,50,54,81
56,55,59,136
56,60,64,179
56,65,69,188
56,70,74,166
56,75,79,124
56,80,84,77
56,85,999,70
64,0,4,0
64,5,9,0
64,10,14,0
64,15,19,0
64,20,24,0
64,25,29,0
64,30,34,0
64,35,39,1
64,40,44,1
64,45,49,1
64,50,54,3
64,55,59,3
64,60,64,3
64,65,69,3
64,70,74,3
64,75,79,2
64,80,84,1
64,85,999,1
68,0,4,0
68,5,9,0
68,10,14,0
68,15,19,0
68,20,24,0
68,25,29,2
68,30,34,3
68,35,39,5
68,40,44,6
68,45,49,9
68,50,54,0
68,55,59,0
68,60,64,6
68,65,69,0
68,70,74,33
68,75,79,0
68,80,84,7
68,85,999,0
70,0,4,0
70,5,9,0
70,10,14,0
70,15,19,0
70,20,24,0
70,25,29,0
70,30,34,0
70,35,39,1
70,40,44,4
70,45,49,11
70,50,54,16
70,55,59,20
70,60,64,21
70,65,69,24
70,70,74,23
70,75,79,12
70,80,84,9
70,85,999,10
72,0,4,0
72,5,9,0
72,10,14,0
72,15,19,0
72,20,24,0
72,25,29,0
72,30,34,1
72,35,39,3
72,40,44,6
72,45,49,10
72,50,54,11
72,55,59,10
72,60,64,9
72,65,69,8
72,70,74,6
72,75,79,5
72,80,84,3
72,85,999,1
76,0,4,0
76,5,9,0
76,10,14,68
76,15,19,25
76,20,24,57
76,25,29,68
76,30,34,120
76,35,39,242
76,40,44,508
76,45,49,825
76,50,54,1179
76,55,59,1463
76,60,64,1480
76,65,69,1283
76,70,74,1067
76,75,79,909
76,80,84,791
76,85,999,944
84,0,4,0
84,5,9,0
84,10,14,0
84,15,19,0
84,20,24,0
84,25,29,0
84,30,34,0
84,35,39,0
84,40,44,0
84,45,49,0
84,50,54,0
84,55,59,0
84,60,64,0
84,65,69,0
84,70,74,0
84,75,79,0
84,80,84,0
84,85,999,0
90,0,4,0
90,5,9,0
90,10,14,0
90,15,19,0
90,20,24,0
90,25,29,0
90,30,34,0
90,35,39,0
90,40,44,1
90,45,49,3
90,50,54,3
90,55,59,2
90,60,64,1
90,65,69,1
90,70,74,0
90,75,79,1
90,80,84,0
90,85,999,0
96,0,4,0
96,5,9,0
96,10,14,0
96,15,19,0
96,20,24,0
96,25,29,0
96,30,34,0
96,35,39,0
