"ISOcode","AgeStart","AgeEnd","Di"
4,0,4,0
4,5,9,0
4,10,14,8
4,15,19,6
4,20,24,9
4,25,29,21
4,30,34,26
4,35,39,44
4,40,44,64
4,45,49,82
4,50,54,96
4,55,59,101
4,60,64,92
4,65,69,72
4,70,74,50
4,75,79,29
4,80,84,12
4,85,999,5
8,0,4,0
8,5,9,0
8,10,14,0
8,15,19,0
8,20,24,0
8,25,29,0
8,30,34,0
8,35,39,0
8,40,44,0
8,45,49,1
8,50,54,2
8,55,59,5
8,60,64,6
8,65,69,7
8,70,74,8
8,75,79,6
8,80,84,5
8,85,999,4
12,0,4,0
12,5,9,0
12,10,14,0
12,15,19,0
12,20,24,0
12,25,29,2
12,30,34,2
12,35,39,6
12,40,44,8
12,45,49,6
12,50,54,12
12,55,59,15
12,60,64,19
12,65,69,18
12,70,74,18
12,75,79,16
12,80,84,15
12,85,999,9
24,0,4,0
24,5,9,0
24,10,14,16
24,15,19,0
24,20,24,8
24,25,29,8
24,30,34,1
24,35,39,4
24,40,44,10
24,45,49,22
24,50,54,47
24,55,59,76
24,60,64,34
24,65,69,44
24,70,74,23
24,75,79,7
24,80,84,14
24,85,999,2
31,0,4,0
31,5,9,0
31,10,14,0
31,15,19,0
31,20,24,0
31,25,29,1
31,30,34,0
31,35,39,3
31,40,44,4
31,45,49,3
31,50,54,4
31,55,59,4
31,60,64,8
31,65,69,15
31,70,74,14
31,75,79,10
31,80,84,13
31,85,999,13
32,0,4,0
32,5,9,0
32,10,14,1
32,15,19,0
32,20,24,1
32,25,29,2
32,30,34,4
32,35,39,7
32,40,44,12
32,45,49,25
32,50,54,40
32,55,59,58
32,60,64,78
32,65,69,87
32,70,74,82
32,75,79,64
32,80,84,57
32,85,999,66
36,0,4,0
36,5,9,0
36,10,14,0
36,15,19,0
36,20,24,0
36,25,29,0
36,30,34,2
36,35,39,3
36,40,44,3
36,45,49,9
36,50,54,25
36,55,59,38
36,60,64,57
36,65,69,57
36,70,74,56
36,75,79,57
36,80,84,51
36,85,999,71
40,0,4,0
40,5,9,0
40,10,14,0
40,15,19,0
40,20,24,0
40,25,29,0
40,30,34,0
40,35,39,1
40,40,44,4
40,45,49,11
40,50,54,23
40,55,59,34
40,60,64,35
40,65,69,31
40,70,74,31
40,75,79,28
40,80,84,28
40,85,999,23
44,0,4,0
44,5,9,0
44,10,14,0
44,15,19,0
44,20,24,0
44,25,29,0
44,30,34,0
44,35,39,0
44,40,44,0
44,45,49,0
44,50,54,1
44,55,59,1
44,60,64,2
44,65,69,1
44,70,74,0
44,75,79,0
44,80,84,0
44,85,999,0
48,0,4,0
48,5,9,0
48,10,14,0
48,15,19,0
48,20,24,0
48,25,29,0
48,30,34,0
48,35,39,0
48,40,44,0
48,45,49,1
48,50,54,0
48,55,59,2
48,60,64,3
48,65,69,2
48,70,74,0
48,75,79,0
48,80,84,0
48,85,999,0
50,0,4,0
50,5,9,0
50,10,14,3
50,15,19,4
50,20,24,12
50,25,29,15
50,30,34,127
50,35,39,379
50,40,44,703
50,45,49,1012
50,50,54,1341
50,55,59,1553
50,60,64,1380
50,65,69,971
50,70,74,761
50,75,79,605
50,80,84,355
50,85,999,226
51,0,4,0
51,5,9,0
51,10,14,0
51,15,19,0
51,20,24,0
51,25,29,0
51,30,34,0
51,35,39,0
51,40,44,0
51,45,49,1
51,50,54,3
51,55,59,3
51,60,64,7
51,65,69,5
51,70,74,4
51,75,79,2
51,80,84,3
51,85,999,4
52,0,4,0
52,5,9,0
52,10,14,0
52,15,19,0
52,20,24,0
52,25,29,0
52,30,34,0
52,35,39,0
52,40,44,0
52,45,49,0
52,50,54,0
52,55,59,2
52,60,64,1
52,65,69,0
52,70,74,0
52,75,79,2
52,80,84,1
52,85,999,2
56,0,4,0
56,5,9,0
56,10,14,0
56,15,19,0
56,20,24,0
56,25,29,0
56,30,34,0
56,35,39,1
56,40,44,2
56,45,49,7
56,50,54,16
56,55,59,29
56,60,64,36
56,65,69,37
56,70,74,36
56,75,79,30
56,80,84,24
56,85,999,30
64,0,4,0
64,5,9,0
64,10,14,0
64,15,19,0
64,20,24,0
64,25,29,0
64,30,34,0
64,35,39,0
64,40,44,0
64,45,49,1
64,50,54,2
64,55,59,3
64,60,64,1
64,65,69,3
64,70,74,2
64,75,79,1
64,80,84,0
64,85,999,0
68,0,4,0
68,5,9,0
68,10,14,0
68,15,19,0
68,20,24,4
68,25,29,0
68,30,34,0
68,35,39,0
68,40,44,0
68,45,49,3
68,50,54,0
68,55,59,0
68,60,64,3
68,65,69,0
68,70,74,17
68,75,79,0
68,80,84,5
68,85,999,0
70,0,4,0
70,5,9,0
70,10,14,0
70,15,19,0
70,20,24,0
70,25,29,0
70,30,34,0
70,35,39,0
70,40,44,1
70,45,49,3
70,50,54,5
70,55,59,9
70,60,64,10
70,65,69,11
70,70,74,9
70,75,79,6
70,80,84,5
70,85,999,4
72,0,4,0
72,5,9,0
72,10,14,0
72,15,19,0
72,20,24,0
72,25,29,0
72,30,34,0
72,35,39,1
72,40,44,1
72,45,49,4
72,50,54,4
72,55,59,3
72,60,64,3
72,65,69,5
72,70,74,4
72,75,79,3
72,80,84,3
72,85,999,1
76,0,4,0
76,5,9,0
76,10,14,1
76,15,19,0
76,20,24,8
76,25,29,14
76,30,34,21
76,35,39,23
76,40,44,163
76,45,49,300
76,50,54,486
76,55,59,673
76,60,64,709
76,65,69,632
76,70,74,504
76,75,79,387
76,80,84,342
76,85,999,437
84,0,4,0
84,5,9,0
84,10,14,0
84,15,19,0
84,20,24,0
84,25,29,0
84,30,34,0
84,35,39,0
84,40,44,0
84,45,49,0
84,50,54,0
84,55,59,0
84,60,64,0
84,65,69,0
84,70,74,0
84,75,79,0
84,80,84,0
84,85,999,0
90,0,4,0
90,5,9,0
90,10,14,0
90,15,19,0
90,20,24,0
90,25,29,0
90,30,34,0
90,35,39,0
90,40,44,1
90,45,49,2
90,50,54,1
90,55,59,2
90,60,64,1
90,65,69,1
90,70,74,0
90,75,79,1
90,80,84,0
90,85,999,0
96,0,4,0
96,5,9,0
96,10,14,0
96,15,19,0
96,20,24,0
96,25,29,0
96,30,34,0
96,35,39,0
96,40,44,0
96,45,49,0
