Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,1,004,4,Afghanistan,0,535,-,-,535,2.2,1.4,0.16
ALB,1,008,8,Albania,0,11,-,-,11,0.42,0.54,0.03
DZA,1,012,12,Algeria,0,115,-,-,115,0.28,0.30,0.02
AGO,1,024,24,Angola,0,261,-,-,261,1.3,0.79,0.09
AZE,1,031,31,Azerbaijan,0,55,-,-,55,0.55,0.66,0.04
ARG,1,032,32,Argentina,0,292,-,-,292,0.71,0.80,0.05
AUS,1,036,36,Australia,0,535,-,-,535,2.1,2.9,0.16
AUT,1,040,40,Austria,0,122,-,-,122,1.3,2.1,0.10
BHS,1,044,44,Bahamas,0,2,-,-,2,0.44,0.62,0.04
BHR,1,048,48,Bahrain,0,9,-,-,9,0.47,0.56,0.03
BGD,1,050,50,Bangladesh,0,6440,-,-,6440,4.2,4.4,0.32
ARM,1,051,51,Armenia,0,16,-,-,16,0.61,0.72,0.05
BRB,1,052,52,Barbados,0,0,-,-,0,0.00,0.00,0.00
BEL,1,056,56,Belgium,0,160,-,-,160,1.4,2.1,0.10
BTN,1,064,64,Bhutan,0,6,-,-,6,0.90,0.87,0.07
BOL,1,068,68,Bolivia (Plurinational State of),0,25,-,-,25,0.25,0.24,0.02
BIH,1,070,70,Bosnia Herzegovina,0,32,-,-,32,0.92,1.5,0.07
BWA,1,072,72,Botswana,0,31,-,-,31,1.7,1.4,0.13
BRA,1,076,76,Brazil,0,3092,-,-,3092,1.5,1.8,0.11
BLZ,1,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,1,090,90,Solomon Islands,0,7,-,-,7,1.5,1.1,0.12
BRN,1,096,96,Brunei Darussalam,0,1,-,-,1,0.21,0.27,0.01
BGR,1,100,100,Bulgaria,0,92,-,-,92,1.2,2.1,0.09
MMR,1,104,104,Myanmar,0,1016,-,-,1016,1.9,2.2,0.14
BDI,1,108,108,Burundi,0,38,-,-,38,0.52,0.32,0.04
BLR,1,112,112,Belarus,0,249,-,-,249,2.6,3.8,0.20
KHM,1,116,116,Cambodia,0,141,-,-,141,1.1,0.93,0.08
CMR,1,120,120,Cameroon,0,90,-,-,90,0.54,0.34,0.04
CAN,1,124,124,Canada,0,519,-,-,519,1.4,2.0,0.11
CPV,1,132,132,Cape Verde,0,8,-,-,8,1.6,1.6,0.12
CAF,1,140,140,Central African Republic,0,21,-,-,21,0.74,0.45,0.05
LKA,1,144,144,Sri Lanka,0,579,-,-,579,2.8,3.5,0.21
TCD,1,148,148,Chad,0,96,-,-,96,0.92,0.58,0.06
CHL,1,152,152,Chile,0,76,-,-,76,0.44,0.52,0.03
CHN,1,156,160,China,0,8900,-,-,8900,0.55,0.87,0.04
COL,1,170,170,Colombia,0,215,-,-,215,0.44,0.52,0.03
COM,1,174,174,Comoros,0,1,-,-,1,0.20,0.12,0.02
COG,1,178,178,"Congo, Republic of",0,9,-,-,9,0.24,0.17,0.02
COD,1,180,180,"Congo, Democratic Republic of",0,207,-,-,207,0.37,0.23,0.03
CRI,1,188,188,Costa Rica,0,19,-,-,19,0.37,0.47,0.03
HRV,1,191,191,Croatia,0,43,-,-,43,1.0,1.7,0.08
CUB,1,192,192,Cuba,0,259,-,-,259,2.0,3.4,0.15
CYP,1,196,196,Cyprus,0,10,-,-,10,0.76,1.1,0.06
CZE,1,203,203,Czechia,0,193,-,-,193,1.5,2.7,0.12
BEN,1,204,204,Benin,0,34,-,-,34,0.39,0.29,0.03
DNK,1,208,208,Denmark,0,65,-,-,65,1.1,1.7,0.09
DOM,1,214,214,Dominican Republic,0,52,-,-,52,0.54,0.56,0.04
ECU,1,218,218,Ecuador,0,72,-,-,72,0.45,0.47,0.03
SLV,1,222,222,El Salvador,0,28,-,-,28,0.51,0.51,0.03
GNQ,1,226,226,Equatorial Guinea,0,7,-,-,7,0.85,0.50,0.06
ETH,1,231,231,Ethiopia,0,540,-,-,540,0.66,0.48,0.05
ERI,1,232,232,Eritrea,0,20,-,-,20,0.85,0.60,0.06
EST,1,233,233,Estonia,0,21,-,-,21,1.6,2.4,0.12
FJI,1,242,242,Fiji,0,17,-,-,17,2.2,2.2,0.17
FIN,1,246,246,Finland,0,64,-,-,64,1.3,1.8,0.10
FRA,1,250,250,France (metropolitan),0,1304,-,-,1304,2.0,3.0,0.15
GUF,1,254,254,French Guyana,0,2,-,-,2,0.75,0.74,0.06
PYF,1,258,258,French Polynesia,0,3,-,-,3,0.95,1.3,0.08
DJI,1,262,262,Djibouti,0,6,-,-,6,0.72,0.67,0.05
GAB,1,266,266,Gabon,0,20,-,-,20,1.2,0.93,0.09
GEO,1,268,268,Georgia,0,39,-,-,39,1.0,1.4,0.08
GMB,1,270,270,The Republic of the Gambia,0,3,-,-,3,0.19,0.12,0.01
PSE,1,275,275,Gaza Strip and West Bank,0,14,-,-,14,0.40,0.28,0.03
DEU,1,276,276,Germany,0,605,-,-,605,0.68,1.2,0.05
GHA,1,288,288,Ghana,0,102,-,-,102,0.43,0.34,0.03
GRC,1,300,300,Greece,0,148,-,-,148,1.3,2.3,0.10
GLP,1,312,312,"France, Guadeloupe",0,7,-,-,7,1.7,2.7,0.13
GUM,1,316,316,Guam,0,1,-,-,1,0.58,0.75,0.05
GTM,1,320,320,Guatemala,0,39,-,-,39,0.27,0.23,0.02
GIN,1,324,324,Guinea,0,47,-,-,47,0.57,0.36,0.04
GUY,1,328,328,Guyana,0,2,-,-,2,0.27,0.30,0.02
HTI,1,332,332,Haiti,0,67,-,-,67,0.72,0.65,0.05
HND,1,340,340,Honduras,0,25,-,-,25,0.30,0.27,0.02
HUN,1,348,348,Hungary,0,285,-,-,285,2.6,4.4,0.20
ISL,1,352,352,Iceland,0,3,-,-,3,0.92,1.2,0.07
IND,1,356,356,India,0,62551,-,-,62551,4.8,5.2,0.36
IDN,1,360,360,Indonesia,0,1902,-,-,1902,0.70,0.81,0.05
IRN,1,364,364,"Iran, Islamic Republic of",0,397,-,-,397,0.46,0.55,0.03
IRQ,1,368,368,Iraq,0,112,-,-,112,0.36,0.29,0.03
IRL,1,372,372,Ireland,0,72,-,-,72,1.4,2.0,0.10
ISR,1,376,376,Israel,0,47,-,-,47,0.63,0.67,0.05
ITA,1,380,380,Italy,0,836,-,-,836,1.3,2.3,0.10
CIV,1,384,384,"Côte d'Ivoire",0,118,-,-,118,0.68,0.46,0.05
JAM,1,388,388,Jamaica,0,10,-,-,10,0.35,0.41,0.03
JPN,1,392,392,Japan,0,1323,-,-,1323,1.1,1.8,0.08
KAZ,1,398,398,Kazakhstan,0,130,-,-,130,0.76,0.83,0.06
JOR,1,400,400,Jordan,0,45,-,-,45,0.53,0.49,0.04
KEN,1,404,404,Kenya,0,273,-,-,273,0.73,0.52,0.05
PRK,1,408,408,"Korea, Democratic People Republic of",0,90,-,-,90,0.30,0.44,0.02
KOR,1,410,410,"Korea, Republic of",0,353,-,-,353,0.61,1.0,0.04
KWT,1,414,414,Kuwait,0,28,-,-,28,0.43,0.74,0.03
KGZ,1,417,417,Kyrgyzstan,0,27,-,-,27,0.49,0.46,0.04
LAO,1,418,418,"Lao People's Democratic Republic",0,82,-,-,82,1.4,1.2,0.10
LBN,1,422,422,Lebanon,0,28,-,-,28,0.44,0.51,0.03
LSO,1,426,426,Lesotho,0,8,-,-,8,0.54,0.41,0.04
LVA,1,428,428,Latvia,0,37,-,-,37,2.0,3.1,0.15
