Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,1,004,4,Afghanistan,0,1011,388,2632,1011,4.6,2.5,0.53
ALB,1,008,8,Albania,0,97,65,145,97,1.7,3.4,0.17
DZA,1,012,12,Algeria,0,343,164,717,343,0.75,0.76,0.09
AGO,1,024,24,Angola,0,577,530,629,577,3.4,1.7,0.41
AZE,1,031,31,Azerbaijan,0,209,15,2900,209,1.8,2.0,0.19
ARG,1,032,32,Argentina,0,1236,478,3197,1236,2.0,2.7,0.24
AUS,1,036,36,Australia,0,2730,2137,3487,2730,6.0,10.5,0.71
AUT,1,040,40,Austria,0,632,552,724,632,3.4,7.0,0.41
BHS,1,044,44,Bahamas,0,6,0,88,6,1.2,1.5,0.15
BHR,1,048,48,Bahrain,0,27,2,375,27,1.9,1.5,0.27
BGD,1,050,50,Bangladesh,0,16083,15509,16678,16083,10.3,9.6,1.2
ARM,1,051,51,Armenia,0,71,5,1045,71,1.6,2.4,0.20
BRB,1,052,52,Barbados,0,12,1,177,12,1.6,4.2,0.13
BEL,1,056,56,Belgium,0,1100,1003,1207,1100,4.7,9.4,0.59
BTN,1,064,64,Bhutan,0,22,22,22,22,3.1,2.8,0.40
BOL,1,068,68,Bolivia (Plurinational State of),0,71,5,1045,71,0.59,0.59,0.10
BIH,1,070,70,Bosnia Herzegovina,0,151,109,209,151,2.3,4.7,0.28
BWA,1,072,72,Botswana,0,73,9,561,73,4.0,3.0,0.45
BRA,1,076,76,Brazil,0,11029,7907,15384,11029,3.8,5.1,0.41
BLZ,1,084,84,Belize,0,0,0,0,0,0.00,0.00,0.00
SLB,1,090,90,Solomon Islands,0,12,1,177,12,2.4,1.7,0.25
BRN,1,096,96,Brunei Darussalam,0,2,0,16,2,0.41,0.45,0.05
BGR,1,100,100,Bulgaria,0,411,352,480,411,3.0,6.0,0.35
MMR,1,104,104,Myanmar,0,2495,2255,2760,2495,4.4,4.5,0.47
BDI,1,108,108,Burundi,0,101,33,307,101,1.8,0.80,0.20
BLR,1,112,112,Belarus,0,908,805,1025,908,5.6,9.6,0.67
KHM,1,116,116,Cambodia,0,523,299,914,523,3.9,3.1,0.40
CMR,1,120,120,Cameroon,0,237,16,3410,237,1.7,0.85,0.20
CAN,1,124,124,Canada,0,3414,3193,3650,3414,4.4,8.9,0.53
CPV,1,132,132,Cape Verde,0,19,7,53,19,4.0,3.4,0.54
CAF,1,140,140,Central African Republic,0,37,3,544,37,1.4,0.74,0.16
LKA,1,144,144,Sri Lanka,0,2556,2133,3063,2556,8.1,11.9,0.95
TCD,1,148,148,Chad,0,155,102,235,155,1.7,0.89,0.19
CHL,1,152,152,Chile,0,349,55,2224,349,1.2,1.8,0.12
CHN,1,156,160,China,0,37208,33075,41857,37208,1.5,2.6,0.18
COL,1,170,170,Colombia,0,890,394,2009,890,1.3,1.7,0.14
COM,1,174,174,Comoros,0,7,3,15,7,1.5,0.77,0.16
COG,1,178,178,"Congo, Republic of",0,20,2,183,20,0.61,0.34,0.08
COD,1,180,180,"Congo, Democratic Republic of",0,526,36,7738,526,1.1,0.55,0.11
CRI,1,188,188,Costa Rica,0,107,52,220,107,1.4,2.1,0.16
HRV,1,191,191,Croatia,0,293,232,369,293,3.3,7.2,0.41
CUB,1,192,192,Cuba,0,1059,242,4628,1059,5.0,9.4,0.59
CYP,1,196,196,Cyprus,0,41,28,59,41,2.0,3.4,0.23
CZE,1,203,203,Czechia,0,955,855,1067,955,4.4,8.9,0.54
BEN,1,204,204,Benin,0,80,25,256,80,1.1,0.63,0.12
DNK,1,208,208,Denmark,0,449,370,544,449,3.8,7.7,0.47
DOM,1,214,214,Dominican Republic,0,161,12,2084,161,1.3,1.5,0.15
ECU,1,218,218,Ecuador,0,244,37,1596,244,1.2,1.4,0.13
SLV,1,222,222,El Salvador,0,98,11,910,98,1.2,1.5,0.10
GNQ,1,226,226,Equatorial Guinea,0,18,6,51,18,2.7,1.2,0.33
ETH,1,231,231,Ethiopia,0,1038,827,1302,1038,1.4,0.86,0.16
ERI,1,232,232,Eritrea,0,40,27,59,40,1.7,1.1,0.19
EST,1,233,233,Estonia,0,101,75,136,101,4.2,7.6,0.51
FJI,1,242,242,Fiji,0,29,2,427,29,3.1,3.2,0.32
FIN,1,246,246,Finland,0,514,463,570,514,4.0,9.3,0.47
FRA,1,250,250,France (metropolitan),0,7195,6496,7970,7195,5.6,11.0,0.68
GUF,1,254,254,French Guyana,0,4,4,4,4,1.3,1.3,0.16
PYF,1,258,258,French Polynesia,0,13,12,15,13,3.3,4.6,0.36
DJI,1,262,262,Djibouti,0,14,9,23,14,1.6,1.4,0.21
GAB,1,266,266,Gabon,0,51,11,228,51,3.5,2.2,0.39
GEO,1,268,268,Georgia,0,208,22,1950,208,3.0,5.2,0.35
GMB,1,270,270,The Republic of the Gambia,0,5,1,48,5,0.34,0.20,0.04
PSE,1,275,275,Gaza Strip and West Bank,0,38,20,73,38,1.2,0.71,0.16
DEU,1,276,276,Germany,0,5642,5176,6150,5642,2.8,6.7,0.34
GHA,1,288,288,Ghana,0,220,105,460,220,1.0,0.68,0.11
GRC,1,300,300,Greece,0,688,546,867,688,2.9,6.7,0.31
