Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,1,004,4,Afghanistan,0,700,-,-,700,3.2,1.7,0.47
ALB,1,008,8,Albania,0,35,-,-,35,0.67,1.3,0.13
DZA,1,012,12,Algeria,0,122,-,-,122,0.28,0.27,0.05
AGO,1,024,24,Angola,0,300,-,-,300,1.9,0.86,0.28
AZE,1,031,31,Azerbaijan,0,66,-,-,66,0.59,0.65,0.13
ARG,1,032,32,Argentina,0,461,-,-,461,0.80,1.0,0.14
AUS,1,036,36,Australia,0,307,-,-,307,0.70,1.2,0.12
AUT,1,040,40,Austria,0,198,-,-,198,1.2,2.3,0.19
BHS,1,044,44,Bahamas,0,5,-,-,5,1.0,1.3,0.13
BHR,1,048,48,Bahrain,0,8,-,-,8,0.62,0.45,0.08
BGD,1,050,50,Bangladesh,0,8866,-,-,8866,5.9,5.3,0.90
ARM,1,051,51,Armenia,0,25,-,-,25,0.57,0.87,0.10
BRB,1,052,52,Barbados,0,5,-,-,5,0.84,1.8,0.19
BEL,1,056,56,Belgium,0,194,-,-,194,0.89,1.8,0.15
BTN,1,064,64,Bhutan,0,13,-,-,13,2.0,1.7,0.33
BOL,1,068,68,Bolivia (Plurinational State of),0,27,-,-,27,0.24,0.23,0.04
BIH,1,070,70,Bosnia Herzegovina,0,54,-,-,54,0.85,1.7,0.14
BWA,1,072,72,Botswana,0,28,-,-,28,1.6,1.2,0.28
BRA,1,076,76,Brazil,0,3921,-,-,3921,1.4,1.9,0.23
BLZ,1,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,1,090,90,Solomon Islands,0,9,-,-,9,1.9,1.3,0.29
BRN,1,096,96,Brunei Darussalam,0,0,-,-,0,0.00,0.00,0.00
BGR,1,100,100,Bulgaria,0,161,-,-,161,1.3,2.5,0.18
MMR,1,104,104,Myanmar,0,1308,-,-,1308,2.3,2.4,0.39
BDI,1,108,108,Burundi,0,65,-,-,65,1.2,0.52,0.26
BLR,1,112,112,Belarus,0,488,-,-,488,3.2,5.4,0.44
KHM,1,116,116,Cambodia,0,271,-,-,271,2.0,1.6,0.41
CMR,1,120,120,Cameroon,0,147,-,-,147,1.1,0.53,0.20
CAN,1,124,124,Canada,0,475,-,-,475,0.65,1.3,0.12
CPV,1,132,132,Cape Verde,0,7,-,-,7,1.4,1.3,0.26
CAF,1,140,140,Central African Republic,0,27,-,-,27,1.0,0.54,0.14
LKA,1,144,144,Sri Lanka,0,1106,-,-,1106,3.6,5.2,0.58
TCD,1,148,148,Chad,0,113,-,-,113,1.3,0.65,0.20
CHL,1,152,152,Chile,0,105,-,-,105,0.36,0.56,0.07
CHN,1,156,160,China,0,16153,-,-,16153,0.66,1.2,0.12
COL,1,170,170,Colombia,0,290,-,-,290,0.46,0.57,0.09
COM,1,174,174,Comoros,0,3,-,-,3,0.61,0.33,0.09
COG,1,178,178,"Congo, Republic of",0,9,-,-,9,0.33,0.16,0.05
COD,1,180,180,"Congo, Democratic Republic of",0,331,-,-,331,0.68,0.35,0.14
CRI,1,188,188,Costa Rica,0,32,-,-,32,0.46,0.63,0.08
