Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,1,004,4,Afghanistan,0,717,361,1422,717,3.3,1.8,0.39
ALB,1,008,8,Albania,0,44,29,66,44,0.76,1.5,0.09
DZA,1,012,12,Algeria,0,146,99,215,146,0.31,0.32,0.04
AGO,1,024,24,Angola,0,316,267,375,316,2.0,0.90,0.25
AZE,1,031,31,Azerbaijan,0,92,21,404,92,0.79,0.89,0.08
ARG,1,032,32,Argentina,0,584,410,833,584,0.89,1.3,0.11
AUS,1,036,36,Australia,0,429,303,608,429,0.80,1.7,0.09
AUT,1,040,40,Austria,0,249,201,309,249,1.3,2.8,0.15
BHS,1,044,44,Bahamas,0,5,1,47,5,0.99,1.3,0.13
BHR,1,048,48,Bahrain,0,8,1,92,8,0.61,0.45,0.08
BGD,1,050,50,Bangladesh,0,9447,9247,9651,9447,6.1,5.6,0.74
ARM,1,051,51,Armenia,0,32,7,137,32,0.64,1.1,0.08
BRB,1,052,52,Barbados,0,8,1,81,8,1.1,2.8,0.08
BEL,1,056,56,Belgium,0,248,208,295,248,0.96,2.1,0.12
BTN,1,064,64,Bhutan,0,13,13,13,13,2.0,1.7,0.28
BOL,1,068,68,Bolivia (Plurinational State of),0,32,6,164,32,0.26,0.27,0.04
BIH,1,070,70,Bosnia Herzegovina,0,63,48,82,63,0.91,1.9,0.11
BWA,1,072,72,Botswana,0,32,11,93,32,1.8,1.3,0.20
BRA,1,076,76,Brazil,0,4700,4203,5256,4700,1.6,2.2,0.18
BLZ,1,084,84,Belize,0,0,0,0,0,0.00,0.00,0.00
SLB,1,090,90,Solomon Islands,0,9,1,132,9,1.9,1.3,0.20
BRN,1,096,96,Brunei Darussalam,0,0,0,0,0,0.00,0.00,0.00
BGR,1,100,100,Bulgaria,0,177,140,223,177,1.3,2.6,0.16
MMR,1,104,104,Myanmar,0,1452,1369,1540,1452,2.6,2.6,0.28
