ISOcode,AgeStart,AgeEnd,Ri,Di,Ni,Mi
4,0,4,0,0,6587946.5,83784
4,5,9,0,0,5895752.5,6860
4,10,14,12,8,5200496,4752
4,15,19,8,6,4631923.5,7188
4,20,24,13,9,4072960,9150
4,25,29,26,21,3348016,8122
4,30,34,50,26,2576735,7023
4,35,39,76,44,1976412,6639
4,40,44,102,64,1613110,7211
4,45,49,119,82,1324159.5,8426
4,50,54,129,96,1038712.5,9715
4,55,59,130,101,781336,10933
4,60,64,116,92,575593,12390
4,65,69,92,72,410757.5,13887
4,70,74,68,50,274530,14985
4,75,79,42,29,166809.5,14619
4,80,84,19,12,74652.5,10604
4,85,999,9,5,28940,6908
8,0,4,0,0,148287,293
8,5,9,0,0,172627.5,35
8,10,14,0,0,166069.5,42
8,15,19,0,0,176824,71
8,20,24,0,0,208455.5,90
8,25,29,0,0,238788.5,118
8,30,34,1,0,226264.5,153
8,35,39,0,0,184629.5,205
8,40,44,2,0,156123,248
8,45,49,3,1,157854.5,394
8,50,54,5,2,175771,653
8,55,59,11,5,183880,1014
8,60,64,11,6,185940.5,1560
8,65,69,11,7,152983.5,2023
8,70,74,11,8,114180,2845
8,75,79,12,6,79696.5,3560
8,80,84,11,5,58955.5,4619
8,85,999,19,4,40277.5,6704
12,0,4,0,0,4862517,20524
12,5,9,0,0,4941797.5,1378
12,10,14,3,0,4221454.5,1232
12,15,19,2,0,3281901,1492
12,20,24,0,0,2846322,1590
12,25,29,4,2,3286152.5,2110
12,30,34,6,2,3617857,2656
12,35,39,19,6,3714473.5,3680
12,40,44,24,8,3368926.5,4688
12,45,49,20,6,2766843.5,5789
12,50,54,37,12,2355453,7470
12,55,59,34,15,1923705,10419
12,60,64,51,19,1476317,14693
12,65,69,42,18,1146838.5,20982
12,70,74,43,18,786213.5,25730
12,75,79,23,16,439422,25884
12,80,84,22,15,276146.5,27946
12,85,999,13,9,165049,31013
24,0,4,0,0,4072,8
24,5,9,0,0,4605,1
24,10,14,51,16,4890.5,0
24,15,19,0,0,4865.5,5
24,20,24,22,8,3511,4
24,25,29,18,8,2905,2
24,30,34,3,1,3131.5,5
24,35,39,10,4,2901,8
24,40,44,23,10,3032.5,15
24,45,49,41,22,3107.5,19
24,50,54,93,47,3028,23
24,55,59,133,76,2742,32
24,60,64,54,34,2116,36
24,65,69,69,44,1483.5,39
24,70,74,30,23,964,38
24,75,79,8,7,543.5,34
24,80,84,21,14,280,29
24,85,999,1,2,163,32
31,0,4,0,0,2396.5,3
31,5,9,0,0,3480.5,0
31,10,14,4,0,4210.5,0
31,15,19,1,0,4117.5,1
31,20,24,1,0,4542,1
31,25,29,5,1,4829.5,1
31,30,34,8,0,5432.5,1
31,35,39,12,3,5728,2
31,40,44,9,4,6772,4
31,45,49,7,3,7410.5,7
31,50,54,8,4,7003,11
31,55,59,11,4,6533.5,18
31,60,64,27,8,5318,25
31,65,69,35,15,3894.5,33
31,70,74,26,14,2971,47
31,75,79,18,10,2222,64
31,80,84,18,13,1326,69
31,85,999,19,13,1517.5,187
32,0,4,0,0,6087495.5,89117
32,5,9,0,0,5326462.5,7059
32,10,14,0,1,4535524.5,4519
32,15,19,2,0,3693554.5,5792
32,20,24,4,1,2992351.5,6650
32,25,29,9,2,2575397.5,6746
32,30,34,13,4,2266054,7240
32,35,39,24,7,1912316.5,7906
32,40,44,52,12,1545472,8487
32,45,49,82,25,1241958,9266
32,50,54,106,40,1017352,10796
32,55,59,138,58,822040,12352
32,60,64,168,78,630770.5,14318
32,65,69,174,87,433740,14980
32,70,74,154,82,270670,14773
32,75,79,123,64,165925,14112
32,80,84,91,57,80781.5,10628
32,85,999,96,66,37163.5,8159
36,0,4,0,0,5318,11
36,5,9,0,0,5430,1
36,10,14,0,0,6495.5,2
36,15,19,2,0,6324.5,2
36,20,24,6,0,6905,5
36,25,29,18,0,7310.5,11
36,30,34,22,2,7113,9
36,35,39,45,3,6917.5,11
36,40,44,83,3,6407.5,16
36,45,49,140,9,6357,21
36,50,54,219,25,6738,32
36,55,59,309,38,6366,46
36,60,64,381,57,5197,59
36,65,69,387,57,3763,65
36,70,74,377,56,2689,74
36,75,79,308,57,1700.5,71
36,80,84,211,51,967,72
36,85,999,222,71,841,124
40,0,4,0,0,688108,2394
40,5,9,0,0,822180,283
40,10,14,0,0,836794.5,244
40,15,19,0,0,703787,405
40,20,24,0,0,654105,648
40,25,29,1,0,843679,769
40,30,34,4,0,967531.5,938
40,35,39,9,1,866568,1188
40,40,44,19,4,729543,1497
40,45,49,32,11,609274.5,2205
40,50,54,57,23,619689,3716
40,55,59,83,34,618078,5963
40,60,64,91,35,561089,8553
40,65,69,83,31,355458,8504
40,70,74,77,31,209302,7982
40,75,79,65,28,81966,4865
40,80,84,63,28,79834.5,7778
40,85,999,48,23,48317,7940
44,0,4,0,0,2947672,5439
44,5,9,0,0,3710859,737
44,10,14,0,0,3672106,948
44,15,19,0,0,3489288,2179
44,20,24,0,0,3476402,3158
44,25,29,0,0,3517290,3674
44,30,34,0,0,3399523,4101
44,35,39,0,0,3214392,4789
44,40,44,0,0,3153271,6917
44,45,49,0,0,2830371.5,8792
44,50,54,2,1,2396847,12448
