"ISOcode","AgeStart","AgeEnd","Ni","Mi"
4,0,4,6587946.5,83784
4,5,9,5895752.5,6860
4,10,14,5200496,4752
4,15,19,4631923.5,7188
4,20,24,4072960,9150
4,25,29,3348016,8122
4,30,34,2576735,7023
4,35,39,1976412,6639
4,40,44,1613110,7211
4,45,49,1324159.5,8426
4,50,54,1038712.5,9715
4,55,59,781336,10933
4,60,64,575593,12390
4,65,69,410757.5,13887
4,70,74,274530,14985
4,75,79,166809.5,14619
4,80,84,74652.5,10604
4,85,999,28940,6908
8,0,4,148287,293
8,5,9,172627.5,35
8,10,14,166069.5,42
8,15,19,176824,71
8,20,24,208455.5,90
8,25,29,238788.5,118
8,30,34,226264.5,153
8,35,39,184629.5,205
8,40,44,156123,248
8,45,49,157854.5,394
8,50,54,175771,653
8,55,59,183880,1014
8,60,64,185940.5,1560
8,65,69,152983.5,2023
8,70,74,114180,2845
8,75,79,79696.5,3560
8,80,84,58955.5,4619
8,85,999,40277.5,6704
12,0,4,4862517,20524
12,5,9,4941797.5,1378
12,10,14,4221454.5,1232
12,15,19,3281901,1492
12,20,24,2846322,1590
12,25,29,3286152.5,2110
12,30,34,3617857,2656
12,35,39,3714473.5,3680
12,40,44,3368926.5,4688
12,45,49,2766843.5,5789
12,50,54,2355453,7470
12,55,59,1923705,10419
12,60,64,1476317,14693
12,65,69,1146838.5,20982
12,70,74,786213.5,25730
12,75,79,439422,25884
12,80,84,276146.5,27946
12,85,999,165049,31013
16,0,4,4072,8
16,5,9,4605,1
16,10,14,4890.5,0
16,15,19,4865.5,5
16,20,24,3511,4
16,25,29,2905,2
16,30,34,3131.5,5
16,35,39,2901,8
16,40,44,3032.5,15
16,45,49,3107.5,19
16,50,54,3028,23
16,55,59,2742,32
16,60,64,2116,36
16,65,69,1483.5,39
16,70,74,964,38
16,75,79,543.5,34
16,80,84,280,29
16,85,999,163,32
20,0,4,2396.5,3
20,5,9,3480.5,0
20,10,14,4210.5,0
20,15,19,4117.5,1
20,20,24,4542,1
20,25,29,4829.5,1
20,30,34,5432.5,1
20,35,39,5728,2
20,40,44,6772,4
20,45,49,7410.5,7
20,50,54,7003,11
20,55,59,6533.5,18
20,60,64,5318,25
20,65,69,3894.5,33
20,70,74,2971,47
20,75,79,2222,64
