"ISOcode","AgeStart","AgeEnd","Ni","Mi"
4,0,"4",3221673,38301
4,5,"9",2880346,3113
4,10,"14",2535666,2154
4,15,"19",2259481.5,3017
4,20,"24",1999287,3649
4,25,"29",1657982,3541
4,30,"34",1279305,3217
4,35,"39",982585.5,3041
4,40,"44",802715,3226
4,45,"49",665279,3700
4,50,"54",534520,4278
4,55,"59",417453.5,4894
4,60,"64",317139.5,5801
4,65,"69",230556,6817
4,70,"74",158707.5,7869
4,75,"79",98070,7978
4,80,"84",44284.5,5986
4,85,"89",14835,3108
4,90,"94",2959,917
4,95,"99",308,132
4,100,"null",14,8
8,0,"4",71285.5,132
8,5,"9",82436.5,18
8,10,"14",79421.5,20
8,15,"19",84547.5,26
8,20,"24",101382.5,27
8,25,"29",118967,38
8,30,"34",109811,48
8,35,"39",89916,67
8,40,"44",81629.5,88
8,45,"49",85377,145
8,50,"54",94305.5,233
8,55,"59",96912.5,339
8,60,"64",96637.5,546
8,65,"69",79867.5,761
8,70,"74",59884,1335
8,75,"79",41802.5,1669
8,80,"84",32058,2287
8,85,"89",16096.5,1996
8,90,"94",5650.5,1184
8,95,"99",1197,395
8,100,"null",155.5,76
12,0,"4",2381319.5,9282
12,5,"9",2420820,623
12,10,"14",2064454,524
12,15,"19",1604723.5,566
12,20,"24",1396454.5,532
12,25,"29",1586141,765
12,30,"34",1753777.5,1085
12,35,"39",1807444.5,1671
12,40,"44",1634514.5,2184
12,45,"49",1349938.5,2690
12,50,"54",1150551,3321
12,55,"59",939234,4409
12,60,"64",722597,5977
12,65,"69",570408.5,8467
12,70,"74",397215,11004
12,75,"79",239033,12385
12,80,"84",153132.5,13973
12,85,"89",73788.5,10977
12,90,"94",21540,4793
12,95,"99",3167,1010
12,100,"null",260.5,115
16,0,"4",2034.5,4
16,5,"9",2292.5,0
16,10,"14",2408,0
16,15,"19",2348,1
16,20,"24",1704.5,1
16,25,"29",1470,2
16,30,"34",1558,1
16,35,"39",1412,4
16,40,"44",1486.5,5
16,45,"49",1531,6
16,50,"54",1441,9
16,55,"59",1333.5,10
16,60,"64",1070,12
16,65,"69",745.5,14
16,70,"74",512.5,16
16,75,"79",299,16
16,80,"84",163.5,15
16,85,"89",78,12
16,90,"94",20.5,5
16,95,"99",3.5,2
16,100,"null",0,0
20,0,"4",1136.5,2
20,5,"9",1710,0
20,10,"14",2080.5,0
20,15,"19",1944.5,0
20,20,"24",2165.5,0
20,25,"29",2202.5,0
20,30,"34",2603.5,1
20,35,"39",2782.5,1
20,40,"44",3405.5,2
20,45,"49",3669.5,3
20,50,"54",3391,4
20,55,"59",3136,6
20,60,"64",2572.5,8
20,65,"69",1863,11
20,70,"74",1460.5,17
20,75,"79",1096,24
20,80,"84",738.5,32
20,85,"89",547,41
20,90,"94",313.5,40
20,95,"99",83.5,17
20,100,"null",10,4
24,0,"4",3021646.5,40173
24,5,"9",2651949.5,3248
24,10,"14",2262458,2024
24,15,"19",1846405,2366
24,20,"24",1502781,2534
24,25,"29",1298888,2664
24,30,"34",1147315,2924
24,35,"39",971954.5,3218
24,40,"44",791448,3474
24,45,"49",644411.5,3798
24,50,"54",538412.5,4534
24,55,"59",437325.5,5252
24,60,"64",336251.5,6245
24,65,"69",235203,6868
24,70,"74",150619.5,7227
