"ISOcode","AgeStart","AgeEnd","Ni","Mi"
4,0,"4",3366273.5,45484
4,5,"9",3015406.5,3747
4,10,"14",2664830,2598
4,15,"19",2372442,4171
4,20,"24",2073673,5500
4,25,"29",1690034,4581
4,30,"34",1297430,3805
4,35,"39",993826.5,3598
4,40,"44",810395,3984
4,45,"49",658880.5,4726
4,50,"54",504192.5,5437
4,55,"59",363882.5,6039
4,60,"64",258453.5,6589
4,65,"69",180201.5,7070
4,70,"74",115822.5,7116
4,75,"79",68739.5,6640
4,80,"84",30368,4618
4,85,"89",9152.5,2150
4,90,"94",1543,530
4,95,"99",124.5,58
4,100,"null",4,3
8,0,"4",77001.5,161
8,5,"9",90191,17
8,10,"14",86648,22
8,15,"19",92276.5,45
8,20,"24",107073,63
8,25,"29",119821.5,81
8,30,"34",116453.5,105
8,35,"39",94713.5,138
8,40,"44",74493.5,159
8,45,"49",72477.5,249
8,50,"54",81465.5,420
8,55,"59",86967.5,675
8,60,"64",89303,1015
8,65,"69",73116,1262
8,70,"74",54296,1509
8,75,"79",37894,1890
8,80,"84",26897.5,2333
8,85,"89",12998.5,1938
8,90,"94",3644.5,903
8,95,"99",499.5,191
8,100,"null",35.5,20
12,0,"4",2481197.5,11242
12,5,"9",2520977.5,754
12,10,"14",2157000.5,708
12,15,"19",1677177.5,926
12,20,"24",1449867.5,1058
12,25,"29",1700011.5,1346
12,30,"34",1864079.5,1571
12,35,"39",1907029,2009
12,40,"44",1734412,2504
12,45,"49",1416905,3099
12,50,"54",1204902,4149
12,55,"59",984471,6010
12,60,"64",753720,8715
12,65,"69",576430,12516
12,70,"74",388998.5,14726
12,75,"79",200389,13499
12,80,"84",123014,13972
12,85,"89",51514,9752
12,90,"94",13109.5,3698
12,95,"99",1568.5,616
12,100,"null",101,53
16,0,"4",2037.5,4
16,5,"9",2312.5,1
16,10,"14",2482.5,0
16,15,"19",2517.5,4
16,20,"24",1806.5,3
16,25,"29",1435,1
16,30,"34",1573.5,4
16,35,"39",1489,4
16,40,"44",1546,9
16,45,"49",1576.5,13
16,50,"54",1587,14
16,55,"59",1408.5,22
16,60,"64",1046,24
16,65,"69",738,25
16,70,"74",451.5,22
16,75,"79",244.5,18
16,80,"84",116.5,13
16,85,"89",46.5,8
16,90,"94",12.5,3
16,95,"99",2,1
16,100,"null",0,0
20,0,"4",1260,2
20,5,"9",1770.5,0
20,10,"14",2130,0
20,15,"19",2173,0
20,20,"24",2376.5,1
20,25,"29",2627,1
20,30,"34",2829,1
20,35,"39",2945.5,1
20,40,"44",3366.5,2
20,45,"49",3741,4
20,50,"54",3612,7
20,55,"59",3397.5,12
20,60,"64",2745.5,17
20,65,"69",2031.5,22
20,70,"74",1510.5,30
20,75,"79",1126,39
20,80,"84",587.5,37
20,85,"89",351,39
20,90,"94",163.5,30
20,95,"99",46.5,13
20,100,"null",2.5,2
24,0,"4",3065849,48944
24,5,"9",2674513,3810
24,10,"14",2273066.5,2495
24,15,"19",1847149.5,3426
24,20,"24",1489570.5,4116
24,25,"29",1276509.5,4082
24,30,"34",1118739,4316
24,35,"39",940362,4688
24,40,"44",754024,5013
24,45,"49",597546.5,5468
24,50,"54",478939.5,6262
24,55,"59",384714.5,7100
24,60,"64",294519,8074
24,65,"69",198537,8112
24,70,"74",120050.5,7546
24,75,"79",68530,6593
24,80,"84",30630.5,4494
24,85,"89",10479.5,2272
24,90,"94",2279.5,698
24,95,"99",344,144
24,100,"null",63,34
28,0,"4",2698,6
28,5,"9",2755.5,0
28,10,"14",3294,1
28,15,"19",3203,1
28,20,"24",3492.5,3
28,25,"29",3624.5,7
28,30,"34",3463,5
28,35,"39",3323,4
28,40,"44",3062.5,9
28,45,"49",2948,12
28,50,"54",3056.5,17
28,55,"59",2882.5,24
28,60,"64",2305,38
28,65,"69",1652,40
28,70,"74",1164.5,41
28,75,"79",672.5,38
28,80,"84",350,36
28,85,"89",164.5,26
28,90,"94",49,12
28,95,"99",9.5,3
28,100,"null",0,1
31,0,"4",363295.5,1378
31,5,"9",431219,148
31,10,"14",440751.5,152
31,15,"19",371492,253
31,20,"24",333721.5,463
31,25,"29",409726,518
31,30,"34",468822.5,649
31,35,"39",424515,781
31,40,"44",359577.5,1028
31,45,"49",292958,1513
31,50,"54",290375.5,2452
31,55,"59",282822,3855
31,60,"64",254984,5280
31,65,"69",155785,4824
31,70,"74",89232,4136
31,75,"79",30822.5,2097
31,80,"84",26657,2744
31,85,"89",12110.5,1745
31,90,"94",2644,534
31,95,"99",255,68
31,100,"null",10.5,4
32,0,"4",1510159,2962
32,5,"9",1905887.5,391
32,10,"14",1888536,470
32,15,"19",1790044,1402
32,20,"24",1776121.5,2208
32,25,"29",1791489,2504
32,30,"34",1728517,2629
32,35,"39",1627682.5,2778
32,40,"44",1591879,4010
32,45,"49",1419663,5116
32,50,"54",1185393,7493
32,55,"59",1057210,10819
32,60,"64",957507,16196
32,65,"69",809510,22623
32,70,"74",628818.5,27556
32,75,"79",433131.5,29315
32,80,"84",250819,27837
32,85,"89",120776.5,20426
32,90,"94",42269.5,10405
32,95,"99",10196.5,3495
32,100,"null",1519,703
36,0,"4",783305,647
36,5,"9",830062.5,57
36,10,"14",842680,4
36,15,"19",791210.5,4
36,20,"24",843473.5,4
36,25,"29",943891.5,5
36,30,"34",962461,5
36,35,"39",947356.5,5
36,40,"44",851023.5,4
36,45,"49",810850.5,643
36,50,"54",816550,2251
36,55,"59",759516.5,5891
36,60,"64",727602,13150
36,65,"69",632940.5,7195
36,70,"74",556714,11313
36,75,"79",421246,13840
36,80,"84",261119,16213
36,85,"89",142976.5,18017
36,90,"94",60493,14458
36,95,"99",13754.5,5655
36,100,"null",1245,859
40,0,"4",221726.5,178
40,5,"9",227357.5,22
40,10,"14",219745.5,20
40,15,"19",225299.5,102
40,20,"24",251181.5,157
40,25,"29",301255,184
40,30,"34",321760,284
40,35,"39",313612,340
40,40,"44",300352.5,419
40,45,"49",292740,669
40,50,"54",339831.5,1184
40,55,"59",355773,2141
40,60,"64",306635.5,3063
40,65,"69",234782.5,3982
40,70,"74",192507,5342
40,75,"79",146206.5,5968
40,80,"84",129173.5,8258
40,85,"89",53311.5,7707
40,90,"94",22651,6129
40,95,"99",4422.5,2034
40,100,"null",373,264
44,0,"4",11082.5,31
44,5,"9",12577,3
44,10,"14",14041,3
44,15,"19",14032,20
44,20,"24",14533.5,40
44,25,"29",16326.5,44
44,30,"34",15473,51
44,35,"39",13726.5,59
44,40,"44",12913.5,70
44,45,"49",12976.5,82
44,50,"54",13077,107
44,55,"59",11680.5,142
44,60,"64",8789.5,133
44,65,"69",6367.5,189
44,70,"74",4705.5,190
44,75,"79",3952.5,229
44,80,"84",2496.5,233
44,85,"89",1054,147
44,90,"94",348,70
44,95,"99",79,22
44,100,"null",11,4
48,0,"4",48808,68
48,5,"9",52728.5,13
48,10,"14",47580,13
48,15,"19",48315,25
48,20,"24",71964,41
48,25,"29",106237,60
48,30,"34",138564,70
48,35,"39",133766.5,66
48,40,"44",99090.5,73
48,45,"49",69816.5,97
48,50,"54",48791,117
48,55,"59",33557.5,141
48,60,"64",22743,171
48,65,"69",13773.5,181
48,70,"74",6345.5,153
48,75,"79",4154,173
48,80,"84",2443,180
48,85,"89",1155,142
48,90,"94",401,73
48,95,"99",90,21
48,100,"null",5,2
50,0,"4",8349752,54453
50,5,"9",8144991.5,5440
50,10,"14",8702786.5,3685
50,15,"19",8404758,11220
50,20,"24",7179638,6571
50,25,"29",6777999.5,8376
50,30,"34",5916070,7346
50,35,"39",6109670.5,9327
50,40,"44",5220957,12982
50,45,"49",4229633,17363
50,50,"54",3611714.5,27599
50,55,"59",3099388.5,33190
50,60,"64",2595788.5,43156
50,65,"69",2064368.5,45895
50,70,"74",1368531.5,51575
50,75,"79",913002.5,51851
50,80,"84",472201,40799
50,85,"89",185290.5,24660
50,90,"94",46977,9698
50,95,"99",5707.5,1925
50,100,"null",169,112
51,0,"4",91235,202
51,5,"9",103120,14
51,10,"14",102626.5,17
51,15,"19",86927,45
51,20,"24",83594.5,70
51,25,"29",96550.5,89
51,30,"34",117840.5,152
51,35,"39",108402,201
51,40,"44",94257,377
51,45,"49",76911.5,571
51,50,"54",72511.5,851
51,55,"59",79967.5,1304
51,60,"64",83589.5,1943
51,65,"69",59988,2132
51,70,"74",37353.5,2047
51,75,"79",15709.5,1318
51,80,"84",14776.5,2048
51,85,"89",6582,1368
51,90,"94",1753.5,554
51,95,"99",235.5,104
51,100,"null",7.5,5
52,0,"4",8065,19
52,5,"9",8281.5,1
52,10,"14",9130,3
52,15,"19",9100,5
52,20,"24",9585.5,8
52,25,"29",8877.5,10
52,30,"34",9267.5,13
52,35,"39",9285,19
52,40,"44",8833.5,27
52,45,"49",9164,40
52,50,"54",9249,59
52,55,"59",9089.5,90
52,60,"64",8589.5,129
52,65,"69",7243.5,177
52,70,"74",5255.5,214
52,75,"79",3448.5,252
52,80,"84",1848.5,259
52,85,"89",836,218
52,90,"94",230,97
52,95,"99",30.5,19
52,100,"null",1.5,2
56,0,"4",303093,276
56,5,"9",330070.5,33
56,10,"14",350835,39
56,15,"19",335385.5,121
56,20,"24",340957.5,160
56,25,"29",362915.5,252
56,30,"34",384936,289
56,35,"39",373124,401
56,40,"44",382625.5,693
56,45,"49",374766.5,986
56,50,"54",397017,1524
56,55,"59",405109.5,2291
56,60,"64",373723,3587
56,65,"69",317002,5244
56,70,"74",265982.5,7682
56,75,"79",197211.5,8624
56,80,"84",126040,9212
56,85,"89",79418.5,10182
56,90,"94",31167.5,6924
56,95,"99",5764.5,2148
56,100,"null",463,262
60,0,"4",1408,1
60,5,"9",1543.5,0
60,10,"14",1751,0
60,15,"19",1731,1
60,20,"24",1703,1
60,25,"29",1627,1
60,30,"34",1750,1
60,35,"39",2151.5,2
60,40,"44",2301.5,4
60,45,"49",2475.5,6
60,50,"54",2597.5,11
60,55,"59",2649.5,17
60,60,"64",2446,25
60,65,"69",1978,32
60,70,"74",1493.5,40
60,75,"79",1047.5,47
60,80,"84",596.5,47
60,85,"89",343.5,47
60,90,"94",115,26
60,95,"99",22.5,7
60,100,"null",1,1
64,0,"4",24723,131
64,5,"9",30716.5,14
64,10,"14",34038.5,13
64,15,"19",36582,28
64,20,"24",38134,40
64,25,"29",43678.5,46
64,30,"34",45601.5,54
64,35,"39",37951,58
64,40,"44",31514.5,75
64,45,"49",23838,96
64,50,"54",19426.5,132
64,55,"59",15527.5,179
64,60,"64",12108,228
64,65,"69",9621,293
64,70,"74",6535.5,325
64,75,"79",4275.5,349
64,80,"84",2437,326
64,85,"89",1095,237
64,90,"94",328.5,107
64,95,"99",54.5,25
64,100,"null",4,3
68,0,"4",635669.5,6036
68,5,"9",624686.5,1025
68,10,"14",613386,661
68,15,"19",587356,926
68,20,"24",562298,1346
68,25,"29",531860.5,1498
68,30,"34",489360.5,1599
68,35,"39",420215.5,1787
68,40,"44",359857.5,2061
68,45,"49",307166,2494
68,50,"54",257771,3005
68,55,"59",208443,3655
68,60,"64",161436.5,4136
68,65,"69",116858.5,4522
68,70,"74",79792,4680
68,75,"79",53286,4597
68,80,"84",26754,3422
68,85,"89",12636.5,2245
68,90,"94",4165,1077
68,95,"99",697,269
68,100,"null",55,29
70,0,"4",69127,87
70,5,"9",71990.5,2
70,10,"14",80814.5,3
70,15,"19",87341.5,47
70,20,"24",92069.5,61
70,25,"29",83274,66
70,30,"34",93955.5,81
70,35,"39",110829.5,138
70,40,"44",122967.5,280
70,45,"49",117755,453
70,50,"54",103334,674
70,55,"59",115747,1410
70,60,"64",118802.5,2460
70,65,"69",101446,3414
70,70,"74",71926,3889
70,75,"79",39123.5,3376
70,80,"84",27423.5,3688
70,85,"89",12792.5,2525
70,90,"94",3169.5,907
70,95,"99",282,111
70,100,"null",3,2
72,0,"4",145454.5,1304
72,5,"9",129446,111
72,10,"14",123208.5,88
72,15,"19",125546.5,170
72,20,"24",124052,251
72,25,"29",127100.5,300
72,30,"34",106749.5,308
72,35,"39",83366.5,319
72,40,"44",62909.5,333
72,45,"49",50479,382
72,50,"54",41702.5,463
72,55,"59",32953,528
72,60,"64",23464.5,569
72,65,"69",18102,655
72,70,"74",12168,658
72,75,"79",6305.5,510
72,80,"84",3328.5,426
72,85,"89",1303.5,248
72,90,"94",305,83
72,95,"99",45.5,17
72,100,"null",4,2
76,0,"4",6953090.5,21217
76,5,"9",7312566.5,1354
76,10,"14",7404826,1921
76,15,"19",7776338.5,12396
76,20,"24",8268953,20041
76,25,"29",8207422,19338
76,30,"34",8192575.5,20492
76,35,"39",8407348,25633
76,40,"44",7936837.5,31574
76,45,"49",6968062.5,37973
76,50,"54",6152015.5,48925
76,55,"59",5663914.5,63736
76,60,"64",4832046.5,79115
76,65,"69",3710442,88619
76,70,"74",2621667,91815
76,75,"79",1629078.5,95794
76,80,"84",939536.5,92657
76,85,"89",409636,71967
76,90,"94",132557,38910
76,95,"99",26893,13014
76,100,"null",3128,2538
84,0,"4",18626,43
84,5,"9",19496.5,7
84,10,"14",18756,7
84,15,"19",19743.5,15
84,20,"24",20077,23
84,25,"29",19234.5,27
84,30,"34",17583,36
84,35,"39",15022,41
84,40,"44",12510,50
84,45,"49",10701,80
84,50,"54",9013,102
84,55,"59",7317,123
84,60,"64",5625.5,138
84,65,"69",3855.5,141
84,70,"74",2507,134
84,75,"79",1467.5,110
84,80,"84",855,101
84,85,"89",386,74
84,90,"94",119.5,36
84,95,"99",17.5,8
84,100,"null",0,1
90,0,"4",53234,219
90,5,"9",52013.5,39
90,10,"14",46964,31
90,15,"19",41298,49
90,20,"24",36204.5,60
90,25,"29",29742.5,50
90,30,"34",26571.5,50
90,35,"39",25017.5,61
90,40,"44",21753.5,77
90,45,"49",18998,106
90,50,"54",14917,131
90,55,"59",10856,154
90,60,"64",7919,176
90,65,"69",5657,199
90,70,"74",3825.5,213
90,75,"79",2222,200
