"ISOcode","AgeStart","AgeEnd","Ni","Mi"
4,0,4,6262390.5,82156
4,5,9,5487694,7001
4,10,14,4978537,4867
4,15,19,4461340.5,10429
4,20,24,3760628,16270
4,25,29,2978129.5,14010
4,30,34,2257658,11014
4,35,39,1781754.5,9620
4,40,44,1493048.5,10044
4,45,49,1207970,11277
4,50,54,939972,12675
4,55,59,713488.5,14182
4,60,64,533714,16234
4,65,69,380974.5,17845
4,70,74,275289.5,19037
4,75,79,156394.5,17410
4,80,84,72297.5,12594
4,85,999,28217.5,8572
8,0,4,150467,291
8,5,9,162111.5,30
8,10,14,168847.5,40
8,15,19,202065.5,76
8,20,24,231327.5,97
8,25,29,237097.5,125
8,30,34,196992,161
8,35,39,169912,227
8,40,44,161557,308
8,45,49,174928.5,493
8,50,54,190549.5,794
8,55,59,204554,1351
8,60,64,182317,2074
8,65,69,144393.5,2798
8,70,74,111047,3828
8,75,79,90489,5601
8,80,84,58949,6224
8,85,999,36278.5,7868
12,0,4,4922012,21229
12,5,9,4468744,1587
12,10,14,3622676.5,1230
12,15,19,2929658.5,1277
12,20,24,3052729,1557
12,25,29,3493493.5,1764
12,30,34,3672284.5,2350
12,35,39,3499502,3667
12,40,44,2949387.5,5238
12,45,49,2496963,6396
12,50,54,2103416.5,8393
12,55,59,1668415.5,10374
12,60,64,1325671,14535
12,65,69,1014080,19078
12,70,74,629281,22169
12,75,79,427314,22978
12,80,84,271314.5,26060
12,85,999,158425.5,30959
16,0,4,4459.5,8
16,5,9,4683,0
16,10,14,4529,0
16,15,19,4043,1
16,20,24,3994,4
16,25,29,4254.5,5
16,30,34,2643,5
16,35,39,2592.5,5
16,40,44,2842.5,7
16,45,49,2938,13
16,50,54,2920.5,18
16,55,59,2606.5,31
16,60,64,1925.5,38
16,65,69,1342.5,43
16,70,74,816.5,44
16,75,79,413,37
16,80,84,219.5,29
16,85,999,97.5,25
20,0,4,2583,3
20,5,9,3774,0
20,10,14,4080.5,0
20,15,19,4088,0
20,20,24,4236.5,0
20,25,29,4594,0
20,30,34,4994.5,0
20,35,39,6132.5,3
20,40,44,6988.5,7
20,45,49,7087.5,13
20,50,54,6753.5,24
20,55,59,5945,39
20,60,64,4517.5,49
20,65,69,3340,58
20,70,74,2716.5,73
20,75,79,1883.5,83
20,80,84,1227,83
20,85,999,1401,201
24,0,4,5712179.5,90485
24,5,9,4904969,8317
24,10,14,4079659,5128
24,15,19,3297663,6309
24,20,24,2759096.5,7488
24,25,29,2416565,7929
24,30,34,2081006,8636
24,35,39,1695596.5,9515
24,40,44,1353768,10191
24,45,49,1082978.5,10935
24,50,54,896188.5,12612
24,55,59,714541.5,14340
24,60,64,525949.5,16293
24,65,69,354510.5,16814
24,70,74,230842.5,16150
24,75,79,143063,14677
24,80,84,73415,11703
24,85,999,31596.5,8757
28,0,4,5297.5,7
28,5,9,6008.5,0
28,10,14,6552.5,0
28,15,19,6754.5,2
28,20,24,7293.5,5
28,25,29,7254.5,5
28,30,34,7142,5
28,35,39,6704.5,5
28,40,44,6515.5,10
28,45,49,6746,12
28,50,54,6843,24
28,55,59,5804.5,39
28,60,64,4514.5,58
28,65,69,3302.5,68
28,70,74,2250,77
28,75,79,1430.5,75
28,80,84,904.5,73
28,85,999,798,130
31,0,4,797745,2412
31,5,9,913553.5,202
31,10,14,786890.5,246
31,15,19,653138.5,366
31,20,24,750195.5,640
31,25,29,915381.5,1001
31,30,34,934202.5,1456
31,35,39,806597,1940
31,40,44,665818,2642
31,45,49,625955.5,3703
31,50,54,647836.5,6402
31,55,59,629464.5,10217
31,60,64,467344,13457
31,65,69,278263,11896
31,70,74,141579.5,10432
31,75,79,95083.5,7453
31,80,84,83876.5,10858
31,85,999,39828,9608
32,0,4,3539430,6861
32,5,9,3650252.5,559
32,10,14,3522191,799
32,15,19,3477146.5,2189
32,20,24,3511087,3455
32,25,29,3484733.5,3632
32,30,34,3281324.5,3996
32,35,39,3190806.5,5078
32,40,44,3036421,6891
32,45,49,2600145.5,9388
32,50,54,2268193,12500
32,55,59,2090510.5,19181
32,60,64,1902530.5,28987
32,65,69,1640462.5,40636
32,70,74,1331680,51100
32,75,79,957006.5,56035
32,80,84,633819,54422
32,85,999,627780,99717
36,0,4,1568711,1018
36,5,9,1614330,106
36,10,14,1553285.5,40
36,15,19,1493456.5,117
36,20,24,1744187.5,265
36,25,29,1910822,275
36,30,34,1898185,282
36,35,39,1783918.5,528
36,40,44,1603335,876
36,45,49,1676567,1695
36,50,54,1539995.5,2555
36,55,59,1541599,4315
36,60,64,1388888,7353
36,65,69,1225297,10426
36,70,74,1057444,16027
36,75,79,734887.5,20575
36,80,84,506147,26326
36,85,999,516114,73303
40,0,4,435518,303
40,5,9,422776.5,30
40,10,14,422640.5,29
40,15,19,438432.5,118
40,20,24,524263.5,189
40,25,29,602563,218
40,30,34,605419.5,311
40,35,39,605157.5,439
40,40,44,565547,582
40,45,49,632516.5,916
40,50,54,713500.5,1863
40,55,59,676179,3237
40,60,64,554443,4858
40,65,69,448211.5,6015
40,70,74,389531,8499
40,75,79,385056.5,9524
40,80,84,232150,17149
40,85,999,226033.5,35411
44,0,4,24025.5,55
44,5,9,26984,5
44,10,14,32932,7
44,15,19,33501.5,20
44,20,24,34388,38
44,25,29,33973.5,58
44,30,34,29781,77
