"LocationId","AgeStart","AgeEnd","Value"
4,0,4,82333
4,5,9,6667
4,10,14,4821
4,15,19,9606
4,20,24,14310
4,25,29,11973
4,30,34,9325
4,35,39,8222
4,40,44,8393
4,45,49,8975
4,50,54,9685
4,55,59,10690
4,60,64,12005
4,65,69,13272
4,70,74,15301
4,75,79,13942
4,80,84,10317
4,85,999,6724
8,0,4,292
8,5,9,15
8,10,14,20
8,15,19,40
8,20,24,65
8,25,29,82
8,30,34,92
8,35,39,106
8,40,44,138
8,45,49,258
8,50,54,519
8,55,59,1019
8,60,64,1652
8,65,69,2236
8,70,74,2954
8,75,79,4189
8,80,84,4553
8,85,999,6182
12,0,4,23228
12,5,9,1650
12,10,14,1212
12,15,19,1482
12,20,24,1988
12,25,29,2341
12,30,34,2990
12,35,39,4300
12,40,44,5246
12,45,49,6110
12,50,54,7532
12,55,59,8837
12,60,64,12268
12,65,69,15808
12,70,74,18250
12,75,79,21781
12,80,84,24301
12,85,999,28302
16,0,4,8
16,5,9,0
16,10,14,0
16,15,19,2
16,20,24,5
16,25,29,5
16,30,34,5
16,35,39,5
16,40,44,8
16,45,49,14
16,50,54,20
16,55,59,30
16,60,64,36
16,65,69,43
16,70,74,42
16,75,79,35
16,80,84,31
16,85,999,25
20,0,4,3
20,5,9,0
20,10,14,0
20,15,19,0
20,20,24,0
20,25,29,0
20,30,34,0
20,35,39,3
20,40,44,5
20,45,49,8
20,50,54,12
20,55,59,19
20,60,64,24
20,65,69,33
20,70,74,48
20,75,79,57
20,80,84,71
20,85,999,191
24,0,4,93413
24,5,9,8577
24,10,14,5123
24,15,19,6141
24,20,24,7401
24,25,29,7869
24,30,34,8308
24,35,39,8645
24,40,44,8860
24,45,49,9234
24,50,54,10485
24,55,59,11465
24,60,64,12496
24,65,69,12640
24,70,74,12897
24,75,79,12369
24,80,84,9703
24,85,999,6908
28,0,4,7
28,5,9,0
28,10,14,0
28,15,19,2
28,20,24,5
28,25,29,5
28,30,34,5
28,35,39,5
28,40,44,10
28,45,49,14
28,50,54,25
28,55,59,39
28,60,64,54
28,65,69,62
