"LocationId","AgeStart","AgeEnd","Value"
4,0,4,6262390.5
4,5,9,5487694
4,10,14,4978537
4,15,19,4461340.5
4,20,24,3760628
4,25,29,2978129.5
4,30,34,2257658
4,35,39,1781754.5
4,40,44,1493048.5
4,45,49,1207970
4,50,54,939972
4,55,59,713488.5
4,60,64,533714
4,65,69,380974.5
4,70,74,275289.5
4,75,79,156394.5
4,80,84,72297.5
4,85,999,28217.5
8,0,4,150467
8,5,9,162111.5
8,10,14,168847.5
8,15,19,202065.5
8,20,24,231327.5
8,25,29,237097.5
8,30,34,196992
8,35,39,169912
8,40,44,161557
8,45,49,174928.5
8,50,54,190549.5
8,55,59,204554
8,60,64,182317
8,65,69,144393.5
8,70,74,111047
8,75,79,90489
8,80,84,58949
8,85,999,36278.5
12,0,4,4922012
12,5,9,4468744
12,10,14,3622676.5
12,15,19,2929658.5
12,20,24,3052729
12,25,29,3493493.5
12,30,34,3672284.5
12,35,39,3499502
12,40,44,2949387.5
12,45,49,2496963
12,50,54,2103416.5
12,55,59,1668415.5
12,60,64,1325671
12,65,69,1014080
12,70,74,629281
12,75,79,427314
12,80,84,271314.5
12,85,999,158425.5
16,0,4,4459.5
16,5,9,4683
16,10,14,4529
16,15,19,4043
16,20,24,3994
16,25,29,4254.5
16,30,34,2643
16,35,39,2592.5
16,40,44,2842.5
16,45,49,2938
16,50,54,2920.5
16,55,59,2606.5
16,60,64,1925.5
16,65,69,1342.5
16,70,74,816.5
16,75,79,413
16,80,84,219.5
16,85,999,97.5
20,0,4,2583
20,5,9,3774
20,10,14,4080.5
20,15,19,4088
20,20,24,4236.5
20,25,29,4594
20,30,34,4994.5
20,35,39,6132.5
20,40,44,6988.5
20,45,49,7087.5
20,50,54,6753.5
20,55,59,5945
20,60,64,4517.5
20,65,69,3340
20,70,74,2716.5
20,75,79,1883.5
20,80,84,1227
20,85,999,1401
24,0,4,5712179.5
24,5,9,4904969
24,10,14,4079659
24,15,19,3297663
24,20,24,2759096.5
24,25,29,2416565
24,30,34,2081006
24,35,39,1695596.5
24,40,44,1353768
24,45,49,1082978.5
24,50,54,896188.5
24,55,59,714541.5
24,60,64,525949.5
24,65,69,354510.5
24,70,74,230842.5
24,75,79,143063
24,80,84,73415
24,85,999,31596.5
28,0,4,5297.5
28,5,9,6008.5
28,10,14,6552.5
28,15,19,6754.5
28,20,24,7293.5
28,25,29,7254.5
28,30,34,7142
28,35,39,6704.5
28,40,44,6515.5
28,45,49,6746
28,50,54,6843
28,55,59,5804.5
28,60,64,4514.5
28,65,69,3302.5
28,70,74,2250
28,75,79,1430.5
28,80,84,904.5
28,85,999,798
31,0,4,797745
31,5,9,913553.5
31,10,14,786890.5
31,15,19,653138.5
31,20,24,750195.5
31,25,29,915381.5
31,30,34,934202.5
31,35,39,806597
31,40,44,665818
31,45,49,625955.5
31,50,54,647836.5
31,55,59,629464.5
31,60,64,467344
31,65,69,278263
31,70,74,141579.5
31,75,79,95083.5
31,80,84,83876.5
31,85,999,39828
32,0,4,3539430
32,5,9,3650252.5
32,10,14,3522191
32,15,19,3477146.5
32,20,24,3511087
32,25,29,3484733.5
32,30,34,3281324.5
32,35,39,3190806.5
32,40,44,3036421
32,45,49,2600145.5
32,50,54,2268193
32,55,59,2090510.5
32,60,64,1902530.5
32,65,69,1640462.5
32,70,74,1331680
32,75,79,957006.5
32,80,84,633819
32,85,999,627780
36,0,4,1568711
36,5,9,1614330
36,10,14,1553285.5
36,15,19,1493456.5
36,20,24,1744187.5
36,25,29,1910822
36,30,34,1898185
36,35,39,1783918.5
36,40,44,1603335
36,45,49,1676567
36,50,54,1539995.5
36,55,59,1541599
36,60,64,1388888
36,65,69,1225297
36,70,74,1057444
36,75,79,734887.5
36,80,84,506147
36,85,999,516114
40,0,4,435518
40,5,9,422776.5
40,10,14,422640.5
40,15,19,438432.5
40,20,24,524263.5
40,25,29,602563
40,30,34,605419.5
40,35,39,605157.5
40,40,44,565547
40,45,49,632516.5
40,50,54,713500.5
40,55,59,676179
40,60,64,554443
40,65,69,448211.5
40,70,74,389531
40,75,79,385056.5
40,80,84,232150
40,85,999,226033.5
44,0,4,24025.5
44,5,9,26984
44,10,14,32932
44,15,19,33501.5
44,20,24,34388
44,25,29,33973.5
44,30,34,29781
44,35,39,29494.5
44,40,44,29290.5
44,45,49,29973
44,50,54,26566.5
44,55,59,23928
44,60,64,17484.5
44,65,69,11739
44,70,74,8322
44,75,79,5922
44,80,84,3584.5
44,85,999,2667
48,0,4,105256.5
48,5,9,102991.5
48,10,14,91610
48,15,19,79427.5
48,20,24,104950.5
48,25,29,170123
48,30,34,210320
48,35,39,179912
48,40,44,134453
48,45,49,100554
48,50,54,76982
48,55,59,56664
48,60,64,36893
48,65,69,20406
48,70,74,10514
48,75,79,6499
48,80,84,4166
48,85,999,2466.5
50,0,4,14628789.5
50,5,9,14790539
50,10,14,16191685.5
50,15,19,16843468.5
50,20,24,15740515
50,25,29,14551720.5
50,30,34,13390655.5
50,35,39,12045792.5
50,40,44,10425867
50,45,49,9161647
50,50,54,7486313.5
50,55,59,6152197
50,60,64,5096544
50,65,69,3684887
50,70,74,2402060
50,75,79,1575539
50,80,84,876000.5
50,85,999,472001
51,0,4,198062
51,5,9,202708
51,10,14,171937
51,15,19,159973.5
51,20,24,182816.5
51,25,29,257908.5
51,30,34,252568.5
51,35,39,201605.5
51,40,44,157286
51,45,49,147960.5
51,50,54,158476
51,55,59,206387
51,60,64,183756.5
51,65,69,128546
51,70,74,71673.5
51,75,79,51319
51,80,84,54004.5
51,85,999,33613
52,0,4,15153
52,5,9,16045.5
52,10,14,18127
52,15,19,18828
52,20,24,18097.5
52,25,29,18976.5
52,30,34,18280.5
52,35,39,18936.5
52,40,44,18733.5
52,45,49,20019.5
52,50,54,19689.5
52,55,59,20122
52,60,64,18197
52,65,69,14352
52,70,74,10925
52,75,79,7526
52,80,84,4895.5
52,85,999,3275
56,0,4,612587
56,5,9,666072.5
56,10,14,663669.5
56,15,19,635320
56,20,24,672541.5
56,25,29,748455.5
56,30,34,745306.5
56,35,39,755017.5
56,40,44,736233.5
56,45,49,775156.5
56,50,54,797920.5
56,55,59,796121
56,60,64,717803
56,65,69,620186
56,70,74,539917.5
56,75,79,374599.5
56,80,84,320995
56,85,999,332665.5
60,0,4,2939
60,5,9,3236.5
60,10,14,3349.5
60,15,19,3288.5
60,20,24,3146.5
60,25,29,2962
60,30,34,3637.5
60,35,39,4612.5
60,40,44,4640.5
60,45,49,4997.5
60,50,54,4969
60,55,59,5462.5
60,60,64,4842
60,65,69,3878
60,70,74,2972.5
60,75,79,2060
60,80,84,1450.5
60,85,999,1367
64,0,4,54713
64,5,9,64112.5
64,10,14,67691.5
64,15,19,72596.5
64,20,24,74843.5
64,25,29,83023
64,30,34,74844.5
64,35,39,61321.5
64,40,44,49046
64,45,49,38034
64,50,54,32943.5
64,55,59,26232.5
64,60,64,22392.5
64,65,69,16754
64,70,74,11888
64,75,79,8437
64,80,84,5099
64,85,999,3486.5
68,0,4,1269555
68,5,9,1250583.5
68,10,14,1214252.5
68,15,19,1156808.5
68,20,24,1102747
68,25,29,1040408
68,30,34,923525.5
68,35,39,786458
68,40,44,677623
68,45,49,575133
68,50,54,480922
68,55,59,399377
68,60,64,312690.5
68,65,69,230980.5
68,70,74,170965
68,75,79,105320
68,80,84,53153.5
68,85,999,26812
70,0,4,159503
70,5,9,170793
70,10,14,171813
70,15,19,177718.5
70,20,24,213400.5
70,25,29,209150
70,30,34,236461
70,35,39,240877
70,40,44,234854
70,45,49,229568
70,50,54,242030
70,55,59,256451.5
70,60,64,239011.5
70,65,69,209444.5
70,70,74,138138
70,75,79,97494.5
70,80,84,81267.5
70,85,999,52736
72,0,4,294844.5
72,5,9,280350
72,10,14,259999.5
72,15,19,233361
72,20,24,220633.5
72,25,29,223336.5
72,30,34,218271.5
72,35,39,197199
72,40,44,155178
72,45,49,113669
72,50,54,91035
72,55,59,71252.5
72,60,64,53898
72,65,69,37161
72,70,74,22199
72,75,79,14237
72,80,84,8091.5
72,85,999,4985
76,0,4,14594015
76,5,9,14796395.5
76,10,14,15391348.5
76,15,19,16349984
76,20,24,17174678.5
76,25,29,17097456.5
76,30,34,17552085.5
76,35,39,17215260.5
76,40,44,15420001.5
76,45,49,13748095.5
76,50,54,12626508
76,55,59,11429834.5
76,60,64,9336478
76,65,69,7262004
76,70,74,5047779
76,75,79,3493305
76,80,84,2106852
