IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",7,0,4,"0-4",0,"Not applicable",1,"Model-based Estimates",3,"Projection",3366273.5
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",71,5,9,"5-9",0,"Not applicable",1,"Model-based Estimates",3,"Projection",3015406.5
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",76,10,14,"10-14",0,"Not applicable",1,"Model-based Estimates",3,"Projection",2664830
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",67,15,19,"15-19",0,"Not applicable",1,"Model-based Estimates",3,"Projection",2372442
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",75,20,24,"20-24",0,"Not applicable",1,"Model-based Estimates",3,"Projection",2073672.9999999998
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",57,25,29,"25-29",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1690034
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",62,30,34,"30-34",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1297430
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",63,35,39,"35-39",0,"Not applicable",1,"Model-based Estimates",3,"Projection",993826.5
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",64,40,44,"40-44",0,"Not applicable",1,"Model-based Estimates",3,"Projection",810395
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",69,45,49,"45-49",0,"Not applicable",1,"Model-based Estimates",3,"Projection",658880.5
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",66,50,54,"50-54",0,"Not applicable",1,"Model-based Estimates",3,"Projection",504192.5
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",68,55,59,"55-59",0,"Not applicable",1,"Model-based Estimates",3,"Projection",363882.5
46,"Population by 5-year age groups and sex","Annual population by 5-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",1,"Male",60,60,64,"60-64",0,"Not applicable",1,"Model-based Estimates",3,"Projection",258453.50000000003
