"ISOcode","AgeStart","AgeEnd","Ri","Di","Ni","Mi"
4,0,4,0,0,6262390.5,82156
4,5,9,0,0,5487694,7001
4,10,14,6,0,4978537,4867
4,15,19,13,7,4461340.5,10429
4,20,24,18,11,3760628,16270
4,25,29,19,11,2978129.5,14010
4,30,34,21,12,2257658,11014
4,35,39,21,12,1781754.5,9620
4,40,44,30,14,1493048.5,10044
4,45,49,41,22,1207970,11277
4,50,54,51,29,939972,12675
4,55,59,59,34,713488.5,14182
4,60,64,63,35,533714,16234
4,65,69,60,33,380974.5,17845
4,70,74,50,30,275289.5,19037
4,75,79,34,21,156394.5,17410
4,80,84,16,10,72297.5,12594
4,85,999,7,4,28217.5,8572
8,0,4,0,0,150467,291
8,5,9,0,0,162111.5,30
8,10,14,0,0,168847.5,40
8,15,19,0,0,202065.5,76
8,20,24,1,0,231327.5,97
8,25,29,2,0,237097.5,125
8,30,34,4,0,196992,161
8,35,39,6,0,169912,227
8,40,44,9,0,161557,308
8,45,49,13,3,174928.5,493
8,50,54,19,6,190549.5,794
8,55,59,30,11,204554,1351
8,60,64,38,17,182317,2074
8,65,69,35,22,144393.5,2798
8,70,74,32,22,111047,3828
8,75,79,24,20,90489,5601
8,80,84,19,18,58949,6224
8,85,999,13,14,36278.5,7868
12,0,4,0,0,4922012,21229
12,5,9,0,0,4468744,1587
12,10,14,1,0,3622676.5,1230
12,15,19,5,1,2929658.5,1277
12,20,24,12,28,3052729,1557
12,25,29,39,12,3493493.5,1764
12,30,34,52,9,3672284.5,2350
12,35,39,98,27,3499502,3667
12,40,44,165,56,2949387.5,5238
12,45,49,222,90,2496963,6396
12,50,54,303,132,2103416.5,8393
12,55,59,407,165,1668415.5,10374
12,60,64,444,190,1325671,14535
12,65,69,434,211,1014080,19078
12,70,74,338,205,629281,22169
12,75,79,236,186,427314,22978
12,80,84,174,174,271314.5,26060
12,85,999,144,179,158425.5,30959
24,0,4,0,0,5712179.5,90485
24,5,9,0,0,4904969,8317
24,10,14,0,0,4079659,5128
24,15,19,6,0,3297663,6309
24,20,24,11,6,2759096.5,7488
24,25,29,11,6,2416565,7929
24,30,34,30,25,2081006,8636
24,35,39,51,23,1695596.5,9515
24,40,44,24,4,1353768,10191
24,45,49,12,6,1082978.5,10935
24,50,54,20,14,896188.5,12612
24,55,59,25,21,714541.5,14340
24,60,64,51,30,525949.5,16293
24,65,69,85,58,354510.5,16814
24,70,74,6,6,230842.5,16150
24,75,79,0,2,143063,14677
24,80,84,0,0,73415,11703
24,85,999,0,0,31596.5,8757
31,0,4,0,0,797745,2412
31,5,9,0,0,913553.5,202
31,10,14,0,1,786890.5,246
31,15,19,0,0,653138.5,366
31,20,24,2,2,750195.5,640
31,25,29,3,0,915381.5,1001
31,30,34,5,1,934202.5,1456
31,35,39,17,9,806597,1940
31,40,44,29,13,665818,2642
31,45,49,44,25,625955.5,3703
31,50,54,67,39,647836.5,6402
31,55,59,103,58,629464.5,10217
31,60,64,122,69,467344,13457
31,65,69,99,58,278263,11896
31,70,74,57,37,141579.5,10432
31,75,79,28,21,95083.5,7453
31,80,84,22,20,83876.5,10858
31,85,999,16,16,39828,9608
32,0,4,0,0,3539430,6861
32,5,9,0,0,3650252.5,559
32,10,14,0,0,3522191,799
32,15,19,3,1,3477146.5,2189
32,20,24,7,1,3511087,3455
32,25,29,35,5,3484733.5,3632
32,30,34,33,13,3281324.5,3996
32,35,39,55,21,3190806.5,5078
32,40,44,106,26,3036421,6891
32,45,49,163,42,2600145.5,9388
32,50,54,227,65,2268193,12500
32,55,59,309,97,2090510.5,19181
32,60,64,382,125,1902530.5,28987
32,65,69,425,146,1640462.5,40636
32,70,74,419,158,1331680,51100
32,75,79,348,153,957006.5,56035
32,80,84,247,135,633819,54422
32,85,999,238,165,627780,99717
36,0,4,0,0,1568711,1018
36,5,9,0,0,1614330,106
36,10,14,0,0,1553285.5,40
36,15,19,2,0,1493456.5,117
36,20,24,6,0,1744187.5,265
36,25,29,24,6,1910822,275
36,30,34,57,15,1898185,282
36,35,39,115,16,1783918.5,528
36,40,44,184,23,1603335,876
36,45,49,276,42,1676567,1695
36,50,54,389,69,1539995.5,2555
36,55,59,512,104,1541599,4315
36,60,64,626,148,1388888,7353
36,65,69,670,187,1225297,10426
36,70,74,695,244,1057444,16027
36,75,79,592,289,734887.5,20575
36,80,84,418,282,506147,26326
36,85,999,442,401,516114,73303
40,0,4,0,0,435518,303
40,5,9,0,0,422776.5,30
40,10,14,0,0,422640.5,29
40,15,19,0,0,438432.5,118
40,20,24,0,0,524263.5,189
40,25,29,2,0,602563,218
40,30,34,7,1,605419.5,311
40,35,39,15,3,605157.5,439
40,40,44,32,7,565547,582
40,45,49,57,13,632516.5,916
40,50,54,108,28,713500.5,1863
40,55,59,165,47,676179,3237
40,60,64,194,63,554443,4858
40,65,69,195,77,448211.5,6015
40,70,74,198,107,389531,8499
40,75,79,174,123,385056.5,9524
40,80,84,167,157,232150,17149
40,85,999,118,151,226033.5,35411
44,0,4,0,0,24025.5,55
44,5,9,0,0,26984,5
44,10,14,0,0,32932,7
44,15,19,0,0,33501.5,20
44,20,24,0,0,34388,38
44,25,29,0,0,33973.5,58
44,30,34,0,0,29781,77
44,35,39,0,0,29494.5,105
44,40,44,1,0,29290.5,140
44,45,49,2,1,29973,191
44,50,54,1,1,26566.5,256
44,55,59,2,2,23928,339
44,60,64,2,2,17484.5,365
44,65,69,5,4,11739,401
44,70,74,4,2,8322,365
44,75,79,6,2,5922,370
44,80,84,0,1,3584.5,356
44,85,999,2,0,2667,516
48,0,4,0,0,105256.5,120
48,5,9,0,0,102991.5,10
48,10,14,0,0,91610,9
48,15,19,0,0,79427.5,15
48,20,24,0,0,104950.5,19
48,25,29,0,0,170123,35
48,30,34,2,0,210320,67
48,35,39,4,1,179912,99
48,40,44,2,2,134453,127
48,45,49,4,1,100554,171
48,50,54,9,3,76982,233
48,55,59,7,1,56664,307
48,60,64,9,4,36893,376
48,65,69,7,3,20406,378
