"ISOcode","AgeStart","AgeEnd","Ri","Di","Ni","Mi"
4,0,4,0,0,6262390.5,82333
4,5,9,0,0,5487694,6667
4,10,14,6,0,4978537,4821
4,15,19,13,7,4461340.5,9606
4,20,24,18,11,3760628,14310
4,25,29,19,11,2978129.5,11973
4,30,34,21,12,2257658,9325
4,35,39,21,12,1781754.5,8222
4,40,44,30,14,1493048.5,8393
4,45,49,41,22,1207970,8975
4,50,54,51,29,939972,9685
4,55,59,59,34,713488.5,10690
4,60,64,63,35,533714,12005
4,65,69,60,33,380974.5,13272
4,70,74,50,30,275289.5,15301
4,75,79,34,21,156394.5,13942
4,80,84,16,10,72297.5,10317
4,85,999,7,4,28217.5,6724
8,0,4,0,0,150467,292
8,5,9,0,0,162111.5,15
8,10,14,0,0,168847.5,20
8,15,19,0,0,202065.5,40
8,20,24,1,0,231327.5,65
8,25,29,2,0,237097.5,82
8,30,34,4,0,196992,92
8,35,39,6,0,169912,106
8,40,44,9,0,161557,138
8,45,49,13,3,174928.5,258
8,50,54,19,6,190549.5,519
8,55,59,30,11,204554,1019
8,60,64,38,17,182317,1652
8,65,69,35,22,144393.5,2236
8,70,74,32,22,111047,2954
8,75,79,24,20,90489,4189
8,80,84,19,18,58949,4553
8,85,999,13,14,36278.5,6182
12,0,4,0,0,4922012,23228
12,5,9,0,0,4468744,1650
12,10,14,1,0,3622676.5,1212
12,15,19,5,1,2929658.5,1482
12,20,24,12,28,3052729,1988
12,25,29,39,12,3493493.5,2341
12,30,34,52,9,3672284.5,2990
12,35,39,98,27,3499502,4300
12,40,44,165,56,2949387.5,5246
12,45,49,222,90,2496963,6110
12,50,54,303,132,2103416.5,7532
12,55,59,407,165,1668415.5,8837
12,60,64,444,190,1325671,12268
12,65,69,434,211,1014080,15808
12,70,74,338,205,629281,18250
12,75,79,236,186,427314,21781
12,80,84,174,174,271314.5,24301
12,85,999,144,179,158425.5,28302
24,0,4,0,0,5712179.5,93413
24,5,9,0,0,4904969,8577
24,10,14,0,0,4079659,5123
24,15,19,6,0,3297663,6141
24,20,24,11,6,2759096.5,7401
24,25,29,11,6,2416565,7869
24,30,34,30,25,2081006,8308
24,35,39,51,23,1695596.5,8645
24,40,44,24,4,1353768,8860
24,45,49,12,6,1082978.5,9234
24,50,54,20,14,896188.5,10485
24,55,59,25,21,714541.5,11465
24,60,64,51,30,525949.5,12496
24,65,69,85,58,354510.5,12640
24,70,74,6,6,230842.5,12897
24,75,79,0,2,143063,12369
24,80,84,0,0,73415,9703
24,85,999,0,0,31596.5,6908
31,0,4,0,0,797745,3032
31,5,9,0,0,913553.5,218
31,10,14,0,1,786890.5,253
31,15,19,0,0,653138.5,413
31,20,24,2,2,750195.5,753
31,25,29,3,0,915381.5,1008
31,30,34,5,1,934202.5,1281
31,35,39,17,9,806597,1489
31,40,44,29,13,665818,1731
31,45,49,44,25,625955.5,2335
31,50,54,67,39,647836.5,3710
31,55,59,103,58,629464.5,5785
31,60,64,122,69,467344,6832
31,65,69,99,58,278263,6312
31,70,74,57,37,141579.5,5823
31,75,79,28,21,95083.5,6978
31,80,84,22,20,83876.5,9661
31,85,999,16,16,39828,8255
32,0,4,0,0,3539430,7623
32,5,9,0,0,3650252.5,472
32,10,14,0,0,3522191,557
32,15,19,3,1,3477146.5,1288
32,20,24,7,1,3511087,2049
32,25,29,35,5,3484733.5,2531
32,30,34,33,13,3281324.5,2891
32,35,39,55,21,3190806.5,3917
32,40,44,106,26,3036421,5858
32,45,49,163,42,2600145.5,8181
32,50,54,227,65,2268193,11662
32,55,59,309,97,2090510.5,16352
32,60,64,382,125,1902530.5,23049
32,65,69,425,146,1640462.5,31698
32,70,74,419,158,1331680,42502
32,75,79,348,153,957006.5,46391
32,80,84,247,135,633819,46143
32,85,999,238,165,627780,86874
36,0,4,0,0,1568711,1087
36,5,9,0,0,1614330,116
36,10,14,0,0,1553285.5,142
36,15,19,2,0,1493456.5,476
36,20,24,6,0,1744187.5,888
36,25,29,24,6,1910822,1024
36,30,34,57,15,1898185,1142
36,35,39,115,16,1783918.5,1501
36,40,44,184,23,1603335,2021
36,45,49,276,42,1676567,3210
36,50,54,389,69,1539995.5,4018
36,55,59,512,104,1541599,6262
36,60,64,626,148,1388888,8625
36,65,69,670,187,1225297,11280
36,70,74,695,244,1057444,15713
36,75,79,592,289,734887.5,18906
36,80,84,418,282,506147,23827
36,85,999,442,401,516114,66736
40,0,4,0,0,435518,318
40,5,9,0,0,422776.5,31
40,10,14,0,0,422640.5,41
40,15,19,0,0,438432.5,116
40,20,24,0,0,524263.5,184
40,25,29,2,0,602563,239
40,30,34,7,1,605419.5,320
40,35,39,15,3,605157.5,396
40,40,44,32,7,565547,566
40,45,49,57,13,632516.5,1091
40,50,54,108,28,713500.5,1866
40,55,59,165,47,676179,3017
40,60,64,194,63,554443,4092
40,65,69,195,77,448211.5,5517
40,70,74,198,107,389531,7462
40,75,79,174,123,385056.5,11433
40,80,84,167,157,232150,12064
40,85,999,118,151,226033.5,34756
