"ISOcode","AgeStart","AgeEnd","Ri"
900,0,4,0
900,5,9,0
900,10,14,169
900,15,19,562
900,20,24,1923
900,25,29,4150
900,30,34,6598
900,35,39,10602
900,40,44,19409
900,45,49,34084
900,50,54,61235
900,55,59,79898
900,60,64,96569
900,65,69,117833
900,70,74,107258
900,75,79,80275
900,80,84,58681
900,85,999,50412
981,0,4,0
981,5,9,0
981,10,14,5
981,15,19,55
981,20,24,284
981,25,29,832
981,30,34,1404
981,35,39,3215
981,40,44,7168
981,45,49,13080
981,50,54,22040
981,55,59,32230
981,60,64,43018
981,65,69,48753
981,70,74,49498
981,75,79,39504
981,80,84,30710
981,85,999,30078
982,0,4,0
982,5,9,0
982,10,14,66
982,15,19,177
982,20,24,454
982,25,29,1443
982,30,34,2724
982,35,39,4411
982,40,44,8259
982,45,49,15436
982,50,54,31754
982,55,59,38253
982,60,64,42813
982,65,69,58630
982,70,74,49639
982,75,79,35111
982,80,84,24569
982,85,999,18189
983,0,4,0
983,5,9,0
983,10,14,33
983,15,19,163
983,20,24,699
983,25,29,1186
983,30,34,1599
983,35,39,1957
983,40,44,2791
983,45,49,4044
983,50,54,5707
983,55,59,7441
983,60,64,8630
983,65,69,8485
983,70,74,6525
983,75,79,4500
983,80,84,2764
983,85,999,1799
984,0,4,0
984,5,9,0
984,10,14,65
984,15,19,167
984,20,24,486
984,25,29,689
984,30,34,871
984,35,39,1019
984,40,44,1191
984,45,49,1524
984,50,54,1734
984,55,59,1974
984,60,64,2108
984,65,69,1965
984,70,74,1596
984,75,79,1160
984,80,84,638
984,85,999,346
